iter	RMSE
0	2.381992183
1	2.327714636
2	2.284082692
3	2.250678918
4	2.222563876
5	2.196776294
6	2.174560408
7	2.157005639
8	2.140380265
9	2.129512679
10	2.11954385
11	2.111153038
12	2.10443581
13	2.097212983
14	2.091328033
15	2.08664757
16	2.082719232
17	2.0798356
18	2.076474405
19	2.073486627
20	2.070403386
21	2.067557089
22	2.065371885
23	2.063524863
24	2.061576374
25	2.059679092
26	2.05802991
27	2.05565814
28	2.053692339
29	2.052013391
30	2.050358251
31	2.049082424
32	2.047677763
33	2.046315965
34	2.045246484
35	2.044220489
36	2.0431361
37	2.041716582
38	2.04017533
39	2.038483562
40	2.037518133
41	2.036586174
42	2.036049363
43	2.034337041
44	2.032013305
45	2.030201585
46	2.02932457
47	2.027294997
48	2.025972443
49	2.024408873
50	2.023069134
51	2.021858799
52	2.020433601
53	2.019386477
54	2.01816471
55	2.016322482
56	2.015101287
57	2.01359805
58	2.011959323
59	2.010003527
60	2.008809943
61	2.007661584
62	2.006217047
63	2.005333961
64	2.003510313
65	2.002442416
66	2.001441901
67	1.999565081
68	1.998323795
69	1.997123841
70	1.995979631
71	1.994910862
72	1.993586414
73	1.991723255
74	1.989680479
75	1.988219043
76	1.987470714
77	1.986095938
78	1.98473287
79	1.983430601
80	1.982218215
81	1.981130298
82	1.979639089
83	1.978611816
84	1.977199902
85	1.975205789
86	1.973213549
87	1.971129809
88	1.970170673
89	1.96786334
90	1.966511048
91	1.96497527
92	1.963001995
93	1.962372443
94	1.959762688
95	1.958273111
96	1.956147528
97	1.95413107
98	1.952709751
99	1.952570327
100	1.951441531
101	1.950428691
102	1.948794232
103	1.947780539
104	1.947005577
105	1.945496858
106	1.94453918
107	1.942365476
108	1.940876851
109	1.939657147
110	1.937812401
111	1.935500717
112	1.933945464
113	1.933302968
114	1.931252928
115	1.92996583
116	1.92812318
117	1.927223719
118	1.92568071
119	1.924061159
120	1.921921032
121	1.92094352
122	1.919422851
123	1.918056968
124	1.916725949
125	1.915199455
126	1.914607936
127	1.913943209
128	1.913257238
129	1.911387697
130	1.909883038
131	1.908861184
132	1.907342676
133	1.905993554
134	1.904558902
135	1.903276324
136	1.901817073
137	1.900622793
138	1.899349494
139	1.898811464
140	1.897916813
141	1.895863681
142	1.894499182
143	1.893373559
144	1.891564786
145	1.890118356
146	1.888641875
147	1.888233114
148	1.886683939
149	1.885809345
150	1.884545698
151	1.883279932
152	1.882627789
153	1.881999167
154	1.880724755
155	1.879945661
156	1.878667781
157	1.876624098
158	1.874727193
159	1.873007045
160	1.871952729
161	1.870924755
162	1.869587823
163	1.868318046
164	1.867616421
165	1.865847084
166	1.864535279
167	1.863419345
168	1.862779084
169	1.861562717
170	1.860751882
171	1.858865265
172	1.857805008
173	1.856505441
174	1.855337592
175	1.854362946
176	1.853113746
177	1.851770264
178	1.851219181
179	1.849904368
180	1.849318003
181	1.848539945
182	1.847761609
183	1.846979375
184	1.846483969
185	1.845047259
186	1.844132232
187	1.842855474
188	1.84246902
189	1.841895623
190	1.841088599
191	1.840044673
192	1.838955161
193	1.837901843
194	1.836820323
195	1.835663344
196	1.834421886
197	1.833507193
198	1.833258925
199	1.832524106
200	1.831787796
201	1.830588957
202	1.829002473
203	1.828481554
204	1.827739295
205	1.825950442
206	1.82422163
207	1.823251162
208	1.821625821
209	1.820857629
210	1.819949909
211	1.818680453
212	1.817892907
213	1.817263904
214	1.815872191
215	1.81498907
216	1.813636266
217	1.812628987
218	1.811749625
219	1.810867915
220	1.810150529
221	1.809736117
222	1.808813048
223	1.807610815
224	1.806360992
225	1.806060368
226	1.805363861
227	1.804191884
228	1.803381521
229	1.802737197
230	1.801252535
231	1.799866808
