iter	Passed	Remaining
0	6	6056
1	11	5894
2	17	5932
3	23	5890
4	33	6609
5	38	6452
6	50	7192
7	56	7034
8	72	7953
9	78	7789
10	84	7596
11	92	7649
12	99	7532
13	104	7380
14	113	7443
15	119	7333
16	125	7248
17	131	7147
18	136	7054
19	142	6960
20	148	6901
21	153	6838
22	160	6823
23	166	6752
24	170	6665
25	179	6739
26	185	6683
27	195	6785
28	202	6782
29	208	6740
30	214	6691
31	219	6629
32	226	6625
33	231	6577
34	236	6515
35	244	6538
36	249	6490
37	255	6479
38	262	6463
39	268	6434
40	273	6400
41	279	6378
42	284	6334
43	292	6355
44	298	6335
45	308	6404
46	314	6368
47	327	6497
48	333	6465
49	338	6438
50	344	6414
51	349	6375
52	357	6384
53	362	6354
54	370	6361
55	376	6341
56	381	6313
57	388	6317
58	394	6291
59	399	6255
60	406	6254
61	411	6231
62	418	6229
63	424	6211
64	429	6182
65	438	6200
66	443	6182
67	452	6202
68	458	6188
69	463	6163
70	469	6141
71	474	6120
72	480	6099
73	488	6112
74	494	6094
75	501	6099
76	507	6081
77	512	6056
78	519	6051
79	524	6035
80	530	6015
81	535	5997
82	541	5980
83	546	5955
84	554	5967
85	559	5950
86	569	5981
87	575	5966
88	590	6041
89	597	6039
90	602	6019
91	608	6007
92	615	5999
93	636	6136
94	642	6117
95	648	6108
96	654	6090
97	659	6073
98	665	6054
99	670	6034
100	675	6015
101	683	6018
102	689	6003
103	697	6005
104	703	5994
105	708	5977
106	719	6002
107	725	5988
108	730	5972
109	736	5962
110	742	5944
111	749	5945
112	755	5932
113	763	5936
114	770	5925
115	775	5907
116	783	5914
117	788	5895
118	794	5880
119	799	5863
120	806	5857
121	812	5846
122	818	5832
123	823	5816
124	832	5827
125	837	5809
126	845	5808
127	855	5825
128	860	5811
129	866	5797
130	871	5780
131	879	5782
132	884	5767
133	891	5762
134	897	5750
135	902	5732
136	908	5723
137	914	5709
138	918	5691
139	924	5676
140	929	5662
141	934	5646
142	940	5637
143	946	5625
144	951	5611
145	960	5617
146	965	5601
147	970	5585
148	978	5586
149	983	5572
150	989	5562
151	994	5548
152	999	5533
153	1006	5530
154	1011	5516
155	1019	5516
156	1026	5510
157	1032	5499
158	1039	5497
159	1044	5485
160	1050	5475
161	1056	5465
162	1061	5450
163	1069	5453
164	1074	5439
165	1080	5426
166	1088	5431
167	1097	5434
168	1106	5442
169	1112	5430
170	1117	5418
171	1123	5408
172	1128	5394
173	1137	5397
174	1142	5384
175	1147	5371
176	1153	5361
177	1157	5346
178	1164	5339
179	1173	5343
180	1177	5329
181	1189	5345
182	1194	5331
183	1211	5372
184	1216	5361
185	1222	5350
186	1227	5337
187	1235	5334
188	1239	5320
189	1247	5317
190	1253	5307
191	1258	5295
192	1265	5292
193	1271	5280
194	1276	5269
195	1282	5259
196	1287	5249
197	1292	5235
198	1299	5229
199	1304	5219
200	1312	5216
201	1317	5206
202	1322	5193
203	1331	5195
204	1336	5184
205	1343	5178
206	1349	5170
207	1355	5161
208	1362	5157
209	1368	5147
210	1373	5135
211	1386	5153
212	1393	5148
213	1398	5137
214	1404	5127
215	1409	5116
216	1415	5106
217	1421	5098
218	1427	5092
219	1433	5083
220	1438	5072
221	1447	5072
222	1452	5061
223	1464	5073
224	1471	5066
225	1476	5055
226	1482	5048
227	1487	5036
228	1494	5031
229	1499	5020
230	1504	5009
231	1512	5008
232	1517	4996
233	1524	4989
234	1529	4979
235	1535	4969
236	1540	4960
237	1546	4949
238	1551	4939
239	1557	4933
240	1579	4973
241	1584	4962
242	1591	4958
243	1597	4948
244	1602	4938
245	1610	4936
246	1617	4929
247	1624	4926
248	1630	4918
249	1635	4906
250	1643	4905
251	1649	4895
252	1656	4890
253	1662	4881
254	1667	4871
255	1672	4861
256	1678	4852
257	1683	4841
258	1690	4835
259	1695	4825
260	1701	4817
261	1712	4823
262	1717	4812
263	1733	4833
264	1739	4824
265	1745	4815
266	1749	4804
267	1758	4802
268	1763	4791
269	1770	4786
270	1775	4776
271	1780	4766
272	1786	4758
273	1792	4750
274	1798	4740
275	1803	4730
276	1809	4722
277	1814	4711
278	1820	4705
279	1826	4696
280	1831	4685
281	1840	4685
282	1846	4678
283	1856	4679
284	1861	4671
285	1867	4662
286	1873	4653
287	1878	4643
288	1884	4636
289	1890	4628
290	1895	4618
291	1903	4615
292	1908	4605
293	1913	4595
294	1921	4590
295	1926	4582
296	1932	4573
297	1937	4564
298	1942	4554
