cards_yellow,dribbles_completed,tackles,match_report,cards_red,goals,passes_completed,round,position,bench_explain,pens_att,passes_pct,progressive_passes,comp,minutes,date,game_started,touches,interceptions,sca,dribbles,shots_on_target,passes,assists,pens_made,xg_assist,gca,shots,venue,xg,result,blocks,dayofweek,team,npxg,opponent
0,0,0,,0,0,1,Matchweek 1,AM,,0,50.0,0,Premier League,10,2022-08-06,N,2,0,0,0,0,2,0,0,0.0,0,0,Away,0.0,L 0–2,0,Sat,"<a href=""/en/squads/8602292d/Aston-Villa-Stats"">Aston Villa</a>",0.0,Bournemouth
,,,,,,,Matchweek 2,,"On matchday squad, but did not play",,,,Premier League,,2022-08-13,N,,,,,,,,,,,,Home,,W 2–1,,Sat,"<a href=""/en/squads/8602292d/Aston-Villa-Stats"">Aston Villa</a>",,Everton
,,,,,,,Matchweek 3,,"On matchday squad, but did not play",,,,Premier League,,2022-08-20,N,,,,,,,,,,,,Away,,L 1–3,,Sat,"<a href=""/en/squads/8602292d/Aston-Villa-Stats"">Aston Villa</a>",,Crystal Palace
0,,,,0,0,,Second round,,,0,,,EFL Cup,9,2022-08-23,N,,0,,,1,,0,0,,,1,Away,,W 4–1,,Tue,"<a href=""/en/squads/8602292d/Aston-Villa-Stats"">Aston Villa</a>",,Bolton
0,0,0,,0,0,2,Matchweek 4,DM,,0,100.0,0,Premier League,1,2022-08-28,N,2,0,0,0,0,2,0,0,0.0,0,0,Home,0.0,L 0–1,0,Sun,"<a href=""/en/squads/8602292d/Aston-Villa-Stats"">Aston Villa</a>",0.0,West Ham
,,,,,,,Matchweek 5,,"On matchday squad, but did not play",,,,Premier League,,2022-08-31,N,,,,,,,,,,,,Away,,L 1–2,,Wed,"<a href=""/en/squads/8602292d/Aston-Villa-Stats"">Aston Villa</a>",,Arsenal
,,,,,,,Matchweek 6,,"On matchday squad, but did not play",,,,Premier League,,2022-09-03,N,,,,,,,,,,,,Home,,D 1–1,,Sat,"<a href=""/en/squads/8602292d/Aston-Villa-Stats"">Aston Villa</a>",,Manchester City
,,,,,,,Matchweek 9,,"On matchday squad, but did not play",,,,Premier League,,2022-10-02,N,,,,,,,,,,,,Away,,D 0–0,,Sun,"<a href=""/en/squads/8602292d/Aston-Villa-Stats"">Aston Villa</a>",,Leeds United
0,1,0,,0,0,3,Matchweek 10,AM,,0,60.0,0,Premier League,10,2022-10-10,N,6,0,0,1,0,5,0,0,0.0,0,0,Away,0.0,D 1–1,0,Mon,"<a href=""/en/squads/8602292d/Aston-Villa-Stats"">Aston Villa</a>",0.0,Nott'ham Forest
0,0,0,,0,0,0,Matchweek 12,RW,,0,0.0,0,Premier League,10,2022-10-20,N,2,0,0,0,0,1,0,0,0.0,0,0,Away,0.0,L 0–3,0,Thu,"<a href=""/en/squads/8602292d/Aston-Villa-Stats"">Aston Villa</a>",0.0,Fulham
0,0,0,,0,0,1,Matchweek 13,RW,,0,100.0,0,Premier League,10,2022-10-23,N,1,0,0,0,0,1,0,0,0.0,0,0,Home,0.0,W 4–0,0,Sun,"<a href=""/en/squads/8602292d/Aston-Villa-Stats"">Aston Villa</a>",0.0,Brentford
,,,,,,,Matchweek 14,,"On matchday squad, but did not play",,,,Premier League,,2022-10-29,N,,,,,,,,,,,,Away,,L 0–4,,Sat,"<a href=""/en/squads/8602292d/Aston-Villa-Stats"">Aston Villa</a>",,Newcastle Utd
,,,,,,,Third round,,"On matchday squad, but did not play",,,,EFL Cup,,2022-11-10,N,,,,,,,,,,,,Away,,L 2–4,,Thu,"<a href=""/en/squads/8602292d/Aston-Villa-Stats"">Aston Villa</a>",,Manchester Utd
0,0,0,,0,0,1,Matchweek 16,FW,,0,100.0,0,Premier League,8,2022-11-13,N,2,0,0,0,0,1,0,0,0.0,0,0,Away,0.0,W 2–1,0,Sun,"<a href=""/en/squads/8602292d/Aston-Villa-Stats"">Aston Villa</a>",0.0,Brighton
