cards_yellow,dribbles_completed,tackles,match_report,cards_red,goals,passes_completed,round,position,bench_explain,pens_att,passes_pct,progressive_passes,comp,minutes,date,game_started,touches,interceptions,sca,dribbles,shots_on_target,passes,assists,pens_made,xg_assist,gca,shots,venue,xg,result,blocks,dayofweek,team,npxg,opponent
0,,,,0,1,,Matchweek 6,,,0,,,Primera Div,31,2022-07-03,N,,0,,,2,,0,0,,,3,Away,,L 2–3,,Sun,"<a href=""/en/squads/ef99c78c/River-Plate-Stats"">River Plate</a>",,CA Huracán
1,2,2,,0,0,25,Round of 16,FW,,0,62.5,0,Libertadores,90,2022-07-06,Y,55,0,3,5,1,40,0,0,0.0,0,2,Home,0.2,D 0–0,2,Wed,"<span title=""Argentina""><span class=""f-i f-ar"" style="""">ar</span></span>",0.2,Vélez Sarsf
0,,,,0,1,,FA Community Shield,,,0,,,Community Shield,33,2022-07-30,N,,0,,,1,,0,0,,,1,Neutral,,L 1–3,,Sat,"<a href=""/en/squads/b8fd03ef/Manchester-City-Stats"">Manchester City</a>",,Liverpool
0,0,0,,0,0,6,Matchweek 1,FW,,0,100.0,0,Premier League,13,2022-08-07,N,8,0,1,1,0,6,0,0,0.0,0,1,Away,0.1,W 2–0,0,Sun,"<a href=""/en/squads/b8fd03ef/Manchester-City-Stats"">Manchester City</a>",0.1,West Ham
0,0,0,,0,0,2,Matchweek 2,FW,,0,66.7,0,Premier League,17,2022-08-13,N,4,0,0,0,0,3,0,0,0.0,0,0,Home,0.0,W 4–0,0,Sat,"<a href=""/en/squads/b8fd03ef/Manchester-City-Stats"">Manchester City</a>",0.0,Bournemouth
,,,,,,,Matchweek 3,,"On matchday squad, but did not play",,,,Premier League,,2022-08-21,N,,,,,,,,,,,,Away,,D 3–3,,Sun,"<a href=""/en/squads/b8fd03ef/Manchester-City-Stats"">Manchester City</a>",,Newcastle Utd
0,1,0,,0,0,20,Matchweek 4,"LW,FW",,0,95.2,0,Premier League,30,2022-08-27,N,24,0,2,1,0,21,0,0,0.0,0,0,Home,0.0,W 4–2,1,Sat,"<a href=""/en/squads/b8fd03ef/Manchester-City-Stats"">Manchester City</a>",0.0,Crystal Palace
0,1,3,,0,2,23,Matchweek 5,"AM,FW",,0,85.2,3,Premier League,90,2022-08-31,Y,39,0,4,1,3,27,0,0,0.3,0,5,Home,0.7,W 6–0,1,Wed,"<a href=""/en/squads/b8fd03ef/Manchester-City-Stats"">Manchester City</a>",0.7,Nott'ham Forest
,,,,,,,Matchweek 6,,"On matchday squad, but did not play",,,,Premier League,,2022-09-03,N,,,,,,,,,,,,Away,,D 1–1,,Sat,"<a href=""/en/squads/b8fd03ef/Manchester-City-Stats"">Manchester City</a>",,Aston Villa
0,0,1,,0,0,4,Group stage,FW,,0,100.0,0,Champions Lg,21,2022-09-06,N,8,0,1,0,0,4,0,0,0.1,0,1,Away,0.1,W 4–0,0,Tue,"<span title=""England""><span class=""f-i f-gb-eng"" style="""">eng</span></span>",0.1,Sevilla
