cards_yellow,dribbles_completed,tackles,match_report,cards_red,goals,passes_completed,round,position,bench_explain,pens_att,passes_pct,progressive_passes,comp,minutes,date,game_started,touches,interceptions,sca,dribbles,shots_on_target,passes,assists,pens_made,xg_assist,gca,shots,venue,xg,result,blocks,dayofweek,team,npxg,opponent
0,0,1,,0,0,69,Matchweek 1,CB,,0,97.2,0,Premier League,90,2022-08-07,Y,76,0,3,0,0,71,0,0,0.0,0,1,Home,0.0,D 2–2,1,Sun,"<a href=""/en/squads/a2d435b3/Leicester-City-Stats"">Leicester City</a>",0.0,Brentford
0,0,1,,0,0,51,Matchweek 2,CB,,0,87.9,1,Premier League,62,2022-08-13,Y,60,0,0,0,0,58,0,0,0.0,0,0,Away,0.0,L 2–4,1,Sat,"<a href=""/en/squads/a2d435b3/Leicester-City-Stats"">Leicester City</a>",0.0,Arsenal
0,0,2,,0,0,85,Matchweek 3,CB,,0,85.0,13,Premier League,90,2022-08-20,Y,111,0,1,0,0,100,0,0,0.0,1,0,Home,0.0,L 1–2,0,Sat,"<a href=""/en/squads/a2d435b3/Leicester-City-Stats"">Leicester City</a>",0.0,Southampton
,,,,,,,Second round,,"On matchday squad, but did not play",,,,EFL Cup,,2022-08-23,N,,,,,,,,,,,,Away,,D 0 ,,Tue,"<a href=""/en/squads/a2d435b3/Leicester-City-Stats"">Leicester City</a>",,Stockport
0,1,1,,0,0,72,Matchweek 4,CB,,0,92.3,5,Premier League,90,2022-08-27,Y,87,2,3,2,0,78,0,0,0.3,0,0,Away,0.0,L 1–2,1,Sat,"<a href=""/en/squads/a2d435b3/Leicester-City-Stats"">Leicester City</a>",0.0,Chelsea
0,0,0,,0,0,14,Matchweek 6,CB,,0,82.4,0,Premier League,19,2022-09-04,N,18,1,0,0,0,17,0,0,0.0,0,0,Away,0.0,L 2–5,0,Sun,"<a href=""/en/squads/a2d435b3/Leicester-City-Stats"">Leicester City</a>",0.0,Brighton
,,,,,,,Matchweek 8,,"On matchday squad, but did not play",,,,Premier League,,2022-09-17,N,,,,,,,,,,,,Away,,L 2–6,,Sat,"<a href=""/en/squads/a2d435b3/Leicester-City-Stats"">Leicester City</a>",,Tottenham
0,,,,0,0,,Friendlies (M),CB,,0,,,Friendlies (M),90,2022-09-23,Y,,,,,,,0,0,,,,Neutral,,L 0–3,,Fri,"<span title=""Ghana""><span class=""f-i f-gh"" style="""">gh</span></span>",,Brazil
0,,,,0,0,,Friendlies (M),CB,,0,,,Friendlies (M),90,2022-09-27,Y,,,,,,,0,0,,,,Neutral,,W 1–0,,Tue,"<span title=""Ghana""><span class=""f-i f-gh"" style="""">gh</span></span>",,Nicaragua
,,,,,,,Matchweek 9,,"On matchday squad, but did not play",,,,Premier League,,2022-10-03,N,,,,,,,,,,,,Home,,W 4–0,,Mon,"<a href=""/en/squads/a2d435b3/Leicester-City-Stats"">Leicester City</a>",,Nott'ham Forest
0,0,0,,0,0,15,Matchweek 10,"CB,RB",,0,100.0,0,Premier League,24,2022-10-08,N,18,0,0,0,0,15,0,0,0.0,0,0,Away,0.0,L 1–2,0,Sat,"<a href=""/en/squads/a2d435b3/Leicester-City-Stats"">Leicester City</a>",0.0,Bournemouth
0,0,1,,0,0,70,Matchweek 11,CB,,0,93.3,3,Premier League,90,2022-10-15,Y,80,0,1,0,0,75,0,0,0.0,0,0,Home,0.0,D 0–0,1,Sat,"<a href=""/en/squads/a2d435b3/Leicester-City-Stats"">Leicester City</a>",0.0,Crystal Palace
0,0,4,,0,0,49,Matchweek 12,CB,,0,92.5,1,Premier League,90,2022-10-20,Y,66,1,0,1,0,53,0,0,0.0,0,0,Home,0.0,W 2–0,1,Thu,"<a href=""/en/squads/a2d435b3/Leicester-City-Stats"">Leicester City</a>",0.0,Leeds United
0,0,0,,0,0,18,Matchweek 13,CB,,0,72.0,2,Premier League,90,2022-10-23,Y,34,1,0,0,0,25,0,0,0.0,0,0,Away,0.0,W 4–0,2,Sun,"<a href=""/en/squads/a2d435b3/Leicester-City-Stats"">Leicester City</a>",0.0,Wolves
0,0,1,,0,0,36,Matchweek 14,CB,,0,92.3,1,Premier League,90,2022-10-29,Y,48,0,0,0,1,39,0,0,0.0,0,1,Home,0.0,L 0–1,0,Sat,"<a href=""/en/squads/a2d435b3/Leicester-City-Stats"">Leicester City</a>",0.0,Manchester City
