cards_yellow,npxg,dribbles_completed,tackles,cards_red,goals,passes_completed,round,position,bench_explain,pens_att,passes_pct,progressive_passes,comp,minutes,date,game_started,touches,interceptions,sca,dribbles,shots_on_target,passes,assists,pens_made,xg_assist,gca,shots,venue,xg,result,blocks,dayofweek,team,match_report,opponent
,,,,,,,Matchweek 1,,"On matchday squad, but did not play",,,,Premier League,,2022-08-06,N,,,,,,,,,,,,Away,,W 1–0,,Sat,"<a href=""/en/squads/cff3d9bb/Chelsea-Stats"">Chelsea</a>",,Everton
,,,,,,,Matchweek 2,,"On matchday squad, but did not play",,,,Premier League,,2022-08-14,N,,,,,,,,,,,,Home,,D 2–2,,Sun,"<a href=""/en/squads/cff3d9bb/Chelsea-Stats"">Chelsea</a>",,Tottenham
,,,,,,,Matchweek 3,,"On matchday squad, but did not play",,,,Premier League,,2022-08-21,N,,,,,,,,,,,,Away,,L 0–3,,Sun,"<a href=""/en/squads/cff3d9bb/Chelsea-Stats"">Chelsea</a>",,Leeds United
,,,,,,,Matchweek 4,,"On matchday squad, but did not play",,,,Premier League,,2022-08-27,N,,,,,,,,,,,,Home,,W 2–1,,Sat,"<a href=""/en/squads/cff3d9bb/Chelsea-Stats"">Chelsea</a>",,Leicester City
,,,,,,,Matchweek 5,,"On matchday squad, but did not play",,,,Premier League,,2022-08-30,N,,,,,,,,,,,,Away,,L 1–2,,Tue,"<a href=""/en/squads/cff3d9bb/Chelsea-Stats"">Chelsea</a>",,Southampton
,,,,,,,Matchweek 6,,"On matchday squad, but did not play",,,,Premier League,,2022-09-03,N,,,,,,,,,,,,Home,,W 2–1,,Sat,"<a href=""/en/squads/cff3d9bb/Chelsea-Stats"">Chelsea</a>",,West Ham
0,0.0,0,0,0,0,10,Group stage,GK,,0,71.4,0,Champions Lg,90,2022-09-06,Y,16,0,0,0,0,14,0,0,0.0,0,0,Away,0.0,L 0–1,0,Tue,"<span title=""England""><span class=""f-i f-gb-eng"" style="""">eng</span></span>",,Dinamo Zagreb
0,0.0,0,0,0,0,28,Group stage,GK,,0,71.8,0,Champions Lg,90,2022-09-14,Y,41,0,0,0,0,39,0,0,0.0,0,0,Home,0.0,D 1–1,0,Wed,"<span title=""England""><span class=""f-i f-gb-eng"" style="""">eng</span></span>",,RB Salzburg
0,0.0,0,1,0,0,20,Matchweek 9,GK,,0,87.0,0,Premier League,90,2022-10-01,Y,26,0,0,0,0,23,0,0,0.0,0,0,Away,0.0,W 2–1,0,Sat,"<a href=""/en/squads/cff3d9bb/Chelsea-Stats"">Chelsea</a>",,Crystal Palace
0,0.0,0,0,0,0,13,Group stage,GK,,0,52.0,0,Champions Lg,90,2022-10-05,Y,26,0,0,0,0,25,0,0,0.0,0,0,Home,0.0,W 3–0,0,Wed,"<span title=""England""><span class=""f-i f-gb-eng"" style="""">eng</span></span>",,Milan
0,0.0,0,1,0,0,28,Matchweek 10,GK,,0,87.5,0,Premier League,90,2022-10-08,Y,33,0,0,0,0,32,0,0,0.0,0,0,Home,0.0,W 3–0,0,Sat,"<a href=""/en/squads/cff3d9bb/Chelsea-Stats"">Chelsea</a>",,Wolves
0,0.0,0,0,0,0,29,Group stage,GK,,0,87.9,0,Champions Lg,90,2022-10-11,Y,34,1,0,0,0,33,0,0,0.0,0,0,Away,0.0,W 2–0,0,Tue,"<span title=""England""><span class=""f-i f-gb-eng"" style="""">eng</span></span>",,Milan
0,0.0,0,0,0,0,33,Matchweek 11,GK,,0,80.5,0,Premier League,90,2022-10-16,Y,46,0,0,0,0,41,0,0,0.0,0,0,Away,0.0,W 2–0,0,Sun,"<a href=""/en/squads/cff3d9bb/Chelsea-Stats"">Chelsea</a>",,Aston Villa
0,0.0,0,0,0,0,22,Matchweek 12,GK,,0,62.9,0,Premier League,90,2022-10-19,Y,39,0,1,0,0,35,0,0,0.0,0,0,Away,0.0,D 0–0,0,Wed,"<a href=""/en/squads/cff3d9bb/Chelsea-Stats"">Chelsea</a>",,Brentford
0,0.0,0,0,0,0,39,Matchweek 13,GK,,0,73.6,0,Premier League,90,2022-10-22,Y,58,0,0,0,0,53,0,0,0.0,0,0,Home,0.0,D 1–1,0,Sat,"<a href=""/en/squads/cff3d9bb/Chelsea-Stats"">Chelsea</a>",,Manchester Utd
1,0.0,0,0,0,0,32,Group stage,GK,,0,69.6,0,Champions Lg,90,2022-10-25,Y,48,0,0,0,0,46,0,0,0.0,0,0,Away,0.0,W 2–1,0,Tue,"<span title=""England""><span class=""f-i f-gb-eng"" style="""">eng</span></span>",,RB Salzburg
0,0.0,0,0,0,0,14,Matchweek 14,GK,,0,87.5,0,Premier League,45,2022-10-29,Y,20,0,0,0,0,16,0,0,0.0,0,0,Away,0.0,L 1–4,0,Sat,"<a href=""/en/squads/cff3d9bb/Chelsea-Stats"">Chelsea</a>",,Brighton
