cards_yellow,dribbles_completed,tackles,match_report,cards_red,goals,passes_completed,round,position,pens_att,passes_pct,progressive_passes,comp,minutes,date,game_started,touches,interceptions,sca,dribbles,shots_on_target,passes,assists,pens_made,xg_assist,gca,shots,venue,xg,result,blocks,dayofweek,team,npxg,opponent
1,0,4,,0,0,29,Matchweek 1,DM,0,85.3,2,Premier League,90,2022-08-06,Y,49,1,1,0,0,34,0,0,0.0,0,1,Home,0.0,W 2–1,1,Sat,"<a href=""/en/squads/5bfb9659/Leeds-United-Stats"">Leeds United</a>",0.0,Wolves
0,0,5,,0,0,38,Matchweek 2,DM,0,71.7,0,Premier League,90,2022-08-13,Y,63,1,1,0,0,53,0,0,0.0,0,0,Away,0.0,D 2–2,2,Sat,"<a href=""/en/squads/5bfb9659/Leeds-United-Stats"">Leeds United</a>",0.0,Southampton
0,0,4,,0,0,35,Matchweek 3,DM,0,83.3,4,Premier League,90,2022-08-21,Y,58,3,1,1,0,42,0,0,0.1,0,1,Home,0.0,W 3–0,6,Sun,"<a href=""/en/squads/5bfb9659/Leeds-United-Stats"">Leeds United</a>",0.0,Chelsea
0,0,4,,0,0,49,Matchweek 4,DM,0,81.7,5,Premier League,90,2022-08-27,Y,70,0,2,0,0,60,0,0,0.0,0,0,Away,0.0,L 0–1,0,Sat,"<a href=""/en/squads/5bfb9659/Leeds-United-Stats"">Leeds United</a>",0.0,Brighton
1,2,4,,0,0,77,Matchweek 5,DM,0,87.5,5,Premier League,90,2022-08-30,Y,100,2,0,2,0,88,0,0,0.0,0,0,Home,0.0,D 1–1,2,Tue,"<a href=""/en/squads/5bfb9659/Leeds-United-Stats"">Leeds United</a>",0.0,Everton
0,0,7,,0,0,80,Matchweek 6,DM,0,87.0,9,Premier League,90,2022-09-03,Y,104,1,6,3,0,92,0,0,0.1,0,0,Away,0.0,L 2–5,1,Sat,"<a href=""/en/squads/5bfb9659/Leeds-United-Stats"">Leeds United</a>",0.0,Brentford
0,,,,0,0,,Friendlies (M),DM,0,,,Friendlies (M),90,2022-09-23,Y,,,,,,,0,0,,,,Neutral,,L 0–2,,Fri,"<span title=""United States""><span class=""f-i f-us"" style="""">us</span></span>",,Japan
1,,,,0,0,,Friendlies (M),CM,0,,,Friendlies (M),90,2022-09-27,Y,,,,,,,0,0,,,,Neutral,,D 0–0,,Tue,"<span title=""United States""><span class=""f-i f-us"" style="""">us</span></span>",,Saudi Arabia
0,0,1,,0,0,35,Matchweek 9,"DM,CM",0,81.4,6,Premier League,90,2022-10-02,Y,53,1,1,0,0,43,0,0,0.0,0,0,Home,0.0,D 0–0,5,Sun,"<a href=""/en/squads/5bfb9659/Leeds-United-Stats"">Leeds United</a>",0.0,Aston Villa
0,0,5,,0,0,40,Matchweek 10,DM,0,76.9,4,Premier League,90,2022-10-09,Y,68,1,3,3,0,52,0,0,0.4,0,0,Away,0.0,L 1–2,0,Sun,"<a href=""/en/squads/5bfb9659/Leeds-United-Stats"">Leeds United</a>",0.0,Crystal Palace
0,0,2,,0,0,46,Matchweek 11,DM,0,76.7,5,Premier League,90,2022-10-16,Y,65,1,1,2,0,60,0,0,0.0,0,0,Home,0.0,L 0–1,0,Sun,"<a href=""/en/squads/5bfb9659/Leeds-United-Stats"">Leeds United</a>",0.0,Arsenal
0,0,5,,0,0,58,Matchweek 12,DM,0,82.9,4,Premier League,90,2022-10-20,Y,81,2,3,1,0,70,0,0,0.1,0,0,Away,0.0,L 0–2,2,Thu,"<a href=""/en/squads/5bfb9659/Leeds-United-Stats"">Leeds United</a>",0.0,Leicester City
0,0,3,,0,0,32,Matchweek 14,"DM,RM",0,71.1,5,Premier League,90,2022-10-29,Y,57,2,2,0,0,45,0,0,0.0,1,0,Away,0.0,W 2–1,1,Sat,"<a href=""/en/squads/5bfb9659/Leeds-United-Stats"">Leeds United</a>",0.0,Liverpool
0,0,5,,0,0,39,Matchweek 15,"DM,CM",0,88.6,4,Premier League,90,2022-11-05,Y,52,1,3,0,0,44,0,0,0.0,0,0,Home,0.0,W 4–3,0,Sat,"<a href=""/en/squads/5bfb9659/Leeds-United-Stats"">Leeds United</a>",0.0,Bournemouth
2,0,3,,1,0,61,Matchweek 16,"DM,CM",0,88.4,5,Premier League,86,2022-11-12,Y,80,0,0,0,0,69,0,0,0.0,0,0,Away,0.0,L 3–4,1,Sat,"<a href=""/en/squads/5bfb9659/Leeds-United-Stats"">Leeds United</a>",0.0,Tottenham
0,0,6,,0,0,62,Group stage,CM,0,87.3,8,World Cup,90,2022-11-21,Y*,83,2,0,0,0,71,0,0,0.0,0,1,Neutral,0.0,D 1–1,1,Mon,"<span title=""United States""><span class=""f-i f-us"" style="""">us</span></span>",0.0,Wales
0,0,1,,0,0,41,Group stage,CM,0,87.2,0,World Cup,90,2022-11-25,Y*,55,1,0,0,0,47,0,0,0.0,0,0,Neutral,0.0,D 0–0,2,Fri,"<span title=""United States""><span class=""f-i f-us"" style="""">us</span></span>",0.0,England
1,1,3,,0,0,63,Group stage,CM,0,90.0,2,World Cup,90,2022-11-29,Y*,80,0,0,1,0,70,0,0,0.0,0,0,Neutral,0.0,W 1–0,1,Tue,"<span title=""United States""><span class=""f-i f-us"" style="""">us</span></span>",0.0,IR Iran
0,0,1,,0,0,75,Round of 16,CM,0,90.4,7,World Cup,90,2022-12-03,Y*,89,1,3,0,0,83,0,0,0.4,0,0,Neutral,0.0,L 1–3,2,Sat,"<span title=""United States""><span class=""f-i f-us"" style="""">us</span></span>",0.0,Netherlands
