cards_yellow,npxg,dribbles_completed,tackles,cards_red,goals,passes_completed,round,position,bench_explain,pens_att,passes_pct,progressive_passes,comp,minutes,date,game_started,touches,interceptions,sca,dribbles,shots_on_target,passes,assists,pens_made,xg_assist,gca,shots,venue,xg,result,blocks,dayofweek,team,match_report,opponent
,,,,,,,League A,,"On matchday squad, but did not play",,,,UEFA Nations League,,2022-06-03,N,,,,,,,,,,,,Home,,L 1–2,,Fri,"<span title=""France""><span class=""f-i f-fr"" style="""">fr</span></span>",,Denmark
,,,,,,,League A,,"On matchday squad, but did not play",,,,UEFA Nations League,,2022-06-06,N,,,,,,,,,,,,Away,,D 1–1,,Mon,"<span title=""France""><span class=""f-i f-fr"" style="""">fr</span></span>",,Croatia
,,,,,,,League A,,"On matchday squad, but did not play",,,,UEFA Nations League,,2022-06-10,N,,,,,,,,,,,,Away,,D 1–1,,Fri,"<span title=""France""><span class=""f-i f-fr"" style="""">fr</span></span>",,Austria
,,,,,,,League A,,"On matchday squad, but did not play",,,,UEFA Nations League,,2022-06-13,N,,,,,,,,,,,,Home,,L 0–1,,Mon,"<span title=""France""><span class=""f-i f-fr"" style="""">fr</span></span>",,Croatia
0,0.0,0,0,0,0,20,Matchweek 1,GK,,0,71.4,0,Premier League,62,2022-08-07,N,29,0,0,0,0,28,0,0,0.0,0,0,Home,0.0,L 0–2,0,Sun,"<a href=""/en/squads/7c21e445/West-Ham-United-Stats"">West Ham</a>",,Manchester City
,,,,,,,Matchweek 2,,"On matchday squad, but did not play",,,,Premier League,,2022-08-14,N,,,,,,,,,,,,Away,,L 0–1,,Sun,"<a href=""/en/squads/7c21e445/West-Ham-United-Stats"">West Ham</a>",,Nott'ham Forest
0,,,,0,0,,Play-off round,GK,,0,,,Conf Lg,90,2022-08-18,Y,,,,,,,0,0,,,,Home,,W 3–1,,Thu,"<span title=""England""><span class=""f-i f-gb-eng"" style="""">eng</span></span>",,Viborg
,,,,,,,Matchweek 3,,"On matchday squad, but did not play",,,,Premier League,,2022-08-21,N,,,,,,,,,,,,Home,,L 0–2,,Sun,"<a href=""/en/squads/7c21e445/West-Ham-United-Stats"">West Ham</a>",,Brighton
0,,,,0,0,,Play-off round,GK,,0,,,Conf Lg,90,2022-08-25,Y,,,,,,,0,0,,,,Away,,W 3–0,,Thu,"<span title=""England""><span class=""f-i f-gb-eng"" style="""">eng</span></span>",,Viborg
,,,,,,,Matchweek 4,,"On matchday squad, but did not play",,,,Premier League,,2022-08-28,N,,,,,,,,,,,,Away,,W 1–0,,Sun,"<a href=""/en/squads/7c21e445/West-Ham-United-Stats"">West Ham</a>",,Aston Villa
