cards_yellow,dribbles_completed,tackles,match_report,cards_red,goals,passes_completed,round,position,bench_explain,pens_att,passes_pct,progressive_passes,comp,minutes,date,game_started,touches,interceptions,sca,dribbles,shots_on_target,passes,assists,pens_made,xg_assist,gca,shots,venue,xg,result,blocks,dayofweek,team,npxg,opponent
0,1,1,,0,0,16,Matchweek 1,FW,,0,76.2,0,Premier League,90,2022-08-06,Y,32,1,1,3,1,21,0,0,0.0,0,1,Away,0.0,L 1–4,0,Sat,"<a href=""/en/squads/33c895d4/Southampton-Stats"">Southampton</a>",0.0,Tottenham
0,1,1,,0,1,7,Matchweek 2,AM,,0,70.0,0,Premier League,29,2022-08-13,N,17,0,1,2,2,10,0,0,0.0,1,3,Home,0.3,D 2–2,0,Sat,"<a href=""/en/squads/33c895d4/Southampton-Stats"">Southampton</a>",0.3,Leeds United
1,1,4,,0,0,17,Matchweek 3,"RW,AM",,0,70.8,2,Premier League,87,2022-08-20,Y,36,1,1,2,0,24,0,0,0.0,0,0,Away,0.0,W 2–1,1,Sat,"<a href=""/en/squads/33c895d4/Southampton-Stats"">Southampton</a>",0.0,Leicester City
0,,,,0,0,,Second round,,,0,,,EFL Cup,25,2022-08-23,N,,0,,,0,,0,0,,,0,Away,,W 3–0,,Tue,"<a href=""/en/squads/33c895d4/Southampton-Stats"">Southampton</a>",,Cambridge Utd
0,1,1,,0,0,17,Matchweek 4,AM,,0,81.0,0,Premier League,88,2022-08-27,Y,31,0,4,2,1,21,0,0,0.0,0,1,Home,0.1,L 0–1,1,Sat,"<a href=""/en/squads/33c895d4/Southampton-Stats"">Southampton</a>",0.1,Manchester Utd
0,0,0,,0,0,4,Matchweek 5,"AM,LM",,0,40.0,0,Premier League,31,2022-08-30,N,13,0,0,0,0,10,0,0,0.0,0,0,Home,0.0,W 2–1,0,Tue,"<a href=""/en/squads/33c895d4/Southampton-Stats"">Southampton</a>",0.0,Chelsea
0,2,2,,0,0,23,Matchweek 6,AM,,0,79.3,2,Premier League,72,2022-09-03,Y,43,0,3,3,0,29,0,0,0.1,0,1,Away,0.4,L 0–1,2,Sat,"<a href=""/en/squads/33c895d4/Southampton-Stats"">Southampton</a>",0.4,Wolves
0,2,1,,0,0,13,Matchweek 8,DM,,0,68.4,0,Premier League,45,2022-09-16,N,29,0,2,7,0,19,0,0,0.0,0,0,Away,0.0,L 0–1,0,Fri,"<a href=""/en/squads/33c895d4/Southampton-Stats"">Southampton</a>",0.0,Aston Villa
0,0,5,,0,1,23,Matchweek 9,LM,,0,67.6,2,Premier League,90,2022-10-01,Y,54,0,3,2,1,34,0,0,0.1,0,2,Home,0.1,L 1–2,2,Sat,"<a href=""/en/squads/33c895d4/Southampton-Stats"">Southampton</a>",0.1,Everton
0,1,1,,0,0,16,Matchweek 10,LM,,0,69.6,4,Premier League,78,2022-10-08,Y,27,0,0,2,0,23,0,0,0.0,0,0,Away,0.0,L 0–4,2,Sat,"<a href=""/en/squads/33c895d4/Southampton-Stats"">Southampton</a>",0.0,Manchester City
0,2,3,,0,0,19,Matchweek 11,RW,,0,67.9,0,Premier League,73,2022-10-16,Y,41,2,2,4,0,28,0,0,0.0,0,0,Home,0.0,D 1–1,0,Sun,"<a href=""/en/squads/33c895d4/Southampton-Stats"">Southampton</a>",0.0,West Ham
0,0,3,,0,0,20,Matchweek 12,LM,,0,76.9,4,Premier League,63,2022-10-19,Y,36,1,2,0,1,26,0,0,0.1,0,1,Away,0.3,W 1–0,1,Wed,"<a href=""/en/squads/33c895d4/Southampton-Stats"">Southampton</a>",0.3,Bournemouth
0,1,2,,0,0,9,Matchweek 13,FW,,0,69.2,0,Premier League,72,2022-10-23,Y,23,0,1,1,1,13,0,0,0.0,0,2,Home,0.2,D 1–1,2,Sun,"<a href=""/en/squads/33c895d4/Southampton-Stats"">Southampton</a>",0.2,Arsenal
0,0,4,,0,0,34,Matchweek 14,FW,,0,82.9,7,Premier League,90,2022-10-29,Y,54,0,4,3,1,41,0,0,0.4,0,1,Away,0.0,L 0–1,1,Sat,"<a href=""/en/squads/33c895d4/Southampton-Stats"">Southampton</a>",0.0,Crystal Palace
0,1,0,,0,0,6,Matchweek 15,FW,,0,75.0,0,Premier League,27,2022-11-06,N,10,0,1,2,0,8,0,0,0.0,0,0,Home,0.0,L 1–4,0,Sun,"<a href=""/en/squads/33c895d4/Southampton-Stats"">Southampton</a>",0.0,Newcastle Utd
0,,,,0,0,,Third round,AM,,0,,,EFL Cup,59,2022-11-09,Y,,0,,,1,,0,0,,,1,Home,,D 1 ,,Wed,"<a href=""/en/squads/33c895d4/Southampton-Stats"">Southampton</a>",,Sheffield Weds
0,0,0,,0,0,3,Matchweek 16,DM,,0,50.0,0,Premier League,9,2022-11-12,N,6,0,0,0,0,6,0,0,0.0,0,0,Away,0.0,L 1–3,0,Sat,"<a href=""/en/squads/33c895d4/Southampton-Stats"">Southampton</a>",0.0,Liverpool
0,,,,0,0,,Friendlies (M),FW,,0,,,Friendlies (M),68,2022-11-17,Y,,,,,,,0,0,,,,Neutral,,L 0–4,,Thu,"<span title=""Nigeria""><span class=""f-i f-ng"" style="""">ng</span></span>",,Portugal
,,,,,,,Fourth round,,"On matchday squad, but did not play",,,,EFL Cup,,2022-12-20,N,,,,,,,,,,,,Home,,W 2–1,,Tue,"<a href=""/en/squads/33c895d4/Southampton-Stats"">Southampton</a>",,Lincoln City
