cards_yellow,dribbles_completed,tackles,match_report,cards_red,goals,passes_completed,round,position,bench_explain,pens_att,passes_pct,progressive_passes,comp,minutes,date,game_started,touches,interceptions,sca,dribbles,shots_on_target,passes,assists,pens_made,xg_assist,gca,shots,venue,xg,result,blocks,dayofweek,team,npxg,opponent
0,0,2,,0,0,15,Matchweek 1,RW,,0,55.6,4,Premier League,83,2022-08-06,Y,35,0,1,0,0,27,0,0,0.0,0,1,Home,0.0,W 2–1,2,Sat,"<a href=""/en/squads/5bfb9659/Leeds-United-Stats"">Leeds United</a>",0.0,Wolves
1,3,3,,0,0,30,Matchweek 2,"RW,AM",,0,69.8,1,Premier League,90,2022-08-13,Y,61,0,4,7,0,43,0,0,0.1,0,2,Away,0.1,D 2–2,4,Sat,"<a href=""/en/squads/5bfb9659/Leeds-United-Stats"">Leeds United</a>",0.1,Southampton
0,1,2,,0,1,19,Matchweek 3,AM,,0,67.9,3,Premier League,82,2022-08-21,Y,42,1,5,5,2,28,0,0,0.1,1,2,Home,1.0,W 3–0,1,Sun,"<a href=""/en/squads/5bfb9659/Leeds-United-Stats"">Leeds United</a>",1.0,Chelsea
,,,,,,,Second round,,"On matchday squad, but did not play",,,,EFL Cup,,2022-08-24,N,,,,,,,,,,,,Home,,W 3–1,,Wed,"<a href=""/en/squads/5bfb9659/Leeds-United-Stats"">Leeds United</a>",,Barnsley
1,4,2,,0,0,20,Matchweek 4,"AM,RW",,0,80.0,0,Premier League,81,2022-08-27,Y,31,0,3,6,0,25,0,0,0.0,0,0,Away,0.0,L 0–1,0,Sat,"<a href=""/en/squads/5bfb9659/Leeds-United-Stats"">Leeds United</a>",0.0,Brighton
0,1,0,,0,0,24,Matchweek 5,"AM,RW",,0,80.0,0,Premier League,75,2022-08-30,Y,36,0,4,3,1,30,1,0,0.1,1,1,Home,0.1,D 1–1,1,Tue,"<a href=""/en/squads/5bfb9659/Leeds-United-Stats"">Leeds United</a>",0.1,Everton
0,2,2,,0,0,24,Matchweek 6,AM,,0,85.7,0,Premier League,90,2022-09-03,Y,44,0,2,5,0,28,0,0,0.3,0,1,Away,0.0,L 2–5,2,Sat,"<a href=""/en/squads/5bfb9659/Leeds-United-Stats"">Leeds United</a>",0.0,Brentford
0,,,,0,0,,Friendlies (M),FW,,0,,,Friendlies (M),90,2022-09-23,Y,,,,,,,0,0,,,,Neutral,,L 0–2,,Fri,"<span title=""United States""><span class=""f-i f-us"" style="""">us</span></span>",,Japan
0,,,,0,0,,Friendlies (M),,,0,,,Friendlies (M),15,2022-09-27,N,,,,,,,0,0,,,,Neutral,,D 0–0,,Tue,"<span title=""United States""><span class=""f-i f-us"" style="""">us</span></span>",,Saudi Arabia
0,1,0,,0,0,13,Matchweek 9,"AM,CM",,0,76.5,1,Premier League,78,2022-10-02,Y,25,0,2,4,0,17,0,0,0.1,0,0,Home,0.0,D 0–0,0,Sun,"<a href=""/en/squads/5bfb9659/Leeds-United-Stats"">Leeds United</a>",0.0,Aston Villa
0,1,1,,0,0,17,Matchweek 10,"RW,AM",,0,68.0,1,Premier League,75,2022-10-09,Y,34,0,3,2,0,25,0,0,0.0,1,2,Away,0.1,L 1–2,2,Sun,"<a href=""/en/squads/5bfb9659/Leeds-United-Stats"">Leeds United</a>",0.1,Crystal Palace
0,1,1,,0,0,35,Matchweek 11,"RW,DM",,0,76.1,4,Premier League,90,2022-10-16,Y,60,0,4,4,1,46,0,0,0.3,0,2,Home,0.1,L 0–1,1,Sun,"<a href=""/en/squads/5bfb9659/Leeds-United-Stats"">Leeds United</a>",0.1,Arsenal
0,3,3,,0,0,30,Matchweek 12,"DM,AM",,0,71.4,4,Premier League,90,2022-10-20,Y,53,0,3,5,0,42,0,0,0.4,0,1,Away,0.1,L 0–2,0,Thu,"<a href=""/en/squads/5bfb9659/Leeds-United-Stats"">Leeds United</a>",0.1,Leicester City
0,1,4,,0,0,25,Matchweek 13,AM,,0,83.3,3,Premier League,90,2022-10-23,Y,46,0,7,4,0,30,0,0,0.9,0,1,Home,0.1,L 2–3,2,Sun,"<a href=""/en/squads/5bfb9659/Leeds-United-Stats"">Leeds United</a>",0.1,Fulham
0,1,2,,0,0,20,Matchweek 14,"AM,CM",,0,71.4,3,Premier League,90,2022-10-29,Y,46,0,5,4,0,28,0,0,0.2,0,2,Away,0.2,W 2–1,3,Sat,"<a href=""/en/squads/5bfb9659/Leeds-United-Stats"">Leeds United</a>",0.2,Liverpool
0,0,0,,0,0,29,Matchweek 15,AM,,0,74.4,3,Premier League,85,2022-11-05,Y,50,0,4,1,0,39,0,0,0.0,1,2,Home,0.1,W 4–3,3,Sat,"<a href=""/en/squads/5bfb9659/Leeds-United-Stats"">Leeds United</a>",0.1,Bournemouth
0,0,2,,0,0,33,Matchweek 16,"AM,RM,FW",,0,86.8,1,Premier League,90,2022-11-12,Y,52,0,4,4,0,38,1,0,0.4,1,2,Away,0.1,L 3–4,0,Sat,"<a href=""/en/squads/5bfb9659/Leeds-United-Stats"">Leeds United</a>",0.1,Tottenham
0,0,1,,0,0,17,Group stage,RM,,0,89.5,0,World Cup,25,2022-11-21,N,25,0,0,2,0,19,0,0,0.0,0,1,Neutral,0.1,D 1–1,1,Mon,"<span title=""United States""><span class=""f-i f-us"" style="""">us</span></span>",0.1,Wales
0,0,1,,0,0,9,Group stage,RM,,0,100.0,1,World Cup,14,2022-11-25,N,11,0,0,0,0,9,0,0,0.0,0,0,Neutral,0.0,D 0–0,1,Fri,"<span title=""United States""><span class=""f-i f-us"" style="""">us</span></span>",0.0,England
0,1,0,,0,0,7,Group stage,LM,,0,53.8,3,World Cup,45,2022-11-29,N,24,1,2,5,0,13,0,0,0.2,0,0,Neutral,0.0,W 1–0,1,Tue,"<span title=""United States""><span class=""f-i f-us"" style="""">us</span></span>",0.0,IR Iran
