cards_yellow,npxg,dribbles_completed,tackles,cards_red,goals,passes_completed,round,position,bench_explain,pens_att,passes_pct,progressive_passes,comp,minutes,date,game_started,touches,interceptions,sca,dribbles,shots_on_target,passes,assists,pens_made,xg_assist,gca,shots,venue,xg,result,blocks,dayofweek,team,match_report,opponent
,,,,,,,Friendlies (M),,"On matchday squad, but did not play",,,,Friendlies (M),,2022-09-24,N,,,,,,,,,,,,Neutral,,W 2–1,,Sat,"<span title=""Côte d'Ivoire""><span class=""f-i f-ci"" style="""">ci</span></span>",,Togo
0,,,,0,0,,Friendlies (M),RB,,0,,,Friendlies (M),60,2022-09-27,Y*,,,,,,,0,0,,,,Neutral,,W 3–1,,Tue,"<span title=""Côte d'Ivoire""><span class=""f-i f-ci"" style="""">ci</span></span>",,Guinea
0,0.0,1,2,0,0,27,Matchweek 9,RB,,0,79.4,1,Premier League,45,2022-10-03,N,39,1,1,1,0,34,0,0,0.1,0,0,Away,0.0,L 0–4,0,Mon,"<a href=""/en/squads/e4a775cb/Nottingham-Forest-Stats"">Nott'ham Forest</a>",,Leicester City
1,0.0,0,0,0,0,32,Matchweek 10,RB,,0,80.0,2,Premier League,57,2022-10-10,Y,48,2,1,0,0,40,0,0,0.0,0,0,Home,0.0,D 1–1,1,Mon,"<a href=""/en/squads/e4a775cb/Nottingham-Forest-Stats"">Nott'ham Forest</a>",,Aston Villa
0,0.0,0,2,0,0,23,Matchweek 12,RB,,0,62.2,1,Premier League,68,2022-10-18,Y,41,0,1,0,0,37,0,0,0.0,0,0,Away,0.0,D 0–0,1,Tue,"<a href=""/en/squads/e4a775cb/Nottingham-Forest-Stats"">Nott'ham Forest</a>",,Brighton
0,0.0,0,7,0,0,12,Matchweek 13,RB,,0,50.0,1,Premier League,90,2022-10-22,Y,41,0,0,2,0,24,0,0,0.0,0,0,Home,0.0,W 1–0,1,Sat,"<a href=""/en/squads/e4a775cb/Nottingham-Forest-Stats"">Nott'ham Forest</a>",,Liverpool
0,0.0,0,8,0,0,22,Matchweek 14,RB,,0,68.8,3,Premier League,90,2022-10-30,Y,51,0,0,1,0,32,0,0,0.0,0,0,Away,0.0,L 0–5,4,Sun,"<a href=""/en/squads/e4a775cb/Nottingham-Forest-Stats"">Nott'ham Forest</a>",,Arsenal
0,0.0,0,3,0,0,49,Matchweek 15,"RB,CB",,0,70.0,3,Premier League,90,2022-11-05,Y,80,1,2,0,0,70,0,0,0.1,0,0,Home,0.0,D 2–2,1,Sat,"<a href=""/en/squads/e4a775cb/Nottingham-Forest-Stats"">Nott'ham Forest</a>",,Brentford
0,,,,0,0,,Third round,RB,,0,,,EFL Cup,61,2022-11-09,Y,,1,,,0,,0,0,,,0,Home,,W 2–0,,Wed,"<a href=""/en/squads/e4a775cb/Nottingham-Forest-Stats"">Nott'ham Forest</a>",,Tottenham
0,0.0,1,1,0,0,28,Matchweek 16,RB,,0,65.1,3,Premier League,90,2022-11-12,Y,54,2,1,2,0,43,0,0,0.0,0,0,Home,0.0,W 1–0,0,Sat,"<a href=""/en/squads/e4a775cb/Nottingham-Forest-Stats"">Nott'ham Forest</a>",,Crystal Palace
0,,,,0,0,,Friendlies (M),RB,,0,,,Friendlies (M),90,2022-11-19,Y*,,,,,,,0,0,,,,Neutral,,L 1–2,,Sat,"<span title=""Côte d'Ivoire""><span class=""f-i f-ci"" style="""">ci</span></span>",,Burkina Faso
