cards_yellow,dribbles_completed,tackles,match_report,cards_red,goals,passes_completed,round,position,bench_explain,pens_att,passes_pct,progressive_passes,comp,minutes,date,game_started,touches,interceptions,sca,dribbles,shots_on_target,passes,assists,pens_made,xg_assist,gca,shots,venue,xg,result,blocks,dayofweek,team,npxg,opponent
0,0,0,,0,0,10,Matchweek 1,FW,,0,100.0,0,Premier League,45,2022-08-06,Y,13,0,0,0,0,10,0,0,0.0,0,1,Away,0.0,L 1–4,1,Sat,"<a href=""/en/squads/33c895d4/Southampton-Stats"">Southampton</a>",0.0,Tottenham
0,0,0,,0,0,8,Matchweek 2,FW,,0,66.7,2,Premier League,30,2022-08-13,N,14,0,1,0,0,12,1,0,0.1,1,0,Home,0.0,D 2–2,0,Sat,"<a href=""/en/squads/33c895d4/Southampton-Stats"">Southampton</a>",0.0,Leeds United
0,1,0,,0,0,12,Matchweek 3,LW,,0,60.0,0,Premier League,69,2022-08-20,Y,25,0,1,1,0,20,0,0,0.0,0,0,Away,0.0,W 2–1,0,Sat,"<a href=""/en/squads/33c895d4/Southampton-Stats"">Southampton</a>",0.0,Leicester City
0,,,,0,0,,Second round,AM,,0,,,EFL Cup,65,2022-08-23,Y,,0,,,1,,0,0,,,1,Away,,W 3–0,,Tue,"<a href=""/en/squads/33c895d4/Southampton-Stats"">Southampton</a>",,Cambridge Utd
0,1,0,,0,0,12,Matchweek 4,RW,,0,80.0,3,Premier League,76,2022-08-27,Y,21,0,2,4,1,15,0,0,0.2,0,1,Home,0.1,L 0–1,0,Sat,"<a href=""/en/squads/33c895d4/Southampton-Stats"">Southampton</a>",0.1,Manchester Utd
0,1,1,,0,1,9,Matchweek 5,LW,,0,50.0,1,Premier League,85,2022-08-30,Y,30,1,1,5,2,18,0,0,0.0,0,2,Home,0.3,W 2–1,3,Tue,"<a href=""/en/squads/33c895d4/Southampton-Stats"">Southampton</a>",0.3,Chelsea
0,1,0,,0,0,19,Matchweek 6,"LW,RW,FW",,0,70.4,1,Premier League,82,2022-09-03,Y,36,0,1,3,0,27,0,0,0.0,0,2,Away,0.1,L 0–1,1,Sat,"<a href=""/en/squads/33c895d4/Southampton-Stats"">Southampton</a>",0.1,Wolves
0,0,3,,0,0,11,Matchweek 8,LW,,0,68.8,3,Premier League,70,2022-09-16,Y,32,0,0,4,0,16,0,0,0.0,0,0,Away,0.0,L 0–1,4,Fri,"<a href=""/en/squads/33c895d4/Southampton-Stats"">Southampton</a>",0.0,Aston Villa
0,0,1,,0,0,14,Matchweek 9,FW,,0,100.0,1,Premier League,31,2022-10-01,N,21,0,1,0,2,14,0,0,0.1,0,4,Home,0.3,L 1–2,0,Sat,"<a href=""/en/squads/33c895d4/Southampton-Stats"">Southampton</a>",0.3,Everton
0,0,0,,0,0,18,Matchweek 10,FW,,0,94.7,0,Premier League,65,2022-10-08,Y,21,0,1,2,0,19,0,0,0.1,0,0,Away,0.0,L 0–4,0,Sat,"<a href=""/en/squads/33c895d4/Southampton-Stats"">Southampton</a>",0.0,Manchester City
0,0,0,,0,0,15,Matchweek 11,LW,,0,71.4,3,Premier League,73,2022-10-16,Y,27,0,4,2,0,21,0,0,0.1,0,0,Home,0.0,D 1–1,3,Sun,"<a href=""/en/squads/33c895d4/Southampton-Stats"">Southampton</a>",0.0,West Ham
0,2,0,,0,0,8,Matchweek 12,FW,,0,57.1,0,Premier League,87,2022-10-19,Y,24,0,2,5,0,14,0,0,0.1,0,1,Away,0.0,W 1–0,1,Wed,"<a href=""/en/squads/33c895d4/Southampton-Stats"">Southampton</a>",0.0,Bournemouth
0,0,3,,0,0,9,Matchweek 13,FW,,0,81.8,0,Premier League,72,2022-10-23,Y,20,0,1,1,0,11,0,0,0.0,0,1,Home,0.0,D 1–1,0,Sun,"<a href=""/en/squads/33c895d4/Southampton-Stats"">Southampton</a>",0.0,Arsenal
,,,,,,,Matchweek 14,,"On matchday squad, but did not play",,,,Premier League,,2022-10-29,N,,,,,,,,,,,,Away,,L 0–1,,Sat,"<a href=""/en/squads/33c895d4/Southampton-Stats"">Southampton</a>",,Crystal Palace
0,1,0,,0,0,9,Matchweek 15,FW,,0,81.8,0,Premier League,27,2022-11-06,N,14,1,2,1,1,11,0,0,0.1,0,1,Home,0.0,L 1–4,0,Sun,"<a href=""/en/squads/33c895d4/Southampton-Stats"">Southampton</a>",0.0,Newcastle Utd
0,,,,0,0,,Third round,AM,,0,,,EFL Cup,120,2022-11-09,Y,,1,,,0,,0,0,,,4,Home,,D 1 ,,Wed,"<a href=""/en/squads/33c895d4/Southampton-Stats"">Southampton</a>",,Sheffield Weds
0,0,0,,0,0,9,Matchweek 16,FW,,0,81.8,0,Premier League,57,2022-11-12,Y,16,0,0,0,1,11,0,0,0.0,0,3,Away,0.2,L 1–3,0,Sat,"<a href=""/en/squads/33c895d4/Southampton-Stats"">Southampton</a>",0.2,Liverpool
0,,,,0,0,,Fourth round,FW,,0,,,EFL Cup,61,2022-12-20,Y,,0,,,0,,0,0,,,1,Home,,W 2–1,,Tue,"<a href=""/en/squads/33c895d4/Southampton-Stats"">Southampton</a>",,Lincoln City
