cards_yellow,dribbles_completed,tackles,match_report,cards_red,goals,passes_completed,round,position,bench_explain,pens_att,passes_pct,progressive_passes,comp,minutes,date,game_started,touches,interceptions,sca,dribbles,shots_on_target,passes,assists,pens_made,xg_assist,gca,shots,venue,xg,result,blocks,dayofweek,team,npxg,opponent
0,0,0,,0,0,28,Matchweek 1,GK,,0,80.0,0,Premier League,90,2022-08-06,Y,36,0,0,0,0,35,0,0,0.0,0,0,Away,0.0,D 2–2,0,Sat,"<a href=""/en/squads/822bd0ba/Liverpool-Stats"">Liverpool</a>",0.0,Fulham
0,0,0,,0,0,28,Matchweek 2,GK,,0,87.5,0,Premier League,90,2022-08-15,Y,33,0,0,0,0,32,0,0,0.0,0,0,Home,0.0,D 1–1,0,Mon,"<a href=""/en/squads/822bd0ba/Liverpool-Stats"">Liverpool</a>",0.0,Crystal Palace
0,0,0,,0,0,40,Matchweek 3,GK,,0,90.9,0,Premier League,90,2022-08-22,Y,48,0,0,0,0,44,0,0,0.0,0,0,Away,0.0,L 1–2,1,Mon,"<a href=""/en/squads/822bd0ba/Liverpool-Stats"">Liverpool</a>",0.0,Manchester Utd
0,0,0,,0,0,23,Matchweek 4,GK,,0,92.0,0,Premier League,90,2022-08-27,Y,26,0,0,0,0,25,0,0,0.0,0,0,Home,0.0,W 9–0,0,Sat,"<a href=""/en/squads/822bd0ba/Liverpool-Stats"">Liverpool</a>",0.0,Bournemouth
0,0,0,,0,0,35,Matchweek 5,GK,,0,77.8,0,Premier League,90,2022-08-31,Y,45,0,0,0,0,45,0,0,0.0,0,0,Home,0.0,W 2–1,0,Wed,"<a href=""/en/squads/822bd0ba/Liverpool-Stats"">Liverpool</a>",0.0,Newcastle Utd
0,0,0,,0,0,25,Matchweek 6,GK,,0,89.3,0,Premier League,90,2022-09-03,Y,32,0,0,0,0,28,0,0,0.0,0,0,Away,0.0,D 0–0,0,Sat,"<a href=""/en/squads/822bd0ba/Liverpool-Stats"">Liverpool</a>",0.0,Everton
0,0,0,,0,0,32,Group stage,GK,,0,91.4,0,Champions Lg,90,2022-09-07,Y,39,0,0,0,0,35,0,0,0.0,0,0,Away,0.0,L 1–4,0,Wed,"<span title=""England""><span class=""f-i f-gb-eng"" style="""">eng</span></span>",0.0,Napoli
0,0,0,,0,0,38,Group stage,GK,,0,95.0,0,Champions Lg,90,2022-09-13,Y,40,0,1,0,0,40,0,0,0.0,0,0,Home,0.0,W 2–1,0,Tue,"<span title=""England""><span class=""f-i f-gb-eng"" style="""">eng</span></span>",0.0,Ajax
0,,,,0,0,,Friendlies (M),GK,,0,,,Friendlies (M),90,2022-09-23,Y,,,,,,,0,0,,,,Neutral,,W 3–0,,Fri,"<span title=""Brazil""><span class=""f-i f-br"" style="""">br</span></span>",,Ghana
0,,,,0,0,,Friendlies (M),GK,,0,,,Friendlies (M),90,2022-09-27,Y,,,,,,,0,0,,,,Neutral,,W 5–1,,Tue,"<span title=""Brazil""><span class=""f-i f-br"" style="""">br</span></span>",,Tunisia
0,0,0,,0,0,27,Matchweek 9,GK,,0,87.1,0,Premier League,90,2022-10-01,Y,33,0,0,0,0,31,0,0,0.0,0,0,Home,0.0,D 3–3,0,Sat,"<a href=""/en/squads/822bd0ba/Liverpool-Stats"">Liverpool</a>",0.0,Brighton
