cards_yellow,dribbles_completed,tackles,match_report,cards_red,goals,passes_completed,round,position,bench_explain,pens_att,passes_pct,progressive_passes,comp,minutes,date,game_started,touches,interceptions,sca,dribbles,shots_on_target,passes,assists,pens_made,xg_assist,gca,shots,venue,xg,result,blocks,dayofweek,team,npxg,opponent
0,1,2,,0,0,32,Matchweek 1,RW,,0,82.1,3,Premier League,80,2022-08-06,Y,50,0,6,3,1,39,0,0,0.3,0,1,Home,0.1,W 2–0,1,Sat,"<a href=""/en/squads/b2b47a98/Newcastle-United-Stats"">Newcastle Utd</a>",0.1,Nott'ham Forest
0,3,2,,0,0,16,Matchweek 2,RW,,0,76.2,2,Premier League,90,2022-08-13,Y,37,1,1,6,0,21,0,0,0.0,0,1,Away,0.1,D 0–0,2,Sat,"<a href=""/en/squads/b2b47a98/Newcastle-United-Stats"">Newcastle Utd</a>",0.1,Brighton
0,0,0,,0,1,14,Matchweek 3,RW,,0,70.0,4,Premier League,82,2022-08-21,Y,27,0,1,2,1,20,0,0,0.1,0,3,Home,0.7,D 3–3,0,Sun,"<a href=""/en/squads/b2b47a98/Newcastle-United-Stats"">Newcastle Utd</a>",0.7,Manchester City
,,,,,,,Second round,,"On matchday squad, but did not play",,,,EFL Cup,,2022-08-24,N,,,,,,,,,,,,Away,,W 2–1,,Wed,"<a href=""/en/squads/b2b47a98/Newcastle-United-Stats"">Newcastle Utd</a>",,Tranmere Rovers
0,1,2,,0,0,27,Matchweek 4,RW,,0,87.1,1,Premier League,83,2022-08-28,Y,40,0,5,2,0,31,0,0,0.0,0,3,Away,0.2,D 1–1,0,Sun,"<a href=""/en/squads/b2b47a98/Newcastle-United-Stats"">Newcastle Utd</a>",0.2,Wolves
0,1,1,,0,0,11,Matchweek 5,RW,,0,73.3,1,Premier League,83,2022-08-31,Y,20,0,0,1,0,15,0,0,0.0,0,0,Away,0.0,L 1–2,1,Wed,"<a href=""/en/squads/b2b47a98/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Liverpool
0,2,1,,0,0,18,Matchweek 6,RW,,0,72.0,2,Premier League,69,2022-09-03,Y,38,0,2,3,0,25,0,0,0.1,0,3,Home,0.2,D 0–0,1,Sat,"<a href=""/en/squads/b2b47a98/Newcastle-United-Stats"">Newcastle Utd</a>",0.2,Crystal Palace
0,0,2,,0,0,46,Matchweek 8,RW,,0,90.2,4,Premier League,88,2022-09-17,Y,63,0,3,0,1,51,0,0,0.1,0,2,Home,0.2,D 1–1,2,Sat,"<a href=""/en/squads/b2b47a98/Newcastle-United-Stats"">Newcastle Utd</a>",0.2,Bournemouth
0,,,,0,0,,Friendlies (M),RW,,0,,,Friendlies (M),90,2022-09-23,Y,,,,,,,0,0,,,,Neutral,,W 1–0,,Fri,"<span title=""Paraguay""><span class=""f-i f-py"" style="""">py</span></span>",,UAE
0,,,,0,0,,Friendlies (M),RW,,0,,,Friendlies (M),90,2022-09-27,Y,,,,,,,0,0,,,,Neutral,,D 0–0,,Tue,"<span title=""Paraguay""><span class=""f-i f-py"" style="""">py</span></span>",,Morocco
0,1,1,,0,2,40,Matchweek 9,RW,,0,88.9,5,Premier League,90,2022-10-01,Y,54,0,1,3,2,45,0,0,0.0,1,4,Away,1.0,W 4–1,1,Sat,"<a href=""/en/squads/b2b47a98/Newcastle-United-Stats"">Newcastle Utd</a>",1.0,Fulham
0,1,1,,0,1,23,Matchweek 10,RW,,0,76.7,3,Premier League,83,2022-10-08,Y,42,0,4,2,2,30,0,0,0.0,2,4,Home,0.5,W 5–1,0,Sat,"<a href=""/en/squads/b2b47a98/Newcastle-United-Stats"">Newcastle Utd</a>",0.5,Brentford
0,0,1,,0,0,19,Matchweek 11,RW,,0,82.6,3,Premier League,90,2022-10-16,Y,37,0,2,2,0,23,0,0,0.0,0,1,Away,0.1,D 0–0,2,Sun,"<a href=""/en/squads/b2b47a98/Newcastle-United-Stats"">Newcastle Utd</a>",0.1,Manchester Utd
0,1,3,,0,1,26,Matchweek 12,RW,,0,89.7,3,Premier League,72,2022-10-19,Y,44,0,3,4,1,29,0,0,0.0,0,3,Home,0.2,W 1–0,1,Wed,"<a href=""/en/squads/b2b47a98/Newcastle-United-Stats"">Newcastle Utd</a>",0.2,Everton
