cards_yellow,dribbles_completed,tackles,match_report,cards_red,goals,passes_completed,round,position,bench_explain,pens_att,passes_pct,progressive_passes,comp,minutes,date,game_started,touches,interceptions,sca,dribbles,shots_on_target,passes,assists,pens_made,xg_assist,gca,shots,venue,xg,result,blocks,dayofweek,team,npxg,opponent
1,,,,0,0,,League A,CB,,0,,,UEFA Nations League,78,2022-06-09,Y,,1,,,0,,0,0,,,0,Home,,L 0–1,,Thu,"<span title=""Switzerland""><span class=""f-i f-ch"" style="""">ch</span></span>",,Spain
0,,,,0,0,,League A,CB,,0,,,UEFA Nations League,90,2022-06-12,Y,,1,,,0,,0,0,,,0,Home,,W 1–0,,Sun,"<span title=""Switzerland""><span class=""f-i f-ch"" style="""">ch</span></span>",,Portugal
0,0,1,,0,0,71,Group stage,CB,,0,89.9,2,Champions Lg,90,2022-09-06,Y,86,1,2,0,0,79,0,0,0.2,0,0,Away,0.0,W 4–0,0,Tue,"<span title=""England""><span class=""f-i f-gb-eng"" style="""">eng</span></span>",0.0,Sevilla
0,0,4,,0,0,87,Group stage,CB,,0,96.7,2,Champions Lg,90,2022-09-14,Y,100,0,1,0,0,90,0,0,0.0,0,0,Home,0.0,W 2–1,1,Wed,"<span title=""England""><span class=""f-i f-gb-eng"" style="""">eng</span></span>",0.0,Dortmund
0,0,3,,0,0,88,Matchweek 8,CB,,0,96.7,3,Premier League,90,2022-09-17,Y,95,1,2,0,0,91,0,0,0.0,0,0,Away,0.0,W 3–0,1,Sat,"<a href=""/en/squads/b8fd03ef/Manchester-City-Stats"">Manchester City</a>",0.0,Wolves
1,,,,0,1,,League A,CB,,0,,,UEFA Nations League,90,2022-09-24,Y,,1,,,1,,1,0,,,2,Away,,W 2–1,,Sat,"<span title=""Switzerland""><span class=""f-i f-ch"" style="""">ch</span></span>",,Spain
0,2,2,,0,0,71,Matchweek 9,CB,,0,97.3,4,Premier League,90,2022-10-02,Y,79,0,0,2,0,73,0,0,0.0,0,1,Home,0.0,W 6–3,1,Sun,"<a href=""/en/squads/b8fd03ef/Manchester-City-Stats"">Manchester City</a>",0.0,Manchester Utd
,,,,,,,Group stage,,"On matchday squad, but did not play",,,,Champions Lg,,2022-10-05,N,,,,,,,,,,,,Home,,W 5–0,,Wed,"<span title=""England""><span class=""f-i f-gb-eng"" style="""">eng</span></span>",,FC Copenhagen
0,0,4,,0,0,76,Matchweek 10,RB,,0,90.5,3,Premier League,90,2022-10-08,Y,96,1,1,0,0,84,0,0,0.0,0,2,Home,0.1,W 4–0,1,Sat,"<a href=""/en/squads/b8fd03ef/Manchester-City-Stats"">Manchester City</a>",0.1,Southampton
0,0,3,,0,0,60,Group stage,"WB,CB",,0,93.8,1,Champions Lg,90,2022-10-11,Y,78,1,2,0,0,64,0,0,0.0,0,1,Away,0.0,D 0–0,3,Tue,"<span title=""England""><span class=""f-i f-gb-eng"" style="""">eng</span></span>",0.0,FC Copenhagen
1,0,1,,0,0,48,Matchweek 11,CB,,0,88.9,4,Premier League,90,2022-10-16,Y,65,0,0,1,0,54,0,0,0.0,0,0,Away,0.0,L 0–1,2,Sun,"<a href=""/en/squads/b8fd03ef/Manchester-City-Stats"">Manchester City</a>",0.0,Liverpool
0,1,1,,0,0,45,Matchweek 13,RB,,0,90.0,1,Premier League,90,2022-10-22,Y,60,3,1,1,0,50,0,0,0.0,0,0,Home,0.0,W 3–1,1,Sat,"<a href=""/en/squads/b8fd03ef/Manchester-City-Stats"">Manchester City</a>",0.0,Brighton
1,0,2,,0,0,47,Group stage,LB,,0,95.9,3,Champions Lg,45,2022-10-25,N,52,0,1,0,0,49,0,0,0.0,0,0,Away,0.0,D 0–0,0,Tue,"<span title=""England""><span class=""f-i f-gb-eng"" style="""">eng</span></span>",0.0,Dortmund
0,0,1,,0,0,96,Matchweek 14,CB,,0,99.0,4,Premier League,71,2022-10-29,Y,104,0,2,0,0,97,0,0,0.0,0,2,Away,0.2,W 1–0,0,Sat,"<a href=""/en/squads/b8fd03ef/Manchester-City-Stats"">Manchester City</a>",0.2,Leicester City
0,0,1,,0,0,90,Matchweek 15,CB,,0,96.8,4,Premier League,90,2022-11-05,Y,104,0,0,0,1,93,0,0,0.0,0,3,Home,0.2,W 2–1,3,Sat,"<a href=""/en/squads/b8fd03ef/Manchester-City-Stats"">Manchester City</a>",0.2,Fulham
,,,,,,,Third round,,"On matchday squad, but did not play",,,,EFL Cup,,2022-11-09,N,,,,,,,,,,,,Home,,W 2–0,,Wed,"<a href=""/en/squads/b8fd03ef/Manchester-City-Stats"">Manchester City</a>",,Chelsea
0,0,0,,0,0,61,Matchweek 16,CB,,0,91.0,2,Premier League,90,2022-11-12,Y,73,0,4,0,0,67,1,0,0.1,0,1,Home,0.0,L 1–2,0,Sat,"<a href=""/en/squads/b8fd03ef/Manchester-City-Stats"">Manchester City</a>",0.0,Brentford
0,,,,0,0,,Friendlies (M),CB,,0,,,Friendlies (M),45,2022-11-17,Y,,,,,,,0,0,,,,Neutral,,L 0–2,,Thu,"<span title=""Switzerland""><span class=""f-i f-ch"" style="""">ch</span></span>",,Ghana
1,0,1,,0,0,57,Group stage,CB,,0,87.7,6,World Cup,90,2022-11-24,Y,67,1,0,0,0,65,0,0,0.0,0,1,Neutral,0.3,W 1–0,0,Thu,"<span title=""Switzerland""><span class=""f-i f-ch"" style="""">ch</span></span>",0.3,Cameroon
0,0,2,,0,0,67,Group stage,CB,,0,85.9,2,World Cup,90,2022-11-28,Y,87,1,0,0,0,78,0,0,0.0,0,1,Neutral,0.0,L 0–1,1,Mon,"<span title=""Switzerland""><span class=""f-i f-ch"" style="""">ch</span></span>",0.0,Brazil
0,0,0,,0,0,47,Group stage,CB,,0,90.4,1,World Cup,90,2022-12-02,Y,62,1,2,0,0,52,0,0,0.1,0,1,Neutral,0.1,W 3–2,1,Fri,"<span title=""Switzerland""><span class=""f-i f-ch"" style="""">ch</span></span>",0.1,Serbia
0,0,1,,0,1,58,Round of 16,CB,,0,90.6,5,World Cup,90,2022-12-06,Y,71,0,0,0,1,64,0,0,0.0,0,1,Neutral,0.7,L 1–6,2,Tue,"<span title=""Switzerland""><span class=""f-i f-ch"" style="""">ch</span></span>",0.7,Portugal
0,,,,0,0,,Fourth round,CB,,0,,,EFL Cup,60,2022-12-22,Y,,0,,,0,,0,0,,,0,Home,,W 3–2,,Thu,"<a href=""/en/squads/b8fd03ef/Manchester-City-Stats"">Manchester City</a>",,Liverpool
