cards_yellow,dribbles_completed,tackles,match_report,cards_red,goals,passes_completed,round,position,bench_explain,pens_att,passes_pct,progressive_passes,comp,minutes,date,game_started,touches,interceptions,sca,dribbles,shots_on_target,passes,assists,pens_made,xg_assist,gca,shots,venue,xg,result,blocks,dayofweek,team,npxg,opponent
0,,,,0,0,,League B,FW,,0,,,UEFA Nations League,74,2022-06-08,Y,,0,,,0,,1,0,,,2,Home,,W 2–0,,Wed,"<span title=""Scotland""><span class=""f-i f-gb-sct"" style="""">sct</span></span>",,Armenia
0,,,,0,0,,League B,,,0,,,UEFA Nations League,33,2022-06-11,N,,0,,,0,,0,0,,,0,Away,,L 0–3,,Sat,"<span title=""Scotland""><span class=""f-i f-gb-sct"" style="""">sct</span></span>",,Rep. of Ireland
0,,,,0,2,,League B,AM,,0,,,UEFA Nations League,90,2022-06-14,Y,,0,,,2,,1,0,,,5,Away,,W 4–1,,Tue,"<span title=""Scotland""><span class=""f-i f-gb-sct"" style="""">sct</span></span>",,Armenia
0,0,2,,0,0,13,Matchweek 1,"LM,FW",,0,86.7,0,Premier League,45,2022-08-06,N,18,0,0,0,0,15,0,0,0.0,0,0,Away,0.0,L 1–4,0,Sat,"<a href=""/en/squads/33c895d4/Southampton-Stats"">Southampton</a>",0.0,Tottenham
0,0,0,,0,0,11,Matchweek 2,AM,,0,78.6,2,Premier League,61,2022-08-13,Y,21,0,1,1,0,14,0,0,0.1,0,2,Home,0.2,D 2–2,1,Sat,"<a href=""/en/squads/33c895d4/Southampton-Stats"">Southampton</a>",0.2,Leeds United
0,0,0,,0,0,6,Matchweek 3,"LW,LM",,0,75.0,1,Premier League,21,2022-08-20,N,14,1,1,0,0,8,0,0,0.2,0,1,Away,0.0,W 2–1,1,Sat,"<a href=""/en/squads/33c895d4/Southampton-Stats"">Southampton</a>",0.0,Leicester City
0,,,,0,0,,Second round,AM,,0,,,EFL Cup,90,2022-08-23,Y,,0,,,1,,0,0,,,2,Away,,W 3–0,,Tue,"<a href=""/en/squads/33c895d4/Southampton-Stats"">Southampton</a>",,Cambridge Utd
0,0,3,,0,0,11,Matchweek 4,LW,,0,73.3,2,Premier League,28,2022-08-27,N,21,0,2,1,0,15,0,0,0.0,0,0,Home,0.0,L 0–1,0,Sat,"<a href=""/en/squads/33c895d4/Southampton-Stats"">Southampton</a>",0.0,Manchester Utd
,,,,,,,Matchweek 5,,"On matchday squad, but did not play",,,,Premier League,,2022-08-30,N,,,,,,,,,,,,Home,,W 2–1,,Tue,"<a href=""/en/squads/33c895d4/Southampton-Stats"">Southampton</a>",,Chelsea
0,1,0,,0,0,23,Matchweek 6,"RM,DM",,0,92.0,7,Premier League,35,2022-09-03,N,28,0,3,1,0,25,0,0,0.4,0,1,Away,0.0,L 0–1,1,Sat,"<a href=""/en/squads/33c895d4/Southampton-Stats"">Southampton</a>",0.0,Wolves
