cards_yellow,dribbles_completed,tackles,match_report,cards_red,goals,passes_completed,round,position,bench_explain,pens_att,passes_pct,progressive_passes,comp,minutes,date,game_started,touches,interceptions,sca,dribbles,shots_on_target,passes,assists,pens_made,xg_assist,gca,shots,venue,xg,result,blocks,dayofweek,team,npxg,opponent
0,1,2,,0,0,28,Matchweek 1,RW,,0,66.7,7,Eredivisie,90,2022-08-06,Y,56,0,2,3,0,42,1,0,0.0,1,5,Away,0.2,W 3–2,2,Sat,"<a href=""/en/squads/19c3f8c4/Ajax-Stats"">Ajax</a>",0.2,Fortuna Sittard
0,7,0,,0,1,51,Matchweek 2,RW,,0,82.3,6,Eredivisie,90,2022-08-14,Y,77,0,8,9,2,62,1,0,0.5,1,4,Home,0.2,W 6–1,0,Sun,"<a href=""/en/squads/19c3f8c4/Ajax-Stats"">Ajax</a>",0.2,Groningen
0,0,2,,0,1,10,Matchweek 6,RW,,0,66.7,1,Premier League,57,2022-09-04,Y,27,1,1,2,2,15,0,0,0.0,0,3,Home,0.4,W 3–1,1,Sun,"<a href=""/en/squads/19538871/Manchester-United-Stats"">Manchester Utd</a>",0.4,Arsenal
0,2,1,,0,0,19,Group stage,RW,,0,76.0,3,Europa Lg,70,2022-09-08,Y,37,0,2,6,1,25,0,0,0.0,0,1,Home,0.0,L 0–1,2,Thu,"<span title=""England""><span class=""f-i f-gb-eng"" style="""">eng</span></span>",0.0,Real Sociedad
0,2,1,,0,0,30,Group stage,RW,,0,81.1,3,Europa Lg,89,2022-09-15,Y,44,0,3,5,0,37,0,0,0.2,0,0,Away,0.0,W 2–0,1,Thu,"<span title=""England""><span class=""f-i f-gb-eng"" style="""">eng</span></span>",0.0,Sheriff Tiraspol
0,,,,0,0,,Friendlies (M),,,0,,,Friendlies (M),28,2022-09-23,N,,,,,,,0,0,,,,Neutral,,W 3–0,,Fri,"<span title=""Brazil""><span class=""f-i f-br"" style="""">br</span></span>",,Ghana
0,,,,0,0,,Friendlies (M),,,0,,,Friendlies (M),26,2022-09-27,N,,,,,,,0,0,,,,Neutral,,W 5–1,,Tue,"<span title=""Brazil""><span class=""f-i f-br"" style="""">br</span></span>",,Tunisia
0,0,2,,0,1,31,Matchweek 9,RW,,0,81.6,2,Premier League,90,2022-10-02,Y,52,1,1,2,2,38,0,0,0.0,0,5,Away,0.2,L 3–6,2,Sun,"<a href=""/en/squads/19538871/Manchester-United-Stats"">Manchester Utd</a>",0.2,Manchester City
0,2,2,,0,0,29,Group stage,RW,,0,74.4,4,Europa Lg,73,2022-10-06,Y,48,0,3,5,1,39,0,0,0.1,0,4,Away,0.1,W 3–2,1,Thu,"<span title=""England""><span class=""f-i f-gb-eng"" style="""">eng</span></span>",0.1,AC Omonia
0,0,2,,0,1,31,Matchweek 10,RW,,0,72.1,1,Premier League,89,2022-10-09,Y,54,0,5,2,1,43,0,0,0.2,0,2,Away,0.4,W 2–1,0,Sun,"<a href=""/en/squads/19538871/Manchester-United-Stats"">Manchester Utd</a>",0.4,Everton
0,3,0,,0,0,38,Group stage,RW,,0,80.9,5,Europa Lg,59,2022-10-13,Y,53,1,3,7,1,47,0,0,0.3,0,1,Home,0.1,W 1–0,0,Thu,"<span title=""England""><span class=""f-i f-gb-eng"" style="""">eng</span></span>",0.1,AC Omonia
0,1,1,,0,0,32,Matchweek 11,RW,,0,74.4,0,Premier League,90,2022-10-16,Y,56,0,3,3,2,43,0,0,0.0,0,4,Home,0.2,D 0–0,2,Sun,"<a href=""/en/squads/19538871/Manchester-United-Stats"">Manchester Utd</a>",0.2,Newcastle Utd
