cards_yellow,dribbles_completed,tackles,match_report,cards_red,goals,passes_completed,round,position,bench_explain,pens_att,passes_pct,progressive_passes,comp,minutes,date,game_started,touches,interceptions,sca,dribbles,shots_on_target,passes,assists,pens_made,xg_assist,gca,shots,venue,xg,result,blocks,dayofweek,team,npxg,opponent
0,5,3,,0,0,65,Matchweek 1,LB,,0,86.7,3,Premier League,90,2022-08-06,Y,87,0,5,6,0,75,0,0,0.2,0,0,Away,0.0,L 1–2,0,Sat,"<a href=""/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats"">Wolves</a>",0.0,Leeds United
0,0,4,,0,0,34,Matchweek 2,LB,,0,68.0,2,Premier League,90,2022-08-13,Y,60,0,2,1,0,50,0,0,0.5,0,0,Home,0.0,D 0–0,0,Sat,"<a href=""/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats"">Wolves</a>",0.0,Fulham
1,2,3,,0,0,34,Matchweek 3,WB,,0,85.0,3,Premier League,70,2022-08-20,Y,56,0,2,5,1,40,0,0,0.0,0,1,Away,0.1,L 0–1,0,Sat,"<a href=""/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats"">Wolves</a>",0.1,Tottenham
0,,,,0,0,,Second round,LB,,0,,,EFL Cup,90,2022-08-23,Y,,2,,,0,,1,0,,,1,Home,,W 2–1,,Tue,"<a href=""/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats"">Wolves</a>",,Preston
,,,,,,,Matchweek 4,,"On matchday squad, but did not play",,,,Premier League,,2022-08-28,N,,,,,,,,,,,,Home,,D 1–1,,Sun,"<a href=""/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats"">Wolves</a>",,Newcastle Utd
0,0,1,,0,0,20,Matchweek 5,LB,,0,87.0,0,Premier League,31,2022-08-31,N,27,0,0,2,0,23,0,0,0.0,0,1,Away,0.0,D 0–0,0,Wed,"<a href=""/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats"">Wolves</a>",0.0,Bournemouth
0,2,2,,0,0,42,Matchweek 6,LB,,0,85.7,5,Premier League,90,2022-09-03,Y,57,1,1,6,1,49,0,0,0.0,0,1,Home,0.0,W 1–0,0,Sat,"<a href=""/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats"">Wolves</a>",0.0,Southampton
0,1,2,,0,0,20,Matchweek 8,LB,,0,87.0,1,Premier League,80,2022-09-17,Y,31,0,1,1,0,23,0,0,0.1,0,0,Home,0.0,L 0–3,0,Sat,"<a href=""/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats"">Wolves</a>",0.0,Manchester City
0,3,1,,0,0,57,Matchweek 9,WB,,0,83.8,9,Premier League,90,2022-10-01,Y,75,0,6,6,0,68,0,0,0.0,0,1,Away,0.0,L 0–2,0,Sat,"<a href=""/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats"">Wolves</a>",0.0,West Ham
0,0,0,,0,0,7,Matchweek 10,LB,,0,87.5,1,Premier League,19,2022-10-08,N,10,1,0,0,0,8,0,0,0.0,0,0,Away,0.0,L 0–3,0,Sat,"<a href=""/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats"">Wolves</a>",0.0,Chelsea
0,0,2,,0,0,23,Matchweek 11,LB,,0,79.3,1,Premier League,89,2022-10-15,Y,41,1,0,1,0,29,0,0,0.0,0,2,Home,0.1,W 1–0,1,Sat,"<a href=""/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats"">Wolves</a>",0.1,Nott'ham Forest
,,,,,,,Matchweek 13,,"On matchday squad, but did not play",,,,Premier League,,2022-10-23,N,,,,,,,,,,,,Home,,L 0–4,,Sun,"<a href=""/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats"">Wolves</a>",,Leicester City
,,,,,,,Matchweek 14,,"On matchday squad, but did not play",,,,Premier League,,2022-10-29,N,,,,,,,,,,,,Away,,D 1–1,,Sat,"<a href=""/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats"">Wolves</a>",,Brentford
0,0,0,,0,0,1,Matchweek 15,LM,,0,50.0,0,Premier League,17,2022-11-05,N,5,0,0,0,1,2,0,0,0.0,0,1,Home,0.0,L 2–3,0,Sat,"<a href=""/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats"">Wolves</a>",0.0,Brighton
0,,,,0,0,,Third round,LB,,0,,,EFL Cup,90,2022-11-09,Y,,3,,,1,,0,0,,,1,Home,,W 1–0,,Wed,"<a href=""/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats"">Wolves</a>",,Leeds United
,,,,,,,Matchweek 16,,"On matchday squad, but did not play",,,,Premier League,,2022-11-12,N,,,,,,,,,,,,Home,,L 0–2,,Sat,"<a href=""/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats"">Wolves</a>",,Arsenal
0,,,,0,1,,Fourth round,,,0,,,EFL Cup,10,2022-12-20,N,,0,,,1,,0,0,,,1,Home,,W 2–0,,Tue,"<a href=""/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats"">Wolves</a>",,Gillingham
