cards_yellow,dribbles_completed,tackles,match_report,cards_red,goals,passes_completed,round,position,bench_explain,pens_att,passes_pct,progressive_passes,comp,minutes,date,game_started,touches,interceptions,sca,dribbles,shots_on_target,passes,assists,pens_made,xg_assist,gca,shots,venue,xg,result,blocks,dayofweek,team,npxg,opponent
0,,,,0,0,,League B,LB,,0,,,UEFA Nations League,90,2022-06-02,Y,,1,,,0,,0,0,,,1,Away,,W 2–0,,Thu,"<span title=""Sweden""><span class=""f-i f-se"" style="""">se</span></span>",,Slovenia
0,,,,0,0,,League B,LB,,0,,,UEFA Nations League,90,2022-06-05,Y,,0,,,0,,0,0,,,0,Home,,L 1–2,,Sun,"<span title=""Sweden""><span class=""f-i f-se"" style="""">se</span></span>",,Norway
0,,,,0,0,,League B,LB,,0,,,UEFA Nations League,90,2022-06-09,Y,,2,,,0,,0,0,,,1,Home,,L 0–1,,Thu,"<span title=""Sweden""><span class=""f-i f-se"" style="""">se</span></span>",,Serbia
,,,,,,,Matchweek 1,,"On matchday squad, but did not play",,,,Premier League,,2022-08-06,N,,,,,,,,,,,,Away,,L 0–2,,Sat,"<a href=""/en/squads/8602292d/Aston-Villa-Stats"">Aston Villa</a>",,Bournemouth
,,,,,,,Matchweek 2,,"On matchday squad, but did not play",,,,Premier League,,2022-08-13,N,,,,,,,,,,,,Home,,W 2–1,,Sat,"<a href=""/en/squads/8602292d/Aston-Villa-Stats"">Aston Villa</a>",,Everton
,,,,,,,Matchweek 3,,"On matchday squad, but did not play",,,,Premier League,,2022-08-20,N,,,,,,,,,,,,Away,,L 1–3,,Sat,"<a href=""/en/squads/8602292d/Aston-Villa-Stats"">Aston Villa</a>",,Crystal Palace
,,,,,,,Matchweek 4,,"On matchday squad, but did not play",,,,Premier League,,2022-08-28,N,,,,,,,,,,,,Home,,L 0–1,,Sun,"<a href=""/en/squads/8602292d/Aston-Villa-Stats"">Aston Villa</a>",,West Ham
,,,,,,,Matchweek 5,,"On matchday squad, but did not play",,,,Premier League,,2022-08-31,N,,,,,,,,,,,,Away,,L 1–2,,Wed,"<a href=""/en/squads/8602292d/Aston-Villa-Stats"">Aston Villa</a>",,Arsenal
,,,,,,,Matchweek 6,,"On matchday squad, but did not play",,,,Premier League,,2022-09-03,N,,,,,,,,,,,,Home,,D 1–1,,Sat,"<a href=""/en/squads/8602292d/Aston-Villa-Stats"">Aston Villa</a>",,Manchester City
,,,,,,,Matchweek 8,,"On matchday squad, but did not play",,,,Premier League,,2022-09-16,N,,,,,,,,,,,,Home,,W 1–0,,Fri,"<a href=""/en/squads/8602292d/Aston-Villa-Stats"">Aston Villa</a>",,Southampton
0,,,,0,0,,League B,LM,,0,,,UEFA Nations League,90,2022-09-24,Y,,1,,,0,,0,0,,,1,Away,,L 1–4,,Sat,"<span title=""Sweden""><span class=""f-i f-se"" style="""">se</span></span>",,Serbia
0,,,,0,0,,League B,LB,,0,,,UEFA Nations League,90,2022-09-27,Y,,3,,,0,,0,0,,,0,Home,,D 1–1,,Tue,"<span title=""Sweden""><span class=""f-i f-se"" style="""">se</span></span>",,Slovenia
1,0,1,,0,0,10,Matchweek 9,LB,,0,52.6,0,Premier League,44,2022-10-02,Y,23,0,0,1,0,19,0,0,0.0,0,0,Away,0.0,D 0–0,0,Sun,"<a href=""/en/squads/8602292d/Aston-Villa-Stats"">Aston Villa</a>",0.0,Leeds United
,,,,,,,Matchweek 15,,"On matchday squad, but did not play",,,,Premier League,,2022-11-06,N,,,,,,,,,,,,Home,,W 3–1,,Sun,"<a href=""/en/squads/8602292d/Aston-Villa-Stats"">Aston Villa</a>",,Manchester Utd
0,,,,0,0,,Third round,LB,,0,,,EFL Cup,79,2022-11-10,Y,,1,,,0,,0,0,,,0,Away,,L 2–4,,Thu,"<a href=""/en/squads/8602292d/Aston-Villa-Stats"">Aston Villa</a>",,Manchester Utd
0,0,0,,0,0,4,Matchweek 16,LB,,0,80.0,0,Premier League,9,2022-11-13,N,6,0,0,0,0,5,0,0,0.0,0,0,Away,0.0,W 2–1,0,Sun,"<a href=""/en/squads/8602292d/Aston-Villa-Stats"">Aston Villa</a>",0.0,Brighton
0,,,,0,0,,Friendlies (M),LB,,0,,,Friendlies (M),82,2022-11-16,Y,,,,,,,0,0,,,,Neutral,,W 2–1,,Wed,"<span title=""Sweden""><span class=""f-i f-se"" style="""">se</span></span>",,Mexico
0,,,,0,0,,Friendlies (M),LB,,0,,,Friendlies (M),90,2022-11-19,Y,,,,,,,0,0,,,,Neutral,,W 2–0,,Sat,"<span title=""Sweden""><span class=""f-i f-se"" style="""">se</span></span>",,Algeria
