cards_yellow,npxg,dribbles_completed,tackles,cards_red,goals,passes_completed,round,position,bench_explain,pens_att,passes_pct,progressive_passes,comp,minutes,date,game_started,touches,interceptions,sca,dribbles,shots_on_target,passes,assists,pens_made,xg_assist,gca,shots,venue,xg,result,blocks,dayofweek,team,match_report,opponent
,,,,,,,Matchweek 6,,"On matchday squad, but did not play",,,,Premier League,,2022-09-03,N,,,,,,,,,,,,Home,,W 5–2,,Sat,"<a href=""/en/squads/cd051869/Brentford-Stats"">Brentford</a>",,Leeds United
0,0.0,0,0,0,0,25,Matchweek 8,CB,,0,71.4,0,Premier League,90,2022-09-18,Y,40,1,0,0,0,35,0,0,0.0,0,0,Home,0.0,L 0–3,0,Sun,"<a href=""/en/squads/cd051869/Brentford-Stats"">Brentford</a>",,Arsenal
,,,,,,,League B,,"On matchday squad, but did not play",,,,UEFA Nations League,,2022-09-24,N,,,,,,,,,,,,Away,,L 1–2,,Sat,"<span title=""Norway""><span class=""f-i f-no"" style="""">no</span></span>",,Slovenia
0,,,,0,0,,League B,,,0,,,UEFA Nations League,34,2022-09-27,N,,0,,,0,,0,0,,,0,Home,,L 0–2,,Tue,"<span title=""Norway""><span class=""f-i f-no"" style="""">no</span></span>",,Serbia
0,0.0,0,1,0,0,48,Matchweek 9,RB,,0,90.6,5,Premier League,60,2022-10-01,Y,54,0,0,1,0,53,0,0,0.0,0,1,Away,0.0,D 0–0,0,Sat,"<a href=""/en/squads/cd051869/Brentford-Stats"">Brentford</a>",,Bournemouth
0,0.0,0,1,0,0,29,Matchweek 10,CB,,0,76.3,0,Premier League,90,2022-10-08,Y,47,2,0,1,0,38,0,0,0.0,0,0,Away,0.0,L 1–5,0,Sat,"<a href=""/en/squads/cd051869/Brentford-Stats"">Brentford</a>",,Newcastle Utd
0,0.0,0,2,0,0,18,Matchweek 11,"RB,CB",,0,75.0,2,Premier League,90,2022-10-14,Y,37,0,1,3,0,24,0,0,0.0,0,0,Home,0.0,W 2–0,2,Fri,"<a href=""/en/squads/cd051869/Brentford-Stats"">Brentford</a>",,Brighton
,,,,,,,Matchweek 12,,"On matchday squad, but did not play",,,,Premier League,,2022-10-19,N,,,,,,,,,,,,Home,,D 0–0,,Wed,"<a href=""/en/squads/cd051869/Brentford-Stats"">Brentford</a>",,Chelsea
0,0.0,0,2,0,0,32,Matchweek 13,CB,,0,60.4,3,Premier League,90,2022-10-23,Y,61,2,1,1,0,53,0,0,0.0,0,0,Away,0.0,L 0–4,2,Sun,"<a href=""/en/squads/cd051869/Brentford-Stats"">Brentford</a>",,Aston Villa
0,0.0,0,3,0,0,33,Matchweek 14,RB,,0,78.6,3,Premier League,82,2022-10-29,Y,48,0,1,0,0,42,0,0,0.0,0,0,Home,0.0,D 1–1,1,Sat,"<a href=""/en/squads/cd051869/Brentford-Stats"">Brentford</a>",,Wolves
