cards_yellow,dribbles_completed,tackles,match_report,cards_red,goals,passes_completed,round,position,bench_explain,pens_att,passes_pct,progressive_passes,comp,minutes,date,game_started,touches,interceptions,sca,dribbles,shots_on_target,passes,assists,pens_made,xg_assist,gca,shots,venue,xg,result,blocks,dayofweek,team,npxg,opponent
0,0,0,,0,0,2,Matchweek 1,FW,,0,50.0,1,Premier League,56,2022-08-07,Y,9,0,2,1,0,4,0,0,0.0,0,2,Home,0.2,L 0–2,0,Sun,"<a href=""/en/squads/7c21e445/West-Ham-United-Stats"">West Ham</a>",0.2,Manchester City
0,2,1,,0,0,6,Matchweek 2,FW,,0,50.0,0,Premier League,67,2022-08-14,Y,22,0,3,3,0,12,0,0,0.0,0,2,Away,0.1,L 0–1,1,Sun,"<a href=""/en/squads/7c21e445/West-Ham-United-Stats"">West Ham</a>",0.1,Nott'ham Forest
0,,,,0,1,,Play-off round,,,0,,,Conf Lg,22,2022-08-18,N,,,,,,,0,0,,,,Home,,W 3–1,,Thu,"<span title=""England""><span class=""f-i f-gb-eng"" style="""">eng</span></span>",,Viborg
0,1,0,,0,0,7,Matchweek 3,FW,,0,53.8,1,Premier League,73,2022-08-21,Y,19,0,1,1,0,13,0,0,0.0,0,0,Home,0.0,L 0–2,1,Sun,"<a href=""/en/squads/7c21e445/West-Ham-United-Stats"">West Ham</a>",0.0,Brighton
1,,,,0,0,,Play-off round,,,0,,,Conf Lg,23,2022-08-25,N,,,,,,,0,0,,,,Away,,W 3–0,,Thu,"<span title=""England""><span class=""f-i f-gb-eng"" style="""">eng</span></span>",,Viborg
0,1,0,,0,0,6,Matchweek 4,FW,,0,66.7,2,Premier League,26,2022-08-28,N,12,0,1,1,0,9,0,0,0.0,0,0,Away,0.0,W 1–0,0,Sun,"<a href=""/en/squads/7c21e445/West-Ham-United-Stats"">West Ham</a>",0.0,Aston Villa
0,0,0,,0,0,7,Matchweek 5,FW,,0,50.0,0,Premier League,90,2022-08-31,Y,19,2,1,1,0,14,1,0,0.1,1,1,Home,0.0,D 1–1,0,Wed,"<a href=""/en/squads/7c21e445/West-Ham-United-Stats"">West Ham</a>",0.0,Tottenham
1,0,2,,0,1,3,Matchweek 6,FW,,0,42.9,0,Premier League,73,2022-09-03,Y,17,0,1,1,1,7,0,0,0.0,0,1,Away,0.8,L 1–2,1,Sat,"<a href=""/en/squads/7c21e445/West-Ham-United-Stats"">West Ham</a>",0.8,Chelsea
0,1,0,,0,1,6,Group stage,FW,,0,60.0,0,Conf Lg,45,2022-09-08,N,16,0,3,1,3,10,1,0,0.4,1,4,Home,0.6,W 3–1,0,Thu,"<span title=""England""><span class=""f-i f-gb-eng"" style="""">eng</span></span>",0.6,FCSB
,,,,,,,Group stage,,"On matchday squad, but did not play",,,,Conf Lg,,2022-09-15,N,,,,,,,,,,,,Away,,W 3–2,,Thu,"<span title=""England""><span class=""f-i f-gb-eng"" style="""">eng</span></span>",,Silkeborg
