cards_yellow,npxg,dribbles_completed,tackles,cards_red,goals,passes_completed,round,position,bench_explain,pens_att,passes_pct,progressive_passes,comp,minutes,date,game_started,touches,interceptions,sca,dribbles,shots_on_target,passes,assists,pens_made,xg_assist,gca,shots,venue,xg,result,blocks,dayofweek,team,match_report,opponent
,,,,,,,Matchweek 1,,"On matchday squad, but did not play",,,,Premier League,,2022-08-07,N,,,,,,,,,,,,Home,,D 2–2,,Sun,"<a href=""/en/squads/a2d435b3/Leicester-City-Stats"">Leicester City</a>",,Brentford
,,,,,,,Matchweek 2,,"On matchday squad, but did not play",,,,Premier League,,2022-08-13,N,,,,,,,,,,,,Away,,L 2–4,,Sat,"<a href=""/en/squads/a2d435b3/Leicester-City-Stats"">Leicester City</a>",,Arsenal
,,,,,,,Matchweek 3,,"On matchday squad, but did not play",,,,Premier League,,2022-08-20,N,,,,,,,,,,,,Home,,L 1–2,,Sat,"<a href=""/en/squads/a2d435b3/Leicester-City-Stats"">Leicester City</a>",,Southampton
0,,,,0,0,,Second round,RB,,0,,,EFL Cup,71,2022-08-23,Y*,,0,,,0,,0,0,,,0,Away,,D 0 ,,Tue,"<a href=""/en/squads/a2d435b3/Leicester-City-Stats"">Leicester City</a>",,Stockport
,,,,,,,Matchweek 4,,"On matchday squad, but did not play",,,,Premier League,,2022-08-27,N,,,,,,,,,,,,Away,,L 1–2,,Sat,"<a href=""/en/squads/a2d435b3/Leicester-City-Stats"">Leicester City</a>",,Chelsea
,,,,,,,Matchweek 5,,"On matchday squad, but did not play",,,,Premier League,,2022-09-01,N,,,,,,,,,,,,Home,,L 0–1,,Thu,"<a href=""/en/squads/a2d435b3/Leicester-City-Stats"">Leicester City</a>",,Manchester Utd
,,,,,,,Matchweek 6,,"On matchday squad, but did not play",,,,Premier League,,2022-09-04,N,,,,,,,,,,,,Away,,L 2–5,,Sun,"<a href=""/en/squads/a2d435b3/Leicester-City-Stats"">Leicester City</a>",,Brighton
,,,,,,,Matchweek 8,,"On matchday squad, but did not play",,,,Premier League,,2022-09-17,N,,,,,,,,,,,,Away,,L 2–6,,Sat,"<a href=""/en/squads/a2d435b3/Leicester-City-Stats"">Leicester City</a>",,Tottenham
0,0.0,0,1,0,0,5,Matchweek 9,RM,,0,100.0,1,Premier League,6,2022-10-03,N,6,0,0,0,0,5,0,0,0.0,0,0,Home,0.0,W 4–0,0,Mon,"<a href=""/en/squads/a2d435b3/Leicester-City-Stats"">Leicester City</a>",,Nott'ham Forest
,,,,,,,Matchweek 10,,"On matchday squad, but did not play",,,,Premier League,,2022-10-08,N,,,,,,,,,,,,Away,,L 1–2,,Sat,"<a href=""/en/squads/a2d435b3/Leicester-City-Stats"">Leicester City</a>",,Bournemouth
,,,,,,,Matchweek 11,,"On matchday squad, but did not play",,,,Premier League,,2022-10-15,N,,,,,,,,,,,,Home,,D 0–0,,Sat,"<a href=""/en/squads/a2d435b3/Leicester-City-Stats"">Leicester City</a>",,Crystal Palace
0,0.0,0,0,0,0,4,Matchweek 13,LM,,0,44.4,0,Premier League,12,2022-10-23,N,11,0,0,0,0,9,0,0,0.0,0,1,Away,0.0,W 4–0,1,Sun,"<a href=""/en/squads/a2d435b3/Leicester-City-Stats"">Leicester City</a>",,Wolves
,,,,,,,Matchweek 14,,"On matchday squad, but did not play",,,,Premier League,,2022-10-29,N,,,,,,,,,,,,Home,,L 0–1,,Sat,"<a href=""/en/squads/a2d435b3/Leicester-City-Stats"">Leicester City</a>",,Manchester City
0,0.0,0,1,0,0,4,Matchweek 15,RM,,0,66.7,0,Premier League,13,2022-11-05,N,11,0,0,0,0,6,0,0,0.0,0,0,Away,0.0,W 2–0,2,Sat,"<a href=""/en/squads/a2d435b3/Leicester-City-Stats"">Leicester City</a>",,Everton
0,,,,0,0,,Third round,,,0,,,EFL Cup,29,2022-11-08,N,,1,,,0,,1,0,,,0,Home,,W 3–0,,Tue,"<a href=""/en/squads/a2d435b3/Leicester-City-Stats"">Leicester City</a>",,Newport County
,,,,,,,Matchweek 16,,"On matchday squad, but did not play",,,,Premier League,,2022-11-12,N,,,,,,,,,,,,Away,,W 2–0,,Sat,"<a href=""/en/squads/a2d435b3/Leicester-City-Stats"">Leicester City</a>",,West Ham
0,,,,0,0,,Fourth round,,,0,,,EFL Cup,12,2022-12-20,N,,0,,,0,,0,0,,,1,Away,,W 3–0,,Tue,"<a href=""/en/squads/a2d435b3/Leicester-City-Stats"">Leicester City</a>",,MK Dons
