cards_yellow,dribbles_completed,tackles,match_report,cards_red,goals,passes_completed,round,position,bench_explain,pens_att,passes_pct,progressive_passes,comp,minutes,date,game_started,touches,interceptions,sca,dribbles,shots_on_target,passes,assists,pens_made,xg_assist,gca,shots,venue,xg,result,blocks,dayofweek,team,npxg,opponent
0,0,2,,0,0,17,Matchweek 1,CB,,0,65.4,5,Premier League,90,2022-08-06,Y,37,1,0,0,0,26,0,0,0.0,0,0,Home,0.0,D 2–2,0,Sat,"<a href=""/en/squads/fd962109/Fulham-Stats"">Fulham</a>",0.0,Liverpool
0,0,0,,0,0,31,Matchweek 2,CB,,0,88.6,2,Premier League,90,2022-08-13,Y,41,1,0,0,0,35,0,0,0.0,0,0,Away,0.0,D 0–0,0,Sat,"<a href=""/en/squads/fd962109/Fulham-Stats"">Fulham</a>",0.0,Wolves
0,0,0,,0,0,32,Matchweek 3,CB,,0,68.1,2,Premier League,90,2022-08-20,Y,56,2,0,0,0,47,0,0,0.0,0,0,Home,0.0,W 3–2,1,Sat,"<a href=""/en/squads/fd962109/Fulham-Stats"">Fulham</a>",0.0,Brentford
0,0,3,,0,0,15,Matchweek 4,CB,,0,53.6,0,Premier League,90,2022-08-27,Y,40,2,0,0,0,28,0,0,0.0,0,0,Away,0.0,L 1–2,3,Sat,"<a href=""/en/squads/fd962109/Fulham-Stats"">Fulham</a>",0.0,Arsenal
0,0,1,,0,0,40,Matchweek 5,CB,,0,81.6,2,Premier League,90,2022-08-30,Y,56,2,1,0,0,49,0,0,0.0,0,0,Home,0.0,W 2–1,0,Tue,"<a href=""/en/squads/fd962109/Fulham-Stats"">Fulham</a>",0.0,Brighton
0,0,2,,0,0,65,Matchweek 6,CB,,0,87.8,8,Premier League,90,2022-09-03,Y,84,1,1,0,0,74,0,0,0.0,0,0,Away,0.0,L 1–2,1,Sat,"<a href=""/en/squads/fd962109/Fulham-Stats"">Fulham</a>",0.0,Tottenham
0,0,0,,0,1,72,Matchweek 8,CB,,0,87.8,2,Premier League,90,2022-09-16,Y,92,0,2,0,1,82,0,0,0.0,0,2,Away,0.1,W 3–2,0,Fri,"<a href=""/en/squads/fd962109/Fulham-Stats"">Fulham</a>",0.1,Nott'ham Forest
0,1,0,,0,0,21,Matchweek 9,CB,,0,75.0,1,Premier League,90,2022-10-01,Y,32,0,0,1,0,28,0,0,0.0,0,0,Home,0.0,L 1–4,0,Sat,"<a href=""/en/squads/fd962109/Fulham-Stats"">Fulham</a>",0.0,Newcastle Utd
0,0,1,,0,0,57,Matchweek 10,CB,,0,91.9,4,Premier League,90,2022-10-09,Y,74,1,0,0,0,62,0,0,0.0,0,0,Away,0.0,L 1–3,1,Sun,"<a href=""/en/squads/fd962109/Fulham-Stats"">Fulham</a>",0.0,West Ham
,,,,,,,Matchweek 11,,"On matchday squad, but did not play",,,,Premier League,,2022-10-15,N,,,,,,,,,,,,Home,,D 2–2,,Sat,"<a href=""/en/squads/fd962109/Fulham-Stats"">Fulham</a>",,Bournemouth
,,,,,,,Matchweek 12,,"On matchday squad, but did not play",,,,Premier League,,2022-10-20,N,,,,,,,,,,,,Home,,W 3–0,,Thu,"<a href=""/en/squads/fd962109/Fulham-Stats"">Fulham</a>",,Aston Villa
0,0,2,,0,0,39,Matchweek 13,CB,,0,68.4,2,Premier League,90,2022-10-23,Y,66,1,0,1,0,57,0,0,0.0,0,1,Away,0.1,W 3–2,1,Sun,"<a href=""/en/squads/fd962109/Fulham-Stats"">Fulham</a>",0.1,Leeds United
,,,,,,,Matchweek 14,,"On matchday squad, but did not play",,,,Premier League,,2022-10-29,N,,,,,,,,,,,,Home,,D 0–0,,Sat,"<a href=""/en/squads/fd962109/Fulham-Stats"">Fulham</a>",,Everton
,,,,,,,Matchweek 15,,"On matchday squad, but did not play",,,,Premier League,,2022-11-05,N,,,,,,,,,,,,Away,,L 1–2,,Sat,"<a href=""/en/squads/fd962109/Fulham-Stats"">Fulham</a>",,Manchester City
,,,,,,,Matchweek 16,,"On matchday squad, but did not play",,,,Premier League,,2022-11-13,N,,,,,,,,,,,,Home,,L 1–2,,Sun,"<a href=""/en/squads/fd962109/Fulham-Stats"">Fulham</a>",,Manchester Utd
