cards_yellow,dribbles_completed,tackles,match_report,cards_red,goals,passes_completed,round,position,bench_explain,pens_att,passes_pct,progressive_passes,comp,minutes,date,game_started,touches,interceptions,sca,dribbles,shots_on_target,passes,assists,pens_made,xg_assist,gca,shots,venue,xg,result,blocks,dayofweek,team,npxg,opponent
0,,,,0,0,,League A,RM,,0,,,UEFA Nations League,61,2022-06-04,Y,,0,,,0,,0,0,,,0,Away,,L 0–1,,Sat,"<span title=""England""><span class=""f-i f-gb-eng"" style="""">eng</span></span>",,Hungary
,,,,,,,League A,,"On matchday squad, but did not play",,,,UEFA Nations League,,2022-06-07,N,,,,,,,,,,,,Away,,D 1–1,,Tue,"<span title=""England""><span class=""f-i f-gb-eng"" style="""">eng</span></span>",,Germany
0,,,,0,1,,FA Community Shield,RB,,0,,,Community Shield,73,2022-07-30,Y,,0,,,1,,0,0,,,2,Neutral,,W 3–1,,Sat,"<a href=""/en/squads/822bd0ba/Liverpool-Stats"">Liverpool</a>",,Manchester City
0,0,2,,0,0,49,Matchweek 1,RB,,0,57.6,5,Premier League,90,2022-08-06,Y,92,1,3,0,0,85,0,0,0.0,0,0,Away,0.0,D 2–2,1,Sat,"<a href=""/en/squads/822bd0ba/Liverpool-Stats"">Liverpool</a>",0.0,Fulham
0,0,1,,0,0,92,Matchweek 2,RB,,0,77.3,14,Premier League,90,2022-08-15,Y,124,1,9,0,0,119,0,0,0.6,0,4,Home,0.2,D 1–1,1,Mon,"<a href=""/en/squads/822bd0ba/Liverpool-Stats"">Liverpool</a>",0.2,Crystal Palace
1,1,3,,0,0,61,Matchweek 3,RB,,0,72.6,8,Premier League,90,2022-08-22,Y,92,0,5,1,0,84,0,0,0.1,0,1,Away,0.0,L 1–2,0,Mon,"<a href=""/en/squads/822bd0ba/Liverpool-Stats"">Liverpool</a>",0.0,Manchester Utd
0,0,2,,0,1,97,Matchweek 4,RB,,0,84.3,11,Premier League,82,2022-08-27,Y,121,2,7,0,1,115,0,0,0.2,2,1,Home,0.0,W 9–0,1,Sat,"<a href=""/en/squads/822bd0ba/Liverpool-Stats"">Liverpool</a>",0.0,Bournemouth
0,1,0,,0,0,46,Matchweek 5,RB,,0,64.8,3,Premier League,70,2022-08-31,Y,77,0,1,1,0,71,0,0,0.1,0,2,Home,0.1,W 2–1,0,Wed,"<a href=""/en/squads/822bd0ba/Liverpool-Stats"">Liverpool</a>",0.1,Newcastle Utd
0,0,0,,0,0,44,Matchweek 6,RB,,0,71.0,4,Premier League,58,2022-09-03,Y,64,1,2,0,0,62,0,0,0.1,0,0,Away,0.0,D 0–0,0,Sat,"<a href=""/en/squads/822bd0ba/Liverpool-Stats"">Liverpool</a>",0.0,Everton
0,0,2,,0,0,60,Group stage,RB,,0,74.1,11,Champions Lg,90,2022-09-07,Y,85,1,6,0,1,81,0,0,0.2,0,2,Away,0.1,L 1–4,0,Wed,"<span title=""England""><span class=""f-i f-gb-eng"" style="""">eng</span></span>",0.1,Napoli
0,1,4,,0,0,52,Group stage,RB,,0,74.3,6,Champions Lg,90,2022-09-13,Y,80,0,8,2,1,70,0,0,0.2,0,2,Home,0.1,W 2–1,1,Tue,"<span title=""England""><span class=""f-i f-gb-eng"" style="""">eng</span></span>",0.1,Ajax
,,,,,,,League A,,"On matchday squad, but did not play",,,,UEFA Nations League,,2022-09-23,N,,,,,,,,,,,,Away,,L 0–1,,Fri,"<span title=""England""><span class=""f-i f-gb-eng"" style="""">eng</span></span>",,Italy
1,1,2,,0,0,42,Matchweek 9,RB,,0,66.7,7,Premier League,90,2022-10-01,Y,76,1,2,1,1,63,0,0,0.0,0,3,Home,0.1,D 3–3,1,Sat,"<a href=""/en/squads/822bd0ba/Liverpool-Stats"">Liverpool</a>",0.1,Brighton
