cards_yellow,dribbles_completed,tackles,match_report,cards_red,goals,passes_completed,round,position,bench_explain,pens_att,passes_pct,progressive_passes,comp,minutes,date,game_started,touches,interceptions,sca,dribbles,shots_on_target,passes,assists,pens_made,xg_assist,gca,shots,venue,xg,result,blocks,dayofweek,team,npxg,opponent
0,0,0,,0,0,10,Matchweek 1,LM,,0,76.9,0,Premier League,30,2022-08-06,N,16,0,0,1,0,13,0,0,0.0,0,0,Home,0.0,L 0–1,0,Sat,"<a href=""/en/squads/d3fd31cc/Everton-Stats"">Everton</a>",0.0,Chelsea
0,0,0,,0,0,2,Matchweek 2,AM,,0,100.0,0,Premier League,10,2022-08-13,N,4,0,0,0,0,2,0,0,0.0,0,0,Away,0.0,L 1–2,0,Sat,"<a href=""/en/squads/d3fd31cc/Everton-Stats"">Everton</a>",0.0,Aston Villa
,,,,,,,Matchweek 3,,"On matchday squad, but did not play",,,,Premier League,,2022-08-20,N,,,,,,,,,,,,Home,,D 1–1,,Sat,"<a href=""/en/squads/d3fd31cc/Everton-Stats"">Everton</a>",,Nott'ham Forest
0,,,,0,0,,Matchweek 4,AM,,0,,,Süper Lig,77,2022-08-29,Y,,0,,,0,,0,0,,,0,Home,,W 3–1,,Mon,"<a href=""/en/squads/0f9294bd/Besiktas-Stats"">Beºiktaº</a>",,Sivasspor
0,,,,0,1,,Matchweek 5,AM,,0,,,Süper Lig,65,2022-09-04,Y,,1,,,1,,0,0,,,1,Away,,W 3–2,,Sun,"<a href=""/en/squads/0f9294bd/Besiktas-Stats"">Beºiktaº</a>",,Ankaragücü
0,,,,0,0,,Matchweek 8,AM,,0,,,Süper Lig,71,2022-10-02,Y,,1,,,0,,0,0,,,0,Home,,D 0–0,,Sun,"<a href=""/en/squads/0f9294bd/Besiktas-Stats"">Beºiktaº</a>",,Fenerbahçe
0,,,,0,0,,Matchweek 9,AM,,0,,,Süper Lig,74,2022-10-08,Y,,0,,,0,,0,0,,,1,Away,,W 1–0,,Sat,"<a href=""/en/squads/0f9294bd/Besiktas-Stats"">Beºiktaº</a>",,Giresunspor
0,,,,0,0,,Matchweek 10,AM,,0,,,Süper Lig,66,2022-10-16,Y,,0,,,0,,0,0,,,1,Home,,D 2–2,,Sun,"<a href=""/en/squads/0f9294bd/Besiktas-Stats"">Beºiktaº</a>",,Trabzonspor
0,,,,0,0,,Matchweek 11,AM,,0,,,Süper Lig,52,2022-10-24,Y,,0,,,0,,0,0,,,0,Away,,L 1–2,,Mon,"<a href=""/en/squads/0f9294bd/Besiktas-Stats"">Beºiktaº</a>",,Hatayspor
0,,,,0,0,,Matchweek 12,AM,,0,,,Süper Lig,45,2022-10-30,Y,,0,,,0,,0,0,,,0,Home,,W 5–2,,Sun,"<a href=""/en/squads/0f9294bd/Besiktas-Stats"">Beºiktaº</a>",,Ümraniyespor
,,,,,,,Matchweek 13,,"On matchday squad, but did not play",,,,Süper Lig,,2022-11-05,N,,,,,,,,,,,,Away,,L 1–2,,Sat,"<a href=""/en/squads/0f9294bd/Besiktas-Stats"">Beºiktaº</a>",,Galatasaray
,,,,,,,Matchweek 15,,"On matchday squad, but did not play",,,,Süper Lig,,2022-12-25,N,,,,,,,,,,,,Away,,D 1–1,,Sun,"<a href=""/en/squads/0f9294bd/Besiktas-Stats"">Beºiktaº</a>",,Gaziantep FK
