cards_yellow,dribbles_completed,tackles,match_report,cards_red,goals,passes_completed,round,position,bench_explain,pens_att,passes_pct,progressive_passes,comp,minutes,date,game_started,touches,interceptions,sca,dribbles,shots_on_target,passes,assists,pens_made,xg_assist,gca,shots,venue,xg,result,blocks,dayofweek,team,npxg,opponent
0,0,0,,0,0,3,Matchweek 1,LW,,0,100.0,0,La Liga,9,2022-08-13,N,4,0,1,0,0,3,0,0,0.0,0,1,Home,0.1,D 0–0,0,Sat,"<a href=""/en/squads/206d90db/Barcelona-Stats"">Barcelona</a>",0.1,Rayo Vallecano
,,,,,,,Matchweek 2,,"On matchday squad, but did not play",,,,La Liga,,2022-08-21,N,,,,,,,,,,,,Away,,W 4–1,,Sun,"<a href=""/en/squads/206d90db/Barcelona-Stats"">Barcelona</a>",,Real Sociedad
,,,,,,,Matchweek 3,,"On matchday squad, but did not play",,,,La Liga,,2022-08-28,N,,,,,,,,,,,,Home,,W 4–0,,Sun,"<a href=""/en/squads/206d90db/Barcelona-Stats"">Barcelona</a>",,Valladolid
0,0,0,,0,0,9,Group stage,FW,,0,64.3,1,Champions Lg,58,2022-09-06,Y,18,0,1,0,0,14,0,0,0.1,0,0,Away,0.0,L 0–1,1,Tue,"<span title=""England""><span class=""f-i f-gb-eng"" style="""">eng</span></span>",0.0,Dinamo Zagreb
0,0,0,,0,0,9,Group stage,FW,,0,60.0,1,Champions Lg,65,2022-09-14,Y,21,0,0,0,0,15,1,0,0.1,0,3,Home,0.2,D 1–1,0,Wed,"<span title=""England""><span class=""f-i f-gb-eng"" style="""">eng</span></span>",0.2,RB Salzburg
0,0,0,,0,1,20,Matchweek 9,FW,,0,87.0,2,Premier League,74,2022-10-01,Y,28,1,2,0,1,23,0,0,0.2,0,2,Away,0.1,W 2–1,0,Sat,"<a href=""/en/squads/cff3d9bb/Chelsea-Stats"">Chelsea</a>",0.1,Crystal Palace
0,0,0,,0,1,13,Group stage,FW,,0,72.2,0,Champions Lg,64,2022-10-05,Y,21,0,1,0,1,18,0,0,0.0,0,1,Home,0.4,W 3–0,1,Wed,"<span title=""England""><span class=""f-i f-gb-eng"" style="""">eng</span></span>",0.4,Milan
,,,,,,,Matchweek 10,,"On matchday squad, but did not play",,,,Premier League,,2022-10-08,N,,,,,,,,,,,,Home,,W 3–0,,Sat,"<a href=""/en/squads/cff3d9bb/Chelsea-Stats"">Chelsea</a>",,Wolves
0,0,0,,0,1,22,Group stage,FW,,0,88.0,1,Champions Lg,78,2022-10-11,Y,33,0,0,0,2,25,0,0,0.0,0,3,Away,0.7,W 2–0,1,Tue,"<span title=""England""><span class=""f-i f-gb-eng"" style="""">eng</span></span>",0.7,Milan
0,0,0,,0,0,6,Matchweek 11,FW,,0,66.7,0,Premier League,57,2022-10-16,Y,12,0,1,0,0,9,0,0,0.1,0,0,Away,0.0,W 2–0,0,Sun,"<a href=""/en/squads/cff3d9bb/Chelsea-Stats"">Chelsea</a>",0.0,Aston Villa
0,1,0,,0,0,2,Matchweek 12,AM,,0,50.0,1,Premier League,10,2022-10-19,N,5,0,1,1,1,4,0,0,0.1,0,1,Away,0.0,D 0–0,0,Wed,"<a href=""/en/squads/cff3d9bb/Chelsea-Stats"">Chelsea</a>",0.0,Brentford
0,2,0,,0,0,4,Matchweek 13,FW,,0,40.0,0,Premier League,73,2022-10-22,Y,17,1,0,3,0,10,0,0,0.0,0,1,Home,0.0,D 1–1,0,Sat,"<a href=""/en/squads/cff3d9bb/Chelsea-Stats"">Chelsea</a>",0.0,Manchester Utd
0,0,0,,0,0,11,Group stage,FW,,0,73.3,2,Champions Lg,74,2022-10-25,Y,27,0,2,0,5,15,0,0,0.0,0,6,Away,0.9,W 2–1,0,Tue,"<span title=""England""><span class=""f-i f-gb-eng"" style="""">eng</span></span>",0.9,RB Salzburg
0,0,0,,0,0,7,Matchweek 14,"FW,LW,RW",,0,100.0,0,Premier League,28,2022-10-29,N,12,0,1,0,1,7,0,0,0.0,0,1,Away,0.0,L 1–4,0,Sat,"<a href=""/en/squads/cff3d9bb/Chelsea-Stats"">Chelsea</a>",0.0,Brighton
0,0,0,,0,0,14,Group stage,FW,,0,93.3,3,Champions Lg,64,2022-11-02,Y,20,0,4,0,0,15,1,0,0.2,1,2,Home,0.1,W 2–1,1,Wed,"<span title=""England""><span class=""f-i f-gb-eng"" style="""">eng</span></span>",0.1,Dinamo Zagreb
1,0,0,,0,0,3,Matchweek 15,FW,,0,60.0,1,Premier League,63,2022-11-06,Y,8,0,0,0,0,5,0,0,0.0,0,1,Home,0.0,L 0–1,0,Sun,"<a href=""/en/squads/cff3d9bb/Chelsea-Stats"">Chelsea</a>",0.0,Arsenal
,,,,,,,Third round,,"On matchday squad, but did not play",,,,EFL Cup,,2022-11-09,N,,,,,,,,,,,,Away,,L 0–2,,Wed,"<a href=""/en/squads/cff3d9bb/Chelsea-Stats"">Chelsea</a>",,Manchester City
,,,,,,,Matchweek 16,,"On matchday squad, but did not play",,,,Premier League,,2022-11-12,N,,,,,,,,,,,,Away,,L 0–1,,Sat,"<a href=""/en/squads/cff3d9bb/Chelsea-Stats"">Chelsea</a>",,Newcastle Utd
