cards_yellow,dribbles_completed,tackles,match_report,cards_red,goals,passes_completed,round,position,pens_att,passes_pct,progressive_passes,comp,minutes,date,game_started,touches,interceptions,sca,dribbles,shots_on_target,passes,assists,pens_made,xg_assist,gca,shots,venue,xg,result,blocks,dayofweek,team,npxg,opponent
0,6,2,,0,0,27,Matchweek 1,"RW,AM",0,79.4,0,Premier League,90,2022-08-05,Y,44,0,7,9,0,34,0,0,0.1,0,1,Home,0.1,L 0–2,0,Fri,"<a href=""/en/squads/47c64c55/Crystal-Palace-Stats"">Crystal Palace</a>",0.1,Arsenal
0,2,1,,0,0,6,Matchweek 2,RM,0,60.0,0,Premier League,62,2022-08-15,Y,21,1,0,2,0,10,0,0,0.0,0,0,Away,0.0,D 1–1,1,Mon,"<a href=""/en/squads/47c64c55/Crystal-Palace-Stats"">Crystal Palace</a>",0.0,Liverpool
0,1,3,,0,0,18,Matchweek 3,RW,0,85.7,0,Premier League,69,2022-08-20,Y,37,1,2,3,2,21,0,0,0.1,0,2,Home,0.4,W 3–1,2,Sat,"<a href=""/en/squads/47c64c55/Crystal-Palace-Stats"">Crystal Palace</a>",0.4,Aston Villa
0,,,,0,0,,Second round,,0,,,EFL Cup,15,2022-08-23,N,,0,,,0,,0,0,,,0,Away,,W 2–0,,Tue,"<a href=""/en/squads/47c64c55/Crystal-Palace-Stats"">Crystal Palace</a>",,Oxford United
0,0,2,,0,0,7,Matchweek 4,RM,0,77.8,0,Premier League,73,2022-08-27,Y,22,0,0,0,0,9,0,0,0.0,0,0,Away,0.0,L 2–4,0,Sat,"<a href=""/en/squads/47c64c55/Crystal-Palace-Stats"">Crystal Palace</a>",0.0,Manchester City
0,1,0,,0,0,3,Matchweek 5,RM,0,75.0,1,Premier League,15,2022-08-30,N,8,0,1,1,0,4,0,0,0.0,0,0,Home,0.0,D 1–1,1,Tue,"<a href=""/en/squads/47c64c55/Crystal-Palace-Stats"">Crystal Palace</a>",0.0,Brentford
0,2,5,,0,0,21,Matchweek 6,"RW,RM",0,77.8,5,Premier League,90,2022-09-03,Y,44,0,4,7,1,27,0,0,0.1,0,1,Away,0.1,D 0–0,0,Sat,"<a href=""/en/squads/47c64c55/Crystal-Palace-Stats"">Crystal Palace</a>",0.1,Newcastle Utd
0,,,,0,0,,Friendlies (M),LW,0,,,Friendlies (M),90,2022-09-23,Y,,,,,,,0,0,,,,Neutral,,L 0–3,,Fri,"<span title=""Ghana""><span class=""f-i f-gh"" style="""">gh</span></span>",,Brazil
0,,,,0,0,,Friendlies (M),,0,,,Friendlies (M),1,2022-09-27,N,,,,,,,0,0,,,,Neutral,,W 1–0,,Tue,"<span title=""Ghana""><span class=""f-i f-gh"" style="""">gh</span></span>",,Nicaragua
0,0,1,,0,0,20,Matchweek 9,RW,0,76.9,1,Premier League,90,2022-10-01,Y,36,0,3,4,0,26,1,0,0.2,1,0,Home,0.0,L 1–2,3,Sat,"<a href=""/en/squads/47c64c55/Crystal-Palace-Stats"">Crystal Palace</a>",0.0,Chelsea
0,0,0,,0,0,21,Matchweek 10,RW,0,87.5,1,Premier League,64,2022-10-09,Y,36,0,5,5,0,24,0,0,0.1,1,1,Home,0.1,W 2–1,2,Sun,"<a href=""/en/squads/47c64c55/Crystal-Palace-Stats"">Crystal Palace</a>",0.1,Leeds United
0,0,3,,0,0,31,Matchweek 11,"RW,LM,FW",0,79.5,1,Premier League,90,2022-10-15,Y,50,0,1,1,0,39,0,0,0.0,0,0,Away,0.0,D 0–0,1,Sat,"<a href=""/en/squads/47c64c55/Crystal-Palace-Stats"">Crystal Palace</a>",0.0,Leicester City
0,1,2,,0,0,1,Matchweek 12,RW,0,50.0,0,Premier League,11,2022-10-18,N,8,0,0,4,0,2,0,0,0.0,0,0,Home,0.0,W 2–1,0,Tue,"<a href=""/en/squads/47c64c55/Crystal-Palace-Stats"">Crystal Palace</a>",0.0,Wolves
0,0,4,,0,0,10,Matchweek 13,"CM,RM",0,76.9,0,Premier League,74,2022-10-22,Y,26,0,3,1,0,13,0,0,0.4,0,0,Away,0.0,L 0–3,1,Sat,"<a href=""/en/squads/47c64c55/Crystal-Palace-Stats"">Crystal Palace</a>",0.0,Everton
0,1,2,,0,0,14,Matchweek 14,RW,0,70.0,1,Premier League,28,2022-10-29,N,23,0,0,2,0,20,0,0,0.0,0,0,Home,0.0,W 1–0,0,Sat,"<a href=""/en/squads/47c64c55/Crystal-Palace-Stats"">Crystal Palace</a>",0.0,Southampton
1,1,3,,0,0,38,Matchweek 15,RW,0,88.4,3,Premier League,90,2022-11-06,Y,54,1,3,1,0,43,0,0,0.1,0,0,Away,0.0,W 2–1,2,Sun,"<a href=""/en/squads/47c64c55/Crystal-Palace-Stats"">Crystal Palace</a>",0.0,West Ham
0,,,,0,0,,Third round,AM,0,,,EFL Cup,77,2022-11-09,Y,,0,,,0,,0,0,,,1,Away,,D 0 ,,Wed,"<a href=""/en/squads/47c64c55/Crystal-Palace-Stats"">Crystal Palace</a>",,Newcastle Utd
0,1,3,,0,0,18,Matchweek 16,RW,0,81.8,1,Premier League,58,2022-11-12,Y,29,0,1,2,0,22,0,0,0.0,0,1,Away,0.0,L 0–1,1,Sat,"<a href=""/en/squads/47c64c55/Crystal-Palace-Stats"">Crystal Palace</a>",0.0,Nott'ham Forest
0,,,,0,0,,Friendlies (M),AM,0,,,Friendlies (M),61,2022-11-17,Y,,,,,,,0,0,,,,Neutral,,W 2–0,,Thu,"<span title=""Ghana""><span class=""f-i f-gh"" style="""">gh</span></span>",,Switzerland
0,0,0,,0,0,13,Group stage,FW,0,92.9,0,World Cup,14,2022-11-24,N,16,0,1,1,0,14,0,0,0.0,0,0,Neutral,0.0,L 2–3,0,Thu,"<span title=""Ghana""><span class=""f-i f-gh"" style="""">gh</span></span>",0.0,Portugal
0,1,3,,0,0,16,Group stage,LW,0,72.7,1,World Cup,77,2022-11-28,Y,37,1,5,5,0,22,1,0,0.5,2,0,Neutral,0.0,W 3–2,0,Mon,"<span title=""Ghana""><span class=""f-i f-gh"" style="""">gh</span></span>",0.0,Korea Republic
0,0,0,,0,0,6,Group stage,LW,0,60.0,1,World Cup,45,2022-12-02,Y,15,0,1,1,1,10,0,0,0.0,0,1,Neutral,0.1,L 0–2,0,Fri,"<span title=""Ghana""><span class=""f-i f-gh"" style="""">gh</span></span>",0.1,Uruguay
