cards_yellow,npxg,dribbles_completed,tackles,cards_red,goals,passes_completed,round,position,bench_explain,pens_att,passes_pct,progressive_passes,comp,minutes,date,game_started,touches,interceptions,sca,dribbles,shots_on_target,passes,assists,pens_made,xg_assist,gca,shots,venue,xg,result,blocks,dayofweek,team,match_report,opponent
,,,,,,,Matchweek 1,,"On matchday squad, but did not play",,,,Premier League,,2022-08-06,N,,,,,,,,,,,,Home,,W 2–0,,Sat,"<a href=""/en/squads/b2b47a98/Newcastle-United-Stats"">Newcastle Utd</a>",,Nott'ham Forest
,,,,,,,Matchweek 2,,"On matchday squad, but did not play",,,,Premier League,,2022-08-13,N,,,,,,,,,,,,Away,,D 0–0,,Sat,"<a href=""/en/squads/b2b47a98/Newcastle-United-Stats"">Newcastle Utd</a>",,Brighton
,,,,,,,Matchweek 3,,"On matchday squad, but did not play",,,,Premier League,,2022-08-21,N,,,,,,,,,,,,Home,,D 3–3,,Sun,"<a href=""/en/squads/b2b47a98/Newcastle-United-Stats"">Newcastle Utd</a>",,Manchester City
0,,,,0,0,,Second round,CM,,0,,,EFL Cup,84,2022-08-24,Y,,1,,,0,,0,0,,,5,Away,,W 2–1,,Wed,"<a href=""/en/squads/b2b47a98/Newcastle-United-Stats"">Newcastle Utd</a>",,Tranmere Rovers
0,0.3,1,1,0,0,4,Matchweek 4,RM,,0,80.0,1,Premier League,7,2022-08-28,N,13,0,2,2,1,5,0,0,0.0,0,2,Away,0.3,D 1–1,1,Sun,"<a href=""/en/squads/b2b47a98/Newcastle-United-Stats"">Newcastle Utd</a>",,Wolves
0,0.0,0,1,0,0,0,Matchweek 5,LW,,0,0.0,0,Premier League,7,2022-08-31,N,4,0,1,0,0,1,0,0,0.0,0,0,Away,0.0,L 1–2,0,Wed,"<a href=""/en/squads/b2b47a98/Newcastle-United-Stats"">Newcastle Utd</a>",,Liverpool
0,0.0,1,0,0,0,7,Matchweek 6,LW,,0,63.6,1,Premier League,21,2022-09-03,N,19,0,2,6,0,11,0,0,0.3,0,0,Home,0.0,D 0–0,2,Sat,"<a href=""/en/squads/b2b47a98/Newcastle-United-Stats"">Newcastle Utd</a>",,Crystal Palace
0,0.1,0,1,0,0,19,Matchweek 9,"CM,LM",,0,86.4,0,Premier League,32,2022-10-01,N,29,1,1,3,0,22,0,0,0.1,0,1,Away,0.1,W 4–1,0,Sat,"<a href=""/en/squads/b2b47a98/Newcastle-United-Stats"">Newcastle Utd</a>",,Fulham
0,0.0,0,2,0,0,0,Matchweek 10,RW,,0,0.0,0,Premier League,7,2022-10-08,N,7,1,0,1,0,2,0,0,0.0,0,0,Home,0.0,W 5–1,0,Sat,"<a href=""/en/squads/b2b47a98/Newcastle-United-Stats"">Newcastle Utd</a>",,Brentford
,,,,,,,Matchweek 11,,"On matchday squad, but did not play",,,,Premier League,,2022-10-16,N,,,,,,,,,,,,Away,,D 0–0,,Sun,"<a href=""/en/squads/b2b47a98/Newcastle-United-Stats"">Newcastle Utd</a>",,Manchester Utd
0,0.1,0,0,0,0,4,Matchweek 12,LW,,0,80.0,1,Premier League,19,2022-10-19,N,10,0,3,1,0,5,0,0,0.1,0,1,Home,0.1,W 1–0,0,Wed,"<a href=""/en/squads/b2b47a98/Newcastle-United-Stats"">Newcastle Utd</a>",,Everton
0,0.0,0,0,0,0,2,Matchweek 15,RW,,0,50.0,0,Premier League,10,2022-11-06,N,6,0,0,0,0,4,0,0,0.0,0,0,Away,0.0,W 4–1,1,Sun,"<a href=""/en/squads/b2b47a98/Newcastle-United-Stats"">Newcastle Utd</a>",,Southampton
1,,,,0,0,,Third round,FW,,0,,,EFL Cup,77,2022-11-09,Y,,1,,,1,,0,0,,,2,Home,,D 0 ,,Wed,"<a href=""/en/squads/b2b47a98/Newcastle-United-Stats"">Newcastle Utd</a>",,Crystal Palace
,,,,,,,Matchweek 16,,"On matchday squad, but did not play",,,,Premier League,,2022-11-12,N,,,,,,,,,,,,Home,,W 1–0,,Sat,"<a href=""/en/squads/b2b47a98/Newcastle-United-Stats"">Newcastle Utd</a>",,Chelsea
