cards_yellow,dribbles_completed,tackles,match_report,cards_red,goals,passes_completed,round,position,pens_att,passes_pct,progressive_passes,comp,minutes,date,game_started,touches,interceptions,sca,dribbles,shots_on_target,passes,assists,pens_made,xg_assist,gca,shots,venue,xg,result,blocks,dayofweek,team,npxg,opponent
0,,,,0,0,,League A,RB,0,,,UEFA Nations League,90,2022-06-03,Y,,0,,,0,,0,0,,,0,Away,,W 2–1,,Fri,"<span title=""Denmark""><span class=""f-i f-dk"" style="""">dk</span></span>",,France
0,,,,0,0,,League A,RB,0,,,UEFA Nations League,90,2022-06-06,Y,,1,,,0,,0,0,,,0,Away,,W 2–1,,Mon,"<span title=""Denmark""><span class=""f-i f-dk"" style="""">dk</span></span>",,Austria
1,,,,0,0,,League A,CB,0,,,UEFA Nations League,90,2022-06-10,Y,,2,,,0,,0,0,,,1,Home,,L 0–1,,Fri,"<span title=""Denmark""><span class=""f-i f-dk"" style="""">dk</span></span>",,Croatia
0,,,,0,0,,League A,CB,0,,,UEFA Nations League,62,2022-06-13,Y,,2,,,0,,0,0,,,1,Home,,W 2–0,,Mon,"<span title=""Denmark""><span class=""f-i f-dk"" style="""">dk</span></span>",,Austria
0,0,6,,0,0,93,Matchweek 1,CB,0,86.9,2,Premier League,90,2022-08-05,Y,123,2,2,0,0,107,0,0,0.1,0,0,Home,0.0,L 0–2,0,Fri,"<a href=""/en/squads/47c64c55/Crystal-Palace-Stats"">Crystal Palace</a>",0.0,Arsenal
1,0,1,,0,0,18,Matchweek 2,CB,0,66.7,0,Premier League,90,2022-08-15,Y,48,3,0,0,0,27,0,0,0.0,0,1,Away,0.3,D 1–1,4,Mon,"<a href=""/en/squads/47c64c55/Crystal-Palace-Stats"">Crystal Palace</a>",0.3,Liverpool
0,1,1,,0,0,47,Matchweek 3,CB,0,85.5,2,Premier League,90,2022-08-20,Y,63,0,1,1,0,55,0,0,0.2,0,0,Home,0.0,W 3–1,2,Sat,"<a href=""/en/squads/47c64c55/Crystal-Palace-Stats"">Crystal Palace</a>",0.0,Aston Villa
0,1,0,,0,1,31,Matchweek 4,CB,0,75.6,1,Premier League,90,2022-08-27,Y,52,0,0,2,1,41,0,0,0.0,0,1,Away,0.1,L 2–4,0,Sat,"<a href=""/en/squads/47c64c55/Crystal-Palace-Stats"">Crystal Palace</a>",0.1,Manchester City
0,0,1,,0,0,54,Matchweek 5,CB,0,78.3,4,Premier League,90,2022-08-30,Y,86,1,2,1,0,69,0,0,0.0,0,0,Home,0.0,D 1–1,1,Tue,"<a href=""/en/squads/47c64c55/Crystal-Palace-Stats"">Crystal Palace</a>",0.0,Brentford
0,0,1,,0,0,43,Matchweek 6,CB,0,74.1,1,Premier League,90,2022-09-03,Y,84,3,1,0,0,58,0,0,0.0,0,0,Away,0.0,D 0–0,4,Sat,"<a href=""/en/squads/47c64c55/Crystal-Palace-Stats"">Crystal Palace</a>",0.0,Newcastle Utd
0,,,,0,0,,League A,RB,0,,,UEFA Nations League,90,2022-09-22,Y,,1,,,0,,0,0,,,0,Away,,L 1–2,,Thu,"<span title=""Denmark""><span class=""f-i f-dk"" style="""">dk</span></span>",,Croatia
0,,,,0,0,,League A,CB,0,,,UEFA Nations League,90,2022-09-25,Y,,1,,,0,,0,0,,,0,Home,,W 2–0,,Sun,"<span title=""Denmark""><span class=""f-i f-dk"" style="""">dk</span></span>",,France
0,0,1,,0,0,32,Matchweek 10,CB,0,72.7,3,Premier League,90,2022-10-09,Y,59,2,0,1,1,44,0,0,0.0,0,2,Home,0.2,W 2–1,1,Sun,"<a href=""/en/squads/47c64c55/Crystal-Palace-Stats"">Crystal Palace</a>",0.2,Leeds United
1,1,0,,0,0,73,Matchweek 11,CB,0,83.0,4,Premier League,90,2022-10-15,Y,94,0,0,1,0,88,0,0,0.0,0,0,Away,0.0,D 0–0,1,Sat,"<a href=""/en/squads/47c64c55/Crystal-Palace-Stats"">Crystal Palace</a>",0.0,Leicester City
0,0,0,,0,0,44,Matchweek 12,CB,0,81.5,1,Premier League,90,2022-10-18,Y,61,0,1,0,0,54,0,0,0.0,0,2,Home,0.1,W 2–1,0,Tue,"<a href=""/en/squads/47c64c55/Crystal-Palace-Stats"">Crystal Palace</a>",0.1,Wolves
0,0,3,,0,0,59,Matchweek 13,CB,0,84.3,4,Premier League,90,2022-10-22,Y,80,0,0,0,1,70,0,0,0.0,0,1,Away,0.1,L 0–3,1,Sat,"<a href=""/en/squads/47c64c55/Crystal-Palace-Stats"">Crystal Palace</a>",0.1,Everton
0,0,1,,0,0,32,Matchweek 14,CB,0,66.7,0,Premier League,90,2022-10-29,Y,57,0,1,0,1,48,0,0,0.0,0,1,Home,0.1,W 1–0,0,Sat,"<a href=""/en/squads/47c64c55/Crystal-Palace-Stats"">Crystal Palace</a>",0.1,Southampton
0,0,1,,0,0,67,Matchweek 15,CB,0,82.7,2,Premier League,90,2022-11-06,Y,84,0,0,0,0,81,0,0,0.0,0,0,Away,0.0,W 2–1,0,Sun,"<a href=""/en/squads/47c64c55/Crystal-Palace-Stats"">Crystal Palace</a>",0.0,West Ham
0,0,0,,0,0,113,Matchweek 16,CB,0,84.3,5,Premier League,90,2022-11-12,Y,140,2,1,0,0,134,0,0,0.0,0,0,Away,0.0,L 0–1,0,Sat,"<a href=""/en/squads/47c64c55/Crystal-Palace-Stats"">Crystal Palace</a>",0.0,Nott'ham Forest
0,0,3,,0,0,59,Group stage,CB,0,77.6,2,World Cup,90,2022-11-22,Y,87,0,1,1,1,76,0,0,0.0,0,1,Neutral,0.0,D 0–0,1,Tue,"<span title=""Denmark""><span class=""f-i f-dk"" style="""">dk</span></span>",0.0,Tunisia
0,0,1,,0,0,45,Group stage,CB,0,91.8,3,World Cup,90,2022-11-26,Y,60,0,2,0,0,49,1,0,0.2,1,2,Neutral,0.1,L 1–2,1,Sat,"<span title=""Denmark""><span class=""f-i f-dk"" style="""">dk</span></span>",0.1,France
0,0,0,,0,0,94,Group stage,CB,0,75.2,11,World Cup,90,2022-11-30,Y,134,0,2,0,0,125,0,0,0.0,0,1,Neutral,0.0,L 0–1,0,Wed,"<span title=""Denmark""><span class=""f-i f-dk"" style="""">dk</span></span>",0.0,Australia
