cards_yellow,npxg,dribbles_completed,tackles,cards_red,goals,passes_completed,round,position,bench_explain,pens_att,passes_pct,progressive_passes,comp,minutes,date,game_started,touches,interceptions,sca,dribbles,shots_on_target,passes,assists,pens_made,xg_assist,gca,shots,venue,xg,result,blocks,dayofweek,team,match_report,opponent
,,,,,,,Matchweek 1,,"On matchday squad, but did not play",,,,Premier League,,2022-08-06,N,,,,,,,,,,,,Home,,W 2–0,,Sat,"<a href=""/en/squads/4ba7cbea/Bournemouth-Stats"">Bournemouth</a>",,Aston Villa
,,,,,,,Matchweek 2,,"On matchday squad, but did not play",,,,Premier League,,2022-08-13,N,,,,,,,,,,,,Away,,L 0–4,,Sat,"<a href=""/en/squads/4ba7cbea/Bournemouth-Stats"">Bournemouth</a>",,Manchester City
0,0.0,0,2,0,0,19,Matchweek 3,LW,,0,82.6,0,Premier League,45,2022-08-20,N,27,0,2,1,0,23,0,0,0.0,0,0,Home,0.0,L 0–3,1,Sat,"<a href=""/en/squads/4ba7cbea/Bournemouth-Stats"">Bournemouth</a>",,Arsenal
0,,,,0,0,,Second round,AM,,0,,,EFL Cup,120,2022-08-23,Y,,1,,,1,,0,0,,,4,Away,,D 2 ,,Tue,"<a href=""/en/squads/4ba7cbea/Bournemouth-Stats"">Bournemouth</a>",,Norwich City
0,0.0,0,1,0,0,14,Matchweek 4,"RB,RW",,0,58.3,1,Premier League,90,2022-08-27,Y,23,0,0,1,1,24,0,0,0.0,0,1,Away,0.0,L 0–9,0,Sat,"<a href=""/en/squads/4ba7cbea/Bournemouth-Stats"">Bournemouth</a>",,Liverpool
0,0.0,0,0,0,0,1,Matchweek 5,LM,,0,50.0,1,Premier League,5,2022-08-31,N,4,0,1,1,0,2,0,0,0.0,0,0,Home,0.0,D 0–0,0,Wed,"<a href=""/en/squads/4ba7cbea/Bournemouth-Stats"">Bournemouth</a>",,Wolves
0,0.3,1,1,0,1,1,Matchweek 6,CM,,0,100.0,1,Premier League,6,2022-09-03,N,5,0,2,1,1,1,0,0,0.1,0,1,Away,0.3,W 3–2,1,Sat,"<a href=""/en/squads/4ba7cbea/Bournemouth-Stats"">Bournemouth</a>",,Nott'ham Forest
0,0.0,0,0,0,0,1,Matchweek 8,RW,,0,100.0,0,Premier League,11,2022-09-17,N,3,0,0,0,0,1,0,0,0.0,0,1,Away,0.0,D 1–1,0,Sat,"<a href=""/en/squads/4ba7cbea/Bournemouth-Stats"">Bournemouth</a>",,Newcastle Utd
,,,,,,,Matchweek 9,,"On matchday squad, but did not play",,,,Premier League,,2022-10-01,N,,,,,,,,,,,,Home,,D 0–0,,Sat,"<a href=""/en/squads/4ba7cbea/Bournemouth-Stats"">Bournemouth</a>",,Brentford
0,0.0,1,0,0,0,2,Matchweek 10,FW,,0,50.0,0,Premier League,14,2022-10-08,N,7,0,0,3,0,4,0,0,0.0,0,0,Home,0.0,W 2–1,0,Sat,"<a href=""/en/squads/4ba7cbea/Bournemouth-Stats"">Bournemouth</a>",,Leicester City
0,0.0,0,0,0,0,2,Matchweek 11,"LM,LW",,0,25.0,0,Premier League,16,2022-10-15,N,11,0,0,0,1,8,0,0,0.0,0,1,Away,0.0,D 2–2,0,Sat,"<a href=""/en/squads/4ba7cbea/Bournemouth-Stats"">Bournemouth</a>",,Fulham
,,,,,,,Matchweek 12,,"On matchday squad, but did not play",,,,Premier League,,2022-10-19,N,,,,,,,,,,,,Home,,L 0–1,,Wed,"<a href=""/en/squads/4ba7cbea/Bournemouth-Stats"">Bournemouth</a>",,Southampton
0,0.0,0,2,0,0,18,Matchweek 13,LW,,0,81.8,3,Premier League,34,2022-10-24,N,27,0,0,1,1,22,0,0,0.0,0,1,Away,0.0,L 0–2,0,Mon,"<a href=""/en/squads/4ba7cbea/Bournemouth-Stats"">Bournemouth</a>",,West Ham
0,0.0,0,0,0,0,2,Matchweek 14,AM,,0,66.7,0,Premier League,28,2022-10-29,N,5,0,0,1,0,3,0,0,0.0,0,0,Home,0.0,L 2–3,0,Sat,"<a href=""/en/squads/4ba7cbea/Bournemouth-Stats"">Bournemouth</a>",,Tottenham
,,,,,,,Matchweek 15,,"On matchday squad, but did not play",,,,Premier League,,2022-11-05,N,,,,,,,,,,,,Away,,L 3–4,,Sat,"<a href=""/en/squads/4ba7cbea/Bournemouth-Stats"">Bournemouth</a>",,Leeds United
1,,,,0,1,,Third round,AM,,0,,,EFL Cup,90,2022-11-08,Y,,0,,,2,,0,0,,,2,Home,,W 4–1,,Tue,"<a href=""/en/squads/4ba7cbea/Bournemouth-Stats"">Bournemouth</a>",,Everton
0,0.4,0,0,0,1,5,Matchweek 16,LM,,0,62.5,1,Premier League,23,2022-11-12,N,11,0,1,0,1,8,0,0,0.0,1,1,Home,0.4,W 3–0,0,Sat,"<a href=""/en/squads/4ba7cbea/Bournemouth-Stats"">Bournemouth</a>",,Everton
0,,,,0,0,,Fourth round,LM,,0,,,EFL Cup,76,2022-12-20,Y,,1,,,0,,0,0,,,0,Away,,L 0–1,,Tue,"<a href=""/en/squads/4ba7cbea/Bournemouth-Stats"">Bournemouth</a>",,Newcastle Utd
