cards_yellow,dribbles_completed,tackles,match_report,cards_red,goals,passes_completed,round,position,bench_explain,pens_att,passes_pct,progressive_passes,comp,minutes,date,game_started,touches,interceptions,sca,dribbles,shots_on_target,passes,assists,pens_made,xg_assist,gca,shots,venue,xg,result,blocks,dayofweek,team,npxg,opponent
0,0,2,,0,0,3,Matchweek 1,"AM,FW",,0,75.0,0,Premier League,28,2022-08-06,N,7,0,0,0,0,4,0,0,0.0,0,0,Away,0.0,L 0–2,0,Sat,"<a href=""/en/squads/e4a775cb/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Newcastle Utd
0,1,0,,0,1,12,Matchweek 2,FW,,0,70.6,1,Premier League,71,2022-08-14,Y,28,0,3,3,1,17,0,0,0.0,0,2,Home,0.5,W 1–0,0,Sun,"<a href=""/en/squads/e4a775cb/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.5,West Ham
0,0,0,,0,0,12,Matchweek 3,FW,,0,75.0,0,Premier League,60,2022-08-20,Y,23,1,1,0,1,16,0,0,0.1,0,1,Away,0.0,D 1–1,0,Sat,"<a href=""/en/squads/e4a775cb/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Everton
0,,,,0,0,,Second round,,,0,,,EFL Cup,16,2022-08-23,N,,0,,,0,,0,0,,,0,Away,,W 3–0,,Tue,"<a href=""/en/squads/e4a775cb/Nottingham-Forest-Stats"">Nott'ham Forest</a>",,Grimsby Town
0,0,0,,0,0,5,Matchweek 4,FW,,0,83.3,0,Premier League,16,2022-08-28,N,8,0,1,0,0,6,0,0,0.0,0,0,Home,0.0,L 0–2,0,Sun,"<a href=""/en/squads/e4a775cb/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Tottenham
0,0,1,,0,0,7,Matchweek 5,FW,,0,77.8,0,Premier League,33,2022-08-31,N,13,0,2,1,0,9,0,0,0.0,0,1,Away,0.2,L 0–6,0,Wed,"<a href=""/en/squads/e4a775cb/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.2,Manchester City
0,0,1,,0,0,6,Matchweek 6,AM,,0,100.0,0,Premier League,24,2022-09-03,N,11,0,0,0,0,6,0,0,0.0,0,2,Home,0.6,L 2–3,0,Sat,"<a href=""/en/squads/e4a775cb/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.6,Bournemouth
0,0,0,,0,1,7,Matchweek 8,FW,,0,87.5,1,Premier League,69,2022-09-16,Y,20,0,0,0,1,8,0,0,0.0,0,2,Home,0.8,L 2–3,2,Fri,"<a href=""/en/squads/e4a775cb/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.8,Fulham
0,,,,0,0,,Friendlies (M),,,0,,,Friendlies (M),19,2022-09-27,N,,,,,,,0,0,,,,Neutral,,L 1–2,,Tue,"<span title=""Nigeria""><span class=""f-i f-ng"" style="""">ng</span></span>",,Algeria
0,0,0,,0,0,6,Matchweek 9,FW,,0,75.0,0,Premier League,61,2022-10-03,Y,13,0,0,0,1,8,0,0,0.0,0,3,Away,0.5,L 0–4,0,Mon,"<a href=""/en/squads/e4a775cb/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.5,Leicester City
,,,,,,,Matchweek 10,,"On matchday squad, but did not play",,,,Premier League,,2022-10-10,N,,,,,,,,,,,,Home,,D 1–1,,Mon,"<a href=""/en/squads/e4a775cb/Nottingham-Forest-Stats"">Nott'ham Forest</a>",,Aston Villa
0,0,0,,0,0,1,Matchweek 11,"FW,CM",,0,33.3,0,Premier League,7,2022-10-15,N,4,0,0,0,0,3,0,0,0.0,0,0,Away,0.0,L 0–1,0,Sat,"<a href=""/en/squads/e4a775cb/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Wolves
0,0,0,,0,0,0,Matchweek 12,FW,,0,,0,Premier League,5,2022-10-18,N,2,0,0,1,0,0,0,0,0.0,0,0,Away,0.0,D 0–0,0,Tue,"<a href=""/en/squads/e4a775cb/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Brighton
0,0,1,,0,1,7,Matchweek 13,FW,,0,87.5,1,Premier League,63,2022-10-22,Y,20,0,5,1,2,8,0,0,0.6,1,3,Home,0.8,W 1–0,3,Sat,"<a href=""/en/squads/e4a775cb/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.8,Liverpool
0,0,0,,0,0,7,Matchweek 14,FW,,0,87.5,0,Premier League,63,2022-10-30,Y,18,0,0,2,0,8,0,0,0.0,0,0,Away,0.0,L 0–5,0,Sun,"<a href=""/en/squads/e4a775cb/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Arsenal
0,0,0,,0,0,0,Matchweek 15,FW,,0,0.0,0,Premier League,12,2022-11-05,N,3,0,0,0,0,1,0,0,0.0,0,1,Home,0.2,D 2–2,0,Sat,"<a href=""/en/squads/e4a775cb/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.2,Brentford
0,,,,0,0,,Third round,FW,,0,,,EFL Cup,61,2022-11-09,Y,,0,,,0,,0,0,,,0,Home,,W 2–0,,Wed,"<a href=""/en/squads/e4a775cb/Nottingham-Forest-Stats"">Nott'ham Forest</a>",,Tottenham
,,,,,,,Matchweek 16,,"On matchday squad, but did not play",,,,Premier League,,2022-11-12,N,,,,,,,,,,,,Home,,W 1–0,,Sat,"<a href=""/en/squads/e4a775cb/Nottingham-Forest-Stats"">Nott'ham Forest</a>",,Crystal Palace
0,,,,0,1,,Fourth round,FW,,0,,,EFL Cup,81,2022-12-21,Y,,0,,,4,,0,0,,,6,Away,,W 4–1,,Wed,"<a href=""/en/squads/e4a775cb/Nottingham-Forest-Stats"">Nott'ham Forest</a>",,Blackburn
