cards_yellow,dribbles_completed,tackles,match_report,cards_red,goals,passes_completed,round,position,bench_explain,pens_att,passes_pct,progressive_passes,comp,minutes,date,game_started,touches,interceptions,sca,dribbles,shots_on_target,passes,assists,pens_made,xg_assist,gca,shots,venue,xg,result,blocks,dayofweek,team,npxg,opponent
0,,,,0,0,,League A,CB,,0,,,UEFA Nations League,73,2022-06-03,Y,,2,,,0,,0,0,,,0,Away,,W 4–1,,Fri,"<span title=""Netherlands""><span class=""f-i f-nl"" style="""">nl</span></span>",,Belgium
,,,,,,,League A,,"On matchday squad, but did not play",,,,UEFA Nations League,,2022-06-08,N,,,,,,,,,,,,Away,,W 2–1,,Wed,"<span title=""Netherlands""><span class=""f-i f-nl"" style="""">nl</span></span>",,Wales
0,,,,0,0,,League A,CB,,0,,,UEFA Nations League,90,2022-06-11,Y,,0,,,0,,0,0,,,0,Home,,D 2–2,,Sat,"<span title=""Netherlands""><span class=""f-i f-nl"" style="""">nl</span></span>",,Poland
0,,,,0,0,,FA Community Shield,CB,,0,,,Community Shield,90,2022-07-30,Y,,2,,,0,,0,0,,,1,Neutral,,L 1–3,,Sat,"<a href=""/en/squads/b8fd03ef/Manchester-City-Stats"">Manchester City</a>",,Liverpool
0,0,1,,0,0,99,Matchweek 1,CB,,0,93.4,1,Premier League,90,2022-08-07,Y,115,1,0,0,0,106,0,0,0.0,0,1,Away,0.0,W 2–0,3,Sun,"<a href=""/en/squads/b8fd03ef/Manchester-City-Stats"">Manchester City</a>",0.0,West Ham
0,0,1,,0,0,86,Matchweek 2,CB,,0,96.6,3,Premier League,90,2022-08-13,Y,98,0,1,0,0,89,0,0,0.0,0,2,Home,0.1,W 4–0,2,Sat,"<a href=""/en/squads/b8fd03ef/Manchester-City-Stats"">Manchester City</a>",0.1,Bournemouth
0,0,0,,0,0,18,Matchweek 3,CB,,0,90.0,0,Premier League,20,2022-08-21,Y,20,0,1,0,0,20,0,0,0.0,0,0,Away,0.0,D 3–3,0,Sun,"<a href=""/en/squads/b8fd03ef/Manchester-City-Stats"">Manchester City</a>",0.0,Newcastle Utd
0,0,0,,0,0,16,Matchweek 6,CB,,0,100.0,0,Premier League,11,2022-09-03,N,17,0,0,0,0,16,0,0,0.0,0,0,Away,0.0,D 1–1,0,Sat,"<a href=""/en/squads/b8fd03ef/Manchester-City-Stats"">Manchester City</a>",0.0,Aston Villa
,,,,,,,Group stage,,"On matchday squad, but did not play",,,,Champions Lg,,2022-09-06,N,,,,,,,,,,,,Away,,W 4–0,,Tue,"<span title=""England""><span class=""f-i f-gb-eng"" style="""">eng</span></span>",,Sevilla
0,0,1,,0,0,96,Group stage,CB,,0,95.0,11,Champions Lg,90,2022-09-14,Y,107,2,1,0,0,101,0,0,0.0,1,0,Home,0.0,W 2–1,1,Wed,"<span title=""England""><span class=""f-i f-gb-eng"" style="""">eng</span></span>",0.0,Dortmund
