cards_yellow,dribbles_completed,tackles,match_report,cards_red,goals,passes_completed,round,position,bench_explain,pens_att,passes_pct,progressive_passes,comp,minutes,date,game_started,touches,interceptions,sca,dribbles,shots_on_target,passes,assists,pens_made,xg_assist,gca,shots,venue,xg,result,blocks,dayofweek,team,npxg,opponent
0,,,,0,0,,League B,FW,,0,,,UEFA Nations League,86,2022-06-08,Y,,0,,,0,,0,0,,,4,Home,,W 2–0,,Wed,"<span title=""Scotland""><span class=""f-i f-gb-sct"" style="""">sct</span></span>",,Armenia
0,,,,0,0,,League B,FW,,0,,,UEFA Nations League,57,2022-06-11,Y,,0,,,0,,0,0,,,1,Away,,L 0–3,,Sat,"<span title=""Scotland""><span class=""f-i f-gb-sct"" style="""">sct</span></span>",,Rep. of Ireland
1,,,,0,1,,League B,FW,,0,,,UEFA Nations League,73,2022-06-14,Y,,0,,,3,,1,0,,,4,Away,,W 4–1,,Tue,"<span title=""Scotland""><span class=""f-i f-gb-sct"" style="""">sct</span></span>",,Armenia
,,,,,,,Matchweek 1,,"On matchday squad, but did not play",,,,Premier League,,2022-08-06,N,,,,,,,,,,,,Away,,L 1–4,,Sat,"<a href=""/en/squads/33c895d4/Southampton-Stats"">Southampton</a>",,Tottenham
0,0,2,,0,0,7,Matchweek 2,FW,,0,50.0,0,Premier League,90,2022-08-13,Y,21,0,2,0,0,14,0,0,0.0,0,1,Home,0.1,D 2–2,0,Sat,"<a href=""/en/squads/33c895d4/Southampton-Stats"">Southampton</a>",0.1,Leeds United
0,0,0,,0,2,5,Matchweek 3,FW,,0,100.0,0,Premier League,32,2022-08-20,N,12,0,0,0,2,5,0,0,0.0,0,3,Away,0.5,W 2–1,1,Sat,"<a href=""/en/squads/33c895d4/Southampton-Stats"">Southampton</a>",0.5,Leicester City
0,,,,0,2,,Second round,FW,,0,,,EFL Cup,65,2022-08-23,Y,,0,,,2,,0,0,,,5,Away,,W 3–0,,Tue,"<a href=""/en/squads/33c895d4/Southampton-Stats"">Southampton</a>",,Cambridge Utd
0,0,0,,0,0,10,Matchweek 4,FW,,0,40.0,1,Premier League,90,2022-08-27,Y,36,0,1,0,2,25,0,0,0.1,0,5,Home,0.5,L 0–1,0,Sat,"<a href=""/en/squads/33c895d4/Southampton-Stats"">Southampton</a>",0.5,Manchester Utd
0,0,0,,0,0,20,Matchweek 5,FW,,0,71.4,2,Premier League,90,2022-08-30,Y,42,0,3,5,0,28,0,0,0.4,0,0,Home,0.0,W 2–1,1,Tue,"<a href=""/en/squads/33c895d4/Southampton-Stats"">Southampton</a>",0.0,Chelsea
0,0,2,,0,0,13,Matchweek 6,FW,,0,65.0,1,Premier League,90,2022-09-03,Y,26,1,3,0,0,20,0,0,0.5,0,1,Away,0.4,L 0–1,0,Sat,"<a href=""/en/squads/33c895d4/Southampton-Stats"">Southampton</a>",0.4,Wolves
