assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,red_cards,saves,saves_per_90,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,0,100,100,0,0,232223,None,,0,0,0,0,0.0,493,47,None,,0,4,0.5,0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Folarin,0.0,504,48,0,0,0,0.0,504,47,1,False,0.0,494,44,0,,2023-08-07T15:30:05.135490Z,45,430,68,0,0,None,0,,232223.jpg,0.0,504,48,0,0,0,Balogun,0.7,204,37,False,None,0,0,a,1,3,0.0,453,43,0,6957,1998,16266,6563,0.0,0.0,Balogun,0
0,0,0,None,None,0,0,58822,None,,0,0,0,0,0.0,314,115,None,,0,2,0.5,0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Cédric,0.0,333,111,0,0,0,0.0,339,120,2,False,0.0,329,120,0,,None,40,567,155,0,0,None,0,,58822.jpg,0.0,333,111,0,0,0,Alves Soares,0.4,258,96,False,None,0,0,a,1,3,0.0,256,85,0,3004,1102,7118,2566,0.0,0.0,Cédric,0
0,0,0,0,0,0,0,153256,None,,-1,1,-1,1,0.0,419,151,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Mohamed,0.0,439,155,0,0,0,0.0,442,153,3,False,0.0,433,146,0,Knee injury - Unknown return date,2023-08-11T13:00:06.079379Z,44,546,287,0,0,None,0,,153256.jpg,0.0,439,155,0,0,0,Elneny,0.1,421,136,False,None,0,0,i,1,3,0.0,367,129,0,2828,2705,5440,1818,0.0,0.0,M.Elneny,0
0,0,0,None,None,0,0,438098,None,,-1,1,-1,1,0.0,648,279,None,,0,3,0.5,0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Fábio,0.0,648,277,0,0,0,0.0,651,279,4,False,0.0,649,278,0,,None,54,149,95,0,0,None,0,,438098.jpg,0.0,648,277,0,0,0,Ferreira Vieira,0.1,417,132,False,None,0,0,a,1,3,0.0,639,272,0,599,131,3479,1094,0.0,0.0,Fábio Vieira,0
0,0,7,None,None,0,0.0,226597,None,,-1,1,-1,1,0.0,582,215,None,,0,2,1.5,1.5,1,0.00,0.0,0.00,0.0,0.00,0.75,2.81,0.0,Gabriel,1.0,240,84,0,0.0,0,1.3,273,99,5,False,13.2,210,85,24,,None,49,300,33,0,0,None,0,,226597.jpg,1.0,272,103,0,0,0.0,dos Santos Magalhães,24.5,14,6,False,None,0,0.0,a,1,3,0.0,563,214,2,88507,26711,692593,406949,0.2,0.4,Gabriel,0
0,0,10,None,None,1,0.5,219847,None,,-1,1,-1,1,44.1,43,31,None,,0,3,2.5,2.5,2,0.29,0.14,0.36,0.18,0.07,2.24,1.12,0.04,Kai,2.0,173,81,1,0.5,0,7.4,109,62,6,False,9.4,235,98,180,,None,74,26,15,0,0,None,0,,219847.jpg,2.0,178,83,0,0,0.0,Havertz,3.6,89,29,False,None,2,1.0,a,1,3,21.0,99,58,4,11828,3336,122431,50409,0.3,0.5,Havertz,1
0,0,0,None,None,0,0,156074,None,,0,0,0,0,0.0,462,197,None,,0,2,0.5,0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Rob,0.0,475,196,0,0,0,0.0,476,200,7,False,0.0,467,201,0,,None,45,369,68,0,0,None,0,,156074.jpg,0.0,475,196,0,0,0,Holding,0.2,339,130,False,None,0,0,a,1,3,0.0,417,179,0,1323,377,4456,1448,0.0,0.0,Holding,0
0,0,0,0,0,0,0,205651,None,,0,0,-1,1,0.0,673,85,None,,0,4,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Gabriel,0.0,670,85,0,0,0,0.0,673,85,8,False,0.0,673,85,0,Knee injury - Unknown return date,2023-08-02T21:00:03.961365Z,79,16,6,0,0,3,0,,205651.jpg,0.0,670,85,0,0,0,Fernando de Jesus,1.2,155,27,False,None,0,0,i,1,3,0.0,673,85,0,3893,660,108812,21598,0.0,0.0,G.Jesus,0
0,0,5,100,100,0,0.0,85955,None,,0,0,0,0,0.6,277,141,None,,0,3,1.0,1.0,1,0.01,0.08,0.01,0.08,0.00,0.59,4.83,0.0,Jorge Luiz,0.5,319,151,0,0.0,0,0.4,310,142,9,False,3.6,280,120,11,,2023-08-07T15:30:05.168632Z,55,88,54,0,0,None,0,,85955.jpg,1.0,297,138,0,0,0.0,Frello Filho,0.2,319,94,False,None,0,0.0,a,1,3,0.0,640,273,1,1721,506,4921,1803,0.1,0.2,Jorginho,0
0,0,3,None,None,0,0.0,440854,None,,0,0,0,0,0.2,296,108,None,,0,2,1.0,1.0,1,0.00,0.0,0.00,0.0,0.00,0.26,23.4,0.0,Jakub,0.5,286,104,0,0.0,0,0.1,325,118,10,False,0.4,311,115,1,,None,45,468,121,0,0,None,0,,440854.jpg,1.0,245,95,0,0,0.0,Kiwior,0.1,425,167,False,None,0,0.0,a,1,3,0.0,483,203,1,357,124,2349,725,0.1,0.2,Kiwior,0
