id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
6049,Solly March,3,241,3,2.1514047384262085,0,0.1520106978714466,10,5,0,0,M,Brighton,3,2.1514047384262085,2.92387917637825,0.847283273935318
6552,Bryan Mbeumo,3,270,3,3.051823675632477,0,0.264384388923645,7,3,0,0,F,Brentford,1,1.5294859409332275,1.5952002853155136,0.06571434438228607
7814,Taiwo Awoniyi,3,183,3,1.666745364665985,0,0.07604995369911194,5,2,0,0,F S,Nottingham Forest,3,1.666745364665985,1.7157853245735168,0.015222105197608471
8260,Erling Haaland,3,265,3,3.3890090584754944,0,0.4058229774236679,16,4,0,0,F,Manchester City,3,2.627840220928192,2.9821196794509888,0.5024585798382759
531,Michail Antonio,3,247,2,0.9052570015192032,0,0.15586480498313904,5,1,1,0,F,West Ham,2,0.9052570015192032,1.6813295632600784,0.6202077269554138
618,Raheem Sterling,3,268,2,1.3015881404280663,0,0.6864727661013603,6,4,0,0,M,Chelsea,2,1.3015881404280663,2.863941490650177,1.1650180742144585
1776,Jarrod Bowen,3,270,2,1.3066161274909973,1,0.8080089539289474,11,4,1,0,M,West Ham,2,1.3066161274909973,1.5868245959281921,0.35537485778331757
2496,Rodri,3,270,2,1.057547777891159,1,0.5278989188373089,9,2,0,0,M,Manchester City,2,1.057547777891159,3.7696669697761536,3.46992427110672
5232,Alexander Isak,3,224,2,1.313307374715805,0,0.04466302692890167,4,1,0,0,F,Newcastle United,2,1.313307374715805,1.3656214773654938,0.5321443229913712
5786,Yoane Wissa,3,254,2,1.5698162466287613,0,0.07477104663848877,12,2,0,0,F,Brentford,2,1.5698162466287613,0.8684456050395966,0.08360356092453003
6482,Eddie Nketiah,3,202,2,1.6614932417869568,0,0.16011278331279755,10,2,0,0,F S,Arsenal,2,1.6614932417869568,1.9812424182891846,0.346959687769413
6556,Moussa Diaby,3,239,2,0.7691009938716888,1,1.8064229488372803,8,6,0,0,M,Aston Villa,2,0.7691009938716888,3.3147943019866943,1.8412092700600624
7322,Bukayo Saka,3,270,2,1.8227379024028778,0,0.7345314770936966,9,9,0,0,F,Arsenal,1,1.0615691244602203,2.5287054777145386,1.1694485247135162
8864,Matthew Cash,3,270,2,2.0693803429603577,0,0.09815222769975662,8,1,1,0,D,Aston Villa,2,2.0693803429603577,2.510700896382332,0.9015320464968681
10408,Luis Díaz,3,206,2,1.2460210025310516,0,0.3413136154413223,8,3,0,0,F,Liverpool,2,1.2460210025310516,1.4500691294670105,0.4201557785272598
10720,Darwin Núñez,3,27,2,0.39028404653072357,0,0,4,0,1,0,S,Liverpool,2,0.39028404653072357,0.4442247599363327,0.05394074320793152
239,Pascal Groß,3,263,1,0.520846351981163,0,1.1683019399642944,8,14,1,0,M,Brighton,1,0.520846351981163,3.6678450107574463,2.8425965905189514
468,Callum Wilson,3,46,1,1.3336846008896828,0,0.015900330618023872,6,1,0,0,S,Newcastle United,1,1.3336846008896828,1.3495849315077066,0
646,Christian Eriksen,3,131,1,0.16082441806793213,0,0.07433079183101654,1,2,0,0,M S,Manchester United,1,0.16082441806793213,1.2582217063754797,1.0230665039271116
843,James Ward-Prowse,2,180,1,1.061242589727044,2,0.44829946756362915,4,2,1,0,M,West Ham,1,1.061242589727044,1.8744915947318077,0.8132488876581192
922,Andreas Pereira,3,166,1,0.023748640902340412,0,0.03997660055756569,2,2,0,0,M S,Fulham,1,0.023748640902340412,0.3833686262369156,0.31964339315891266
1228,Bruno Fernandes,3,270,1,2.213971149176359,1,2.161566287279129,13,10,2,0,M,Manchester United,0,1.4528022520244122,3.385380804538727,1.7316634058952332
1250,Mohamed Salah,3,264,1,2.2647229731082916,2,0.8167300522327423,10,5,0,0,F,Liverpool,1,1.5035541355609894,1.7267902493476868,0.09460654854774475
1679,Dominic Solanke,3,270,1,1.4379337057471275,1,0.19071850180625916,7,5,0,0,F,Bournemouth,1,1.4379337057471275,1.5579342544078827,0
2245,Raphael Varane,3,229,1,0.9178637377917767,0,0,4,0,0,0,D,Manchester United,1,0.9178637377917767,1.5801122039556503,0.7910308688879013
2248,Casemiro,3,270,1,1.6071484088897705,0,0.3683496117591858,9,2,0,0,M,Manchester United,1,1.6071484088897705,2.2928819954395294,1.7651180177927017
2517,Martin Odegaard,3,266,1,1.0284563079476357,0,0.13946469873189926,9,2,0,0,M,Arsenal,0,0.2673242576420307,1.9663916230201721,1.6505384147167206
3697,Odsonne Edouard,3,252,1,2.0053196996450424,0,0.2072524130344391,12,3,0,0,F,Crystal Palace,1,2.0053196996450424,1.6995162814855576,0.15282482281327248
4456,Chris Wood,3,11,1,0.11083554476499557,0,0.09756432473659515,1,2,0,0,S,Nottingham Forest,1,0.11083554476499557,0.17150022834539413,0
5136,Estupiñán,3,270,1,0.6160032898187637,2,1.9120967164635658,5,10,2,0,D,Brighton,1,0.6160032898187637,4.07448548078537,3.2079558670520782
5221,Leon Bailey,2,129,1,0.5992322564125061,1,0.6844462156295776,2,1,0,0,M,Aston Villa,1,0.5992322564125061,1.595856636762619,0.4103304147720337
6122,Douglas Luiz,3,252,1,0.9703840911388397,0,0.3940567821264267,5,4,2,0,M,Aston Villa,0,0.20921525359153748,2.6208240389823914,2.4777552783489227
