Ast_4,CrdR_4,CrdY_4,DEF,FPL_points,FPL_pos,FWD,GW,Gls_4,MID,Min_4,Name_original,Opp_rating,Opponent,Rating_difference,Season,Sh_4,SoT_4,Team,Team_CS_4,Team_rating,Was_home,xA_4,xG_4
0.0,0.0,0.0,1,7.0,DEF,0,1,1.0,0,90.0,Aaron Cresswell,1724.89587402,Newcastle Utd,1.0499163254819182,2021-22,2.0,1.0,West Ham,0.0,1810.99633789,0.0,0.1,0.1
0.0,0.0,0.0,1,2.0,DEF,0,2,1.0,0,90.0,Aaron Cresswell,1806.80395508,Leicester City,1.0068063441279416,2021-22,2.0,1.0,West Ham,0.0,1819.10168457,1.0,0.1,0.1
0.0,0.0,0.0,1,5.0,DEF,0,3,0.5,0,90.0,Aaron Cresswell,1688.38110352,Crystal Palace,1.085379176294656,2021-22,1.5,0.5,West Ham,0.0,1832.53369141,1.0,0.05,0.1
0.0,0.0,0.0,1,8.0,DEF,0,4,0.3333333333333333,0,90.0,Aaron Cresswell,1699.46179199,Southampton,1.0757006666677429,2021-22,1.0,0.3333333333333333,West Ham,0.0,1828.11218262,0.0,0.06666666666666667,0.06666666666666667
0.0,0.0,0.0,1,1.0,DEF,0,5,0.25,0,90.0,Aaron Cresswell,1924.82263184,Manchester Utd,0.9518978989708303,2021-22,1.25,0.25,West Ham,0.25,1832.23461914,1.0,0.07500000000000001,0.07500000000000001
0.0,0.0,0.0,1,2.0,DEF,0,6,0.0,0,90.0,Aaron Cresswell,1764.51379395,Leeds United,1.0349346660827219,2021-22,0.75,0.0,West Ham,0.25,1826.15649414,0.0,0.1,0.05
0.0,0.0,0.0,1,1.0,DEF,0,7,0.0,0,90.0,Aaron Cresswell,1699.63293457,Brentford,1.0767468102064055,2021-22,1.0,0.25,West Ham,0.25,1830.07434082,1.0,0.125,0.05
0.0,0.0,0.0,1,7.0,DEF,0,8,0.0,0,90.0,Aaron Cresswell,1787.28979492,Everton,1.01726827032064,2021-22,1.0,0.25,West Ham,0.25,1818.15319824,0.0,0.15000000000000002,0.05
0.0,0.0,0.0,1,12.0,DEF,0,9,0.0,0,90.0,Aaron Cresswell,1808.0345459,Tottenham,1.0133201282047473,2021-22,0.5,0.25,West Ham,0.25,1832.11779785,1.0,0.125,0.025
0.25,0.0,0.0,1,2.0,DEF,0,10,0.0,0,90.0,Aaron Cresswell,1743.16564941,Aston Villa,1.054708493614636,2021-22,0.5,0.25,West Ham,0.5,1838.53161621,0.0,0.15,0.025
0.25,0.0,0.0,1,1.0,DEF,0,11,0.0,0,90.0,Aaron Cresswell,1993.86523438,Liverpool,0.923926933102294,2021-22,0.25,0.0,West Ham,0.5,1842.18579102,1.0,0.15,0.025
0.25,0.0,0.0,1,2.0,DEF,0,12,0.0,0,90.0,Aaron Cresswell,1739.31286621,Wolves,1.0655587754769318,2021-22,0.25,0.0,West Ham,0.5,1853.34008789,0.0,0.09999999999999998,0.025
0.25,0.0,0.0,1,2.0,DEF,0,13,0.0,0,90.0,Aaron Cresswell,2016.45959473,Manchester City,0.9181567685406076,2021-22,0.25,0.0,West Ham,0.25,1851.42602539,0.0,0.15,0.025
0.0,0.0,0.0,1,6.0,DEF,0,22,0.0,0,82.5,Aaron Cresswell,1734.84741211,Leeds United,1.0505635078264959,2021-22,0.25,0.0,West Ham,0.25,1822.56738281,1.0,0.07500000000000001,0.0
