Ast_2,Ast_30,Ast_4,Baseline_points_2,Baseline_points_30,Baseline_points_4,Bonus_2,Bonus_30,Bonus_4,CrdR_2,CrdR_30,CrdR_4,CrdY_2,CrdY_30,CrdY_4,FPL_points,FPL_points_2,FPL_points_30,FPL_points_4,FPL_pos,GK,GW,Gls_2,Gls_30,Gls_4,ICT_index_2,ICT_index_30,ICT_index_4,Min_2,Min_30,Min_4,Name_original,Opp_rating,Opp_score_2,Opp_score_30,Opp_score_4,Opponent,Rating_difference,Saves_2,Saves_30,Saves_4,Season,Sh_2,Sh_30,Sh_4,SoT_2,SoT_30,SoT_4,Start_2,Start_30,Start_4,Team,Team_CS_2,Team_CS_30,Team_CS_4,Team_rating,Team_result_2,Team_result_30,Team_result_4,Team_score_2,Team_score_30,Team_score_4,Was_home,xA_2,xA_30,xA_4,xG_2,xG_30,xG_4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aaron Ramsdale,1926.94848633,2.0,2.0,2.0,Chelsea,0.9591711717318184,0.0,0.0,0.0,2021-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,0.0,0.0,0.0,1848.2734375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aaron Ramsdale,2004.32739258,2.0,2.0,2.0,Manchester City,0.9181031642347082,0.0,0.0,0.0,2021-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,0.0,0.0,0.0,1840.17932129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,GK,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aaron Ramsdale,1691.26220703,3.5,3.5,3.5,Burnley,1.0847889037926433,0.0,0.0,0.0,2021-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,0.0,0.0,0.0,1834.66247559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,3.5,2.3333333333333335,2.3333333333333335,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.5,3.0,3.0,GK,1,6,0.0,0.0,0.0,1.3,0.8666666666666667,0.8666666666666667,45.0,30.0,30.0,Aaron Ramsdale,1820.11254883,2.5,2.3333333333333335,2.3333333333333335,Tottenham,1.0108085236281932,1.5,1.0,1.0,2021-22,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.3333333333333333,Arsenal,0.5,0.3333333333333333,0.3333333333333333,1839.78527832,1.5,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,5.0,2.5,2.5,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,3.0,3.0,GK,1,7,0.0,0.0,0.0,2.3,1.15,1.15,90.0,45.0,45.0,Aaron Ramsdale,1739.25769043,0.5,2.0,2.0,Brighton,1.0604136763333916,3.0,1.5,1.5,2021-22,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,Arsenal,0.5,0.25,0.25,1844.3326416,3.0,1.5,1.5,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,4.5,3.2,4.0,0.0,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.5,3.6,4.5,GK,1,8,0.0,0.0,0.0,1.75,1.22,1.525,90.0,54.0,67.5,Aaron Ramsdale,1704.17626953,0.5,1.6,1.5,Crystal Palace,1.081004185205602,2.5,1.6,2.0,2021-22,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.75,Arsenal,0.5,0.4,0.5,1842.22167969,2.0,1.4,1.75,1.5,0.8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,4.0,3.0,4.5,0.0,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.3333333333333335,5.0,GK,1,9,0.0,0.0,0.0,1.7,1.3333333333333333,2.0,90.0,60.0,90.0,Aaron Ramsdale,1750.25830078,1.0,1.6666666666666667,0.75,Aston Villa,1.05187152900777,3.0,2.0,3.0,2021-22,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,1.0,Arsenal,0.5,0.3333333333333333,0.5,1841.046875,1.0,1.3333333333333333,2.0,1.0,1.0,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,2.5,3.0,3.5,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.5,3.2857142857142856,3.5,GK,1,10,0.0,0.0,0.0,2.0999999999999996,1.4714285714285715,1.925,90.0,64.28571428571429,90.0,Aaron Ramsdale,1793.30358887,1.5,1.5714285714285714,1.0,Leicester City,1.0305781674895065,3.5,2.142857142857143,3.0,2021-22,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7142857142857143,1.0,Arsenal,0.0,0.2857142857142857,0.25,1848.13952637,2.0,1.5714285714285714,2.0,2.5,1.2857142857142858,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,5.5,3.625,4.75,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.5,4.125,5.25,GK,1,11,0.0,0.0,0.0,3.6999999999999993,1.9249999999999998,2.6999999999999997,90.0,67.5,90.0,Aaron Ramsdale,1670.46936035,0.5,1.375,0.75,Watford,1.1120010727468834,5.5,2.875,4.25,2021-22,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,1.0,Arsenal,0.5,0.375,0.5,1857.5637207,3.0,1.75,2.0,2.5,1.375,1.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,7.0,3.888888888888889,4.75,1.5,0.5555555555555556,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.5,4.444444444444445,5.5,GK,1,12,0.0,0.0,0.0,2.9499999999999993,1.7999999999999998,2.525,90.0,70.0,90.0,Aaron Ramsdale,1982.71105957,0.0,1.2222222222222223,0.75,Liverpool,0.9385433245596428,4.5,2.6666666666666665,4.0,2021-22,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7777777777777778,1.0,Arsenal,1.0,0.4444444444444444,0.5,1860.86022949,3.0,1.8888888888888888,2.5,1.5,1.3333333333333333,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
