,fbref_id,Name
0,b2d31e83,Dan Burn
1,4b40d9ca,Nick Pope
2,c8aa95da,Fabian Schär
3,21512407,Kieran Trippier
4,ccce7025,Sven Botman
5,82518f62,Bruno Guimarães
6,862a1c15,Miguel Almirón
7,c17bfb65,Joelinton
8,0db169ae,Sandro Tonali
9,8e92be30,Alexander Isak
10,2bd83368,Anthony Gordon
11,3ea50f67,Harvey Barnes
12,c596fcb0,Callum Wilson
13,a2b105e0,Sean Longstaff
14,de31038e,Elliot Anderson
15,afed6722,Valentino Livramento
16,de112b84,Jacob Murphy
17,e514ab62,Matt Targett
18,3a949a25,Martin Dúbravka
19,450ab6fc,Jamaal Lascelles
20,71ef519e,Matt Ritchie
