fbref_id,Name
3bb7b8b4,Ederson
15ab5a2b,Julián Álvarez
86dd77d1,Kyle Walker
1f44ac21,Erling Haaland
6434f10d,Rodri
79c0821a,Mateo Kovačić
ed1e53f3,Phil Foden
89ac64a6,Manuel Akanji
31c69ef1,Rúben Dias
eaeca114,Nathan Aké
3eb22ec9,Bernardo Silva
5ad50391,Joško Gvardiol
b0b4fd3e,Jack Grealish
b57e066e,Rico Lewis
fffea3e5,Jeremy Doku
e46012d4,Kevin De Bruyne
01e5f06e,Sergio Gómez
119b9a8e,Aymeric Laporte
dc7f8a28,Cole Palmer
4f565d77,Kalvin Phillips
eed2427e,Oscar Bobb
96593e89,James Mcatee
3e1550ee,Scott Carson
e6af02e0,Matheus Nunes
c1242d4e,Stefan Ortega
53552942,Máximo Perrone
2f965a72,Alphonse Areola
79c84d1c,Jarrod Bowen
fdf3cb77,Vladimír Coufal
e0bc6fdc,Emerson Palmieri
ce4246f5,Kurt Zouma
9b6f7fd5,Lucas Paquetá
ac05f970,Michail Antonio
5a04fd92,Saïd Benrahma
3515d404,James Ward-Prowse
288e1e13,Nayef Aguerd
6613c819,Tomáš Souček
8b3ab7ad,Edson Álvarez
82927de4,Pablo Fornals
74b2cd7e,Angelo Ogbonna
07802f7f,Danny Ings
51dbeea9,Thilo Kehrer
beb391dd,Maxwel Cornet
b62878a5,Kudus Mohammed
21a866b7,Joseph Anang
a5ca9127,Conor Coventry
4f974391,Aaron Cresswell
9328b835,Łukasz Fabiański
9319781b,Ben Johnson
92868cb5,Divin Mubama
8fe2a392,Micky van de Ven
77d6fd4d,Guglielmo Vicario
df3cda47,Dejan Kulusevski
6c203af0,Yves Bissouma
ee38d9c5,James Maddison
7cd520e8,Destiny Udogie
92e7e919,Son Heung-min
a3d94a58,Cristian Romero
27d0a506,Pedro Porro
fa031b34,Richarlison
feb5d972,Pape Matar Sarr
df8b52a5,Emerson
6250083a,Oliver Skipp
886f9aac,Manor Solomon
6fe90922,Ivan Perišić
da7b447d,Davinson Sánchez
8b04d6c1,Pierre Højbjerg
44781702,Ben Davies
d7553721,Giovani Lo Celso
5e253986,Brandon Austin
c3e39f12,Fraser Forster
4f21d3af,Ashley Phillips
7a2e46a8,Alisson
2e4f5f03,Andrew Robertson
934e1968,Dominik Szoboszlai
e342ad68,Mohamed Salah
cd1acf9d,Trent Alexander-Arnold
83d074ff,Alexis Mac Allister
4a1a9578,Luis Díaz
1971591f,Cody Gakpo
e06683ca,Virgil van Dijk
178ae8f8,Diogo Jota
5ed9b537,Ibrahima Konaté
b217ef29,Joël Matip
7a11550b,Joe Gomez
4d77b365,Darwin Núñez
c149016b,Wataru Endo
4fb9c88f,Curtis Jones
b9e1436c,Harvey Elliott
4125cb98,Jarrell Quansah
733f1a7d,Ben Doak
f315ca93,Kostas Tsimikas
32e8417f,Stefan Bajcetic
62d7ef38,Caoimhín Kelleher
bf973eeb,James McConnell
466fb2c5,Aaron Ramsdale
972aeb2a,William Saliba
35e413f1,Ben White
1c7012b8,Declan Rice
bc7dc64d,Bukayo Saka
79300479,Martin Ødegaard
48a5a5d6,Martinelli
fed7cb61,Kai Havertz
a53649b7,Eddie Nketiah
529f49ab,Thomas Partey
b3af9be1,Takehiro Tomiyasu
67ac5bb8,Gabriel Dos Santos
51cf8561,Oleksandr Zinchenko
dc3e663e,Jakub Kiwior
38ceb24a,Leandro Trossard
41034650,Jurriën Timber
6412cc03,Fabio Vieira
45db685d,Jorginho
b66315ae,Gabriel Jesus
c5bdb6e3,Reiss Nelson
aa81d8f8,Karl Jakob Hein
98ea5115,David Raya
17695062,Emile Smith Rowe
282f75f3,Lewis Dunk
d38fdf53,Pervis Estupiñán
74618572,Kaoru Mitoma
8aec0537,Pascal Groß
bb5fbd2b,Solly March
df10e27c,Billy Gilmour
