,Name,GW,Season,Squad,Total Points
0,Brenden-Aaronson,4,2022-23,Leeds United,1.0
1,Brenden-Aaronson,5,2022-23,Leeds United,5.0
2,Brenden-Aaronson,6,2022-23,Leeds United,2.0
3,Brenden-Aaronson,9,2022-23,Leeds United,3.0
4,Brenden-Aaronson,10,2022-23,Leeds United,5.0
5,Brenden-Aaronson,11,2022-23,Leeds United,2.0
6,Brenden-Aaronson,12,2022-23,Leeds United,2.0
7,Brenden-Aaronson,13,2022-23,Leeds United,2.0
8,Brenden-Aaronson,14,2022-23,Leeds United,2.0
9,Brenden-Aaronson,15,2022-23,Leeds United,2.0
10,Brenden-Aaronson,16,2022-23,Leeds United,5.0
11,Brenden-Aaronson,17,2022-23,Leeds United,2.0
12,Brenden-Aaronson,18,2022-23,Leeds United,3.0
13,Brenden-Aaronson,19,2022-23,Leeds United,
14,Brenden-Aaronson,20,2022-23,Leeds United,
15,Che-Adams,4,2022-23,Southampton,2.0
16,Che-Adams,5,2022-23,Southampton,2.0
17,Che-Adams,6,2022-23,Southampton,2.0
18,Che-Adams,8,2022-23,Southampton,2.0
19,Che-Adams,9,2022-23,Southampton,5.0
20,Che-Adams,10,2022-23,Southampton,2.0
21,Che-Adams,11,2022-23,Southampton,2.0
22,Che-Adams,12,2022-23,Southampton,6.0
23,Che-Adams,13,2022-23,Southampton,1.0
24,Che-Adams,14,2022-23,Southampton,2.0
25,Che-Adams,15,2022-23,Southampton,2.0
26,Che-Adams,16,2022-23,Southampton,8.0
27,Che-Adams,17,2022-23,Southampton,2.0
28,Che-Adams,18,2022-23,Southampton,5.0
29,Che-Adams,19,2022-23,Southampton,
30,Tyler-Adams,2,2022-23,Leeds United,2.0
31,Tyler-Adams,3,2022-23,Leeds United,3.0
32,Tyler-Adams,4,2022-23,Leeds United,2.0
33,Tyler-Adams,5,2022-23,Leeds United,1.0
34,Tyler-Adams,6,2022-23,Leeds United,2.0
35,Tyler-Adams,9,2022-23,Leeds United,3.0
36,Tyler-Adams,10,2022-23,Leeds United,2.0
37,Tyler-Adams,11,2022-23,Leeds United,2.0
38,Tyler-Adams,12,2022-23,Leeds United,2.0
39,Tyler-Adams,14,2022-23,Leeds United,2.0
40,Tyler-Adams,15,2022-23,Leeds United,2.0
41,Tyler-Adams,16,2022-23,Leeds United,-1.0
42,Tyler-Adams,18,2022-23,Leeds United,3.0
43,Tyler-Adams,19,2022-23,Leeds United,
44,Tyler-Adams,20,2022-23,Leeds United,
45,Tosin-Adarabioyo,5,2022-23,Fulham,2.0
46,Tosin-Adarabioyo,6,2022-23,Fulham,1.0
47,Tosin-Adarabioyo,8,2022-23,Fulham,7.0
48,Tosin-Adarabioyo,9,2022-23,Fulham,0.0
49,Tosin-Adarabioyo,10,2022-23,Fulham,1.0
50,Tosin-Adarabioyo,11,2022-23,Fulham,0.0
51,Tosin-Adarabioyo,12,2022-23,Fulham,0.0
52,Tosin-Adarabioyo,13,2022-23,Fulham,1.0
53,Tosin-Adarabioyo,14,2022-23,Fulham,0.0
54,Tosin-Adarabioyo,15,2022-23,Fulham,0.0
55,Tosin-Adarabioyo,16,2022-23,Fulham,0.0
56,Tosin-Adarabioyo,17,2022-23,Fulham,0.0
57,Tosin-Adarabioyo,18,2022-23,Fulham,1.0
58,Tosin-Adarabioyo,19,2022-23,Fulham,
59,Tosin-Adarabioyo,7,2022-23,Fulham,
60,Nayef-Aguerd,15,2022-23,West Ham,0.0
61,Nayef-Aguerd,16,2022-23,West Ham,2.0
62,Nayef-Aguerd,18,2022-23,West Ham,0.0
63,Nayef-Aguerd,19,2022-23,West Ham,
64,Rayan-Ait-Nouri,3,2022-23,Wolves,1.0
65,Rayan-Ait-Nouri,4,2022-23,Wolves,0.0
66,Rayan-Ait-Nouri,5,2022-23,Wolves,1.0
