,index,Date,Day,Comp,Round,Venue,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Name,Season,Fls,Fld,Off,Crs,TklW,OG,PKwon,PKcon,WDL,GoalsTeams,Team Score,Opp Score,CS,Was Home,GW
0,0,2023-08-20,Sun,Premier League,Matchweek 2,Home,West Ham,Chelsea,N,0,0.0,0.0,0.0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report,Aaron-Cresswell,2023-24,0,0,0,0,0,0,0,0,W,3–1,3,1,0.0,1.0,2
1,1,2023-08-26,Sat,Premier League,Matchweek 3,Away,West Ham,Brighton,N,0,0.0,0.0,0.0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report,Aaron-Cresswell,2023-24,0,0,0,0,0,0,0,0,W,3–1,3,1,0.0,0.0,3
2,2,2023-09-01,Fri,Premier League,Matchweek 4,Away,West Ham,Luton Town,N,0,0.0,0.0,0.0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report,Aaron-Cresswell,2023-24,0,0,0,0,0,0,0,0,W,2–1,2,1,0.0,0.0,4
3,0,2023-08-13,Sun,Premier League,Matchweek 1,Home,Brentford,Tottenham,Y,RB,71.0,0.0,0.0,0,0,1,0,1,0,31.0,3.0,0,1.0,0.0,0.0,0.1,1.0,0.0,22.0,25.0,88.0,1.0,17.0,1.0,2.0,1.0,Match Report,Aaron-Hickey,2023-24,,,,,,,,,D,2–2,2,2,0.0,1.0,1
4,1,2023-08-19,Sat,Premier League,Matchweek 2,Away,Brentford,Fulham,Y,RB,77.0,0.0,0.0,0,0,0,0,1,0,33.0,0.0,1,0.0,0.0,0.0,0.0,3.0,0.0,27.0,30.0,90.0,2.0,27.0,0.0,2.0,1.0,Match Report,Aaron-Hickey,2023-24,,,,,,,,,W,3–0,3,0,1.0,0.0,2
5,2,2023-08-26,Sat,Premier League,Matchweek 3,Home,Brentford,Crystal Palace,Y,RB,90.0,0.0,0.0,0,0,0,0,0,0,73.0,1.0,1,2.0,0.0,0.0,0.0,1.0,0.0,53.0,60.0,88.3,5.0,45.0,1.0,4.0,0.0,Match Report,Aaron-Hickey,2023-24,,,,,,,,,D,1–1,1,1,0.0,1.0,3
7,4,2023-09-02,Sat,Premier League,Matchweek 4,Home,Brentford,Bournemouth,Y,RB,81.0,0.0,0.0,0,0,1,0,0,0,57.0,5.0,0,0.0,0.0,0.0,0.0,1.0,0.0,38.0,42.0,90.5,4.0,32.0,1.0,3.0,2.0,Match Report,Aaron-Hickey,2023-24,,,,,,,,,D,2–2,2,2,0.0,1.0,4
9,1,2023-08-12,Sat,Premier League,Matchweek 1,Home,Arsenal,Nott'ham Forest,Y,GK,90.0,0.0,0.0,0,0,0,0,0,0,30.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,29.0,79.3,0.0,20.0,0.0,0.0,0.0,Match Report,Aaron-Ramsdale,2023-24,,,,,,,,,W,2–1,2,1,0.0,1.0,1
10,2,2023-08-21,Mon,Premier League,Matchweek 2,Away,Arsenal,Crystal Palace,Y,GK,90.0,0.0,0.0,0,0,0,0,0,0,29.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,27.0,66.7,0.0,21.0,0.0,0.0,0.0,Match Report,Aaron-Ramsdale,2023-24,,,,,,,,,W,1–0,1,0,1.0,0.0,2
11,3,2023-08-26,Sat,Premier League,Matchweek 3,Home,Arsenal,Fulham,Y,GK,90.0,0.0,0.0,0,0,0,0,0,0,35.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,34.0,91.2,1.0,20.0,0.0,0.0,0.0,Match Report,Aaron-Ramsdale,2023-24,,,,,,,,,D,2–2,2,2,0.0,1.0,3
