,Date,Day,GW,Was Home,Min,Gls,Sh,SoT,xG,npxG,xAG,CS
0,2021-08-15,Sun,1,0.0,90.0,1.0,2,1,0.1,0.1,0.1,0.0
1,2021-08-23,Mon,2,1.0,90.0,0.0,1,0,0.1,0.1,0.0,0.0
2,2021-08-28,Sat,3,1.0,90.0,0.0,0,0,0.0,0.0,0.1,0.0
3,2021-09-11,Sat,4,0.0,90.0,0.0,2,0,0.1,0.1,0.1,1.0
5,2021-09-19,Sun,5,1.0,90.0,0.0,0,0,0.0,0.0,0.2,0.0
7,2021-09-25,Sat,6,0.0,90.0,0.0,2,1,0.1,0.1,0.1,0.0
9,2021-10-03,Sun,7,1.0,90.0,0.0,0,0,0.0,0.0,0.2,0.0
10,2021-10-17,Sun,8,0.0,90.0,0.0,0,0,0.0,0.0,0.0,1.0
12,2021-10-24,Sun,9,1.0,90.0,0.0,0,0,0.0,0.0,0.3,1.0
14,2021-10-31,Sun,10,0.0,90.0,0.0,1,0,0.1,0.1,0.1,0.0
16,2021-11-07,Sun,11,1.0,90.0,0.0,0,0,0.0,0.0,0.0,0.0
17,2021-11-20,Sat,12,0.0,90.0,0.0,0,0,0.0,0.0,0.2,0.0
19,2021-11-28,Sun,13,0.0,60.0,0.0,1,0,0.0,0.0,0.0,0.0
21,2022-01-12,Wed,18,1.0,90.0,0.0,0,0,0.0,0.0,0.1,1.0
22,2022-01-16,Sun,22,1.0,90.0,0.0,0,0,0.0,0.0,0.7,0.0
23,2022-01-22,Sat,23,0.0,90.0,0.0,0,0,0.0,0.0,0.0,0.0
25,2022-02-08,Tue,24,1.0,90.0,0.0,0,0,0.0,0.0,0.1,1.0
26,2022-02-13,Sun,25,0.0,90.0,0.0,1,0,0.2,0.2,0.0,0.0
27,2022-02-19,Sat,26,1.0,90.0,0.0,1,0,0.0,0.0,0.2,0.0
28,2022-02-27,Sun,27,1.0,90.0,0.0,1,0,0.1,0.1,0.0,1.0
30,2022-03-05,Sat,28,0.0,90.0,0.0,0,0,0.0,0.0,0.0,0.0
32,2022-03-13,Sun,29,1.0,56.0,0.0,0,0,0.0,0.0,0.1,0.0
34,2022-03-20,Sun,30,0.0,90.0,0.0,0,0,0.0,0.0,0.1,0.0
35,2022-04-03,Sun,31,1.0,90.0,1.0,2,1,0.2,0.2,0.0,0.0
37,2022-04-10,Sun,32,0.0,90.0,0.0,1,0,0.0,0.0,0.0,0.0
39,2022-04-17,Sun,33,1.0,90.0,0.0,1,0,0.1,0.1,0.1,0.0
40,2022-04-24,Sun,34,0.0,90.0,0.0,0,0,0.0,0.0,0.0,0.0
42,2022-05-01,Sun,35,1.0,90.0,0.0,0,0,0.0,0.0,0.0,0.0
44,2022-05-08,Sun,36,0.0,90.0,0.0,0,0,0.0,0.0,0.6,1.0
45,2022-05-15,Sun,37,1.0,90.0,0.0,0,0,0.0,0.0,0.0,0.0
46,2022-05-22,Sun,38,0.0,90.0,0.0,2,0,0.1,0.1,0.0,0.0
0,2022-08-07,Sun,1,1.0,90.0,0.0,0,0,0.0,0.0,0.1,0.0
1,2022-08-14,Sun,2,0.0,90.0,0.0,1,0,0.0,0.0,0.4,0.0
3,2022-08-21,Sun,3,1.0,90.0,0.0,1,0,0.1,0.1,0.3,0.0
5,2022-08-28,Sun,4,0.0,90.0,0.0,1,0,0.0,0.0,0.0,1.0
6,2022-08-31,Wed,5,1.0,71.0,0.0,0,0,0.0,0.0,0.0,0.0
9,2022-09-18,Sun,8,0.0,89.0,0.0,1,0,0.0,0.0,0.1,0.0
10,2022-10-01,Sat,9,1.0,90.0,0.0,0,0,0.0,0.0,0.0,1.0
12,2022-10-09,Sun,10,1.0,90.0,0.0,0,0,0.0,0.0,0.2,0.0
14,2022-10-16,Sun,11,0.0,90.0,0.0,0,0,0.0,0.0,0.5,0.0
15,2022-10-19,Wed,12,0.0,90.0,0.0,0,0,0.0,0.0,0.4,0.0
16,2022-10-24,Mon,13,1.0,90.0,0.0,1,1,0.0,0.0,0.2,1.0
18,2022-10-30,Sun,14,0.0,90.0,0.0,0,0,0.0,0.0,0.0,0.0
20,2022-11-06,Sun,15,1.0,90.0,0.0,0,0,0.0,0.0,0.0,0.0
22,2022-11-12,Sat,16,1.0,90.0,0.0,0,0,0.0,0.0,0.3,0.0
23,2022-12-26,Mon,17,0.0,90.0,0.0,0,0,0.0,0.0,0.0,0.0
