,Unnamed: 0.1,Unnamed: 0,season,name,position_fpl,team,assists_fpl,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,opp_team_name,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,a_team,goals,shots,xG,time,position_und,h_goals,a_goals,date,id,xA,assists_und,key_passes,npg,npxG,xGChain,xGBuildup,player_name,h_team,goals_scored_avg5,xG_avg5,assists_fpl_avg5,bonus_avg5,bps_avg5,clean_sheets_avg5,goals_conceded_avg5,shots_avg5,xGBuildup_avg5,xGChain_avg5,yellow_cards_avg5,red_cards_avg5,minutes_avg5,was_played,next_gw,opp_team,team_rating,opp_team_rating,rating_diff
1,49620,49620,2020,Harrison Reed,MID,Fulham,0,0,14,0,4.5,373,2,3,0,1.7,12.6,2020-09-12T11:30:00Z,90,1,Arsenal,0,0,0,0,1,0,64140,3.0,0.0,0.0,2,0,0,0,45,1,0,1,Arsenal,0,0,0,90,DMC,0,3,2020-09-12,14086,0,0,0,0,0,0.06595692038536072,0.06595692038536072,Harrison Reed,Fulham,0.0,0.0,0.0,0.0,8.5,0.0,1.5,0.0,0.03297846019268036,0.03297846019268036,0.0,0.0,51.5,1,0,Brighton,1873.33776855,1779.39660645,0.05279383008795213
49,49615,49615,2020,Granit Xhaka,MID,Arsenal,0,0,11,1,17.2,9,2,0,0,4.5,6.8,2020-09-12T11:30:00Z,77,8,Fulham,0,0,0,0,1,0,42909,3.0,0.0,21.0,3,0,0,0,55,0,0,1,Arsenal,0,4,0.20837053656578064,80,MC,0,3,2020-09-12,14086,0.08170896768569946,0,1,0,0.20837053656578064,1.0529390573501587,0.9957149624824524,Granit Xhaka,Fulham,0.0,0.04167410731315613,0.0,0.0,12.8,0.6,0.4,0.8,0.4426244668662548,0.45406928583979606,0.2,0.0,78.4,1,0,Leeds,1703.79125977,1703.11816406,0.0003952137462942105
0,49487,49487,2020,Aleksandar Mitrović,FWD,Fulham,0,0,3,0,0.3,184,2,0,0,1.0,3.0,2020-09-12T11:30:00Z,27,1,Arsenal,0,0,0,0,1,0,1435176,3.0,0.0,7.0,1,0,0,0,60,1,0,1,Arsenal,0,1,0.03421450033783913,26,Sub,0,3,2020-09-12,14086,0,0,0,0,0.03421450033783913,0.03421450033783913,0,Aleksandar Mitrovic,Fulham,0.0,0.03421450033783913,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.03421450033783913,0.0,0.0,27.0,1,0,Burnley,1873.33776855,1664.11499023,0.1257261544715025
0,49607,49607,2020,Gabriel Magalhães,DEF,Arsenal,0,3,37,1,0.3,494,2,0,1,8.5,51.8,2020-09-12T11:30:00Z,90,8,Fulham,0,0,0,0,1,0,85593,3.0,0.0,33.0,15,0,0,0,50,0,0,1,Arsenal,1,1,0.5060973167419434,90,DC,0,3,2020-09-12,14086,0,0,0,1,0.5060973167419434,0.3469330966472626,0.3469330966472626,Gabriel,Fulham,0.4,0.24019238948822022,0.0,0.6,19.0,0.2,1.2,1.2,0.48259952664375305,0.5062857568264008,0.2,0.0,90.0,1,0,Burnley,1873.33776855,1664.11499023,0.1257261544715025
31,49558,49558,2020,Danny Ings,FWD,Southampton,0,0,1,0,11.2,366,1,1,0,8.0,8.6,2020-09-12T14:00:00Z,90,6,Crystal Palace,0,0,0,0,1,0,1467030,0.0,1.0,60.0,2,0,0,0,85,0,0,1,Southampton,0,0,0,12,FW,0,2,2021-03-06,14701,0,0,0,0,0,0,0,Danny Ings,Aston Villa,0.2,0.20285726636648177,0.0,0.2,5.4,0.0,1.0,2.0,0.2629753440618515,0.385148973017931,0.0,0.0,90.0,1,0,Arsenal,1806.0402832,1872.17749023,-0.03532635520677853
11,49539,49539,2020,Che Adams,FWD,Southampton,0,0,3,0,13.1,377,1,1,0,3.9,4.4,2020-09-12T14:00:00Z,84,6,Crystal Palace,0,0,0,0,1,0,279992,0.0,1.0,21.0,2,0,0,0,60,0,0,1,Southampton,0,1,0.5063690543174744,87,FW,1,0,2020-09-12,14087,0.07210655510425568,0,1,0,0.5063690543174744,0.1395006775856018,0.1395006775856018,Che Adams,Crystal Palace,0.2,0.33718801438808443,0.2,0.4,10.6,0.0,0.6,2.0,0.0544522151350975,0.35137749165296556,0.0,0.0,40.0,1,0,Arsenal,1806.0402832,1872.17749023,-0.03532635520677853
28,49558,49558,2020,Danny Ings,FWD,Southampton,0,0,1,0,11.2,366,1,1,0,8.0,8.6,2020-09-12T14:00:00Z,90,6,Crystal Palace,0,0,0,0,1,0,1467030,0.0,1.0,60.0,2,0,0,0,85,0,0,1,Southampton,0,1,0.13734400272369385,85,FW,3,0,2021-05-23,14813,0,0,0,0,0.13734400272369385,0.5531293153762817,0.4157853126525879,Danny Ings,Aston Villa,0.6,0.32850417122244835,0.0,1.0,16.2,0.0,1.4,3.2,0.2471580684185028,0.5218507021665573,0.0,0.0,90.0,1,0,Watford,2030.75170898,1559.64660645,0.30205887704414597
45,49538,49538,2020,Cheikhou Kouyaté,MID,Crystal Palace,0,0,3,1,0.3,133,1,0,0,3.0,12.6,2020-09-12T14:00:00Z,90,16,Southampton,0,0,0,0,1,0,14565,0.0,1.0,17.0,3,0,0,0,50,1,0,1,Southampton,0,1,0.36499735713005066,90,DC,1,0,2020-09-12,14087,0,0,0,0,0.36499735713005066,0,0,Cheikhou Kouyaté,Crystal Palace,0.0,0.08820724338293076,0.0,0.0,7.4,0.4,1.0,0.4,0.0,0.026359017938375473,0.2,0.0,75.2,1,0,Arsenal,1703.79125977,1872.17749023,-0.08994138180740208
36,49558,49558,2020,Danny Ings,FWD,Southampton,0,0,1,0,11.2,366,1,1,0,8.0,8.6,2020-09-12T14:00:00Z,90,6,Crystal Palace,0,0,0,0,1,0,1467030,0.0,1.0,60.0,2,0,0,0,85,0,0,1,Southampton,0,1,0.029169837012887,90,FW,1,1,2020-12-16,14555,0,0,0,0,0.029169837012887,0.20574472844600677,0.17657490074634552,Danny Ings,Aston Villa,0.0,0.20281966626644135,0.0,0.0,1.0,0.0,1.0,1.4,0.13013242967426777,0.3258896041661501,0.0,0.0,90.0,1,0,Leicester,1752.18847656,1720.47583008,0.01843248590044157
35,49558,49558,2020,Danny Ings,FWD,Southampton,0,0,1,0,11.2,366,1,1,0,8.0,8.6,2020-09-12T14:00:00Z,90,6,Crystal Palace,0,0,0,0,1,0,1467030,0.0,1.0,60.0,2,0,0,0,85,0,0,1,Southampton,0,0,0,72,FW,9,0,2021-02-02,14651,0,0,0,0,0,0.016576746478676796,0.016576746478676796,Danny Ings,Aston Villa,0.0,0.19698569886386394,0.0,0.0,1.0,0.0,1.0,1.2,0.09481744952499867,0.28474065847694874,0.0,0.0,90.0,1,0,Brighton,1752.18847656,1779.39660645,-0.015290649533316698
